Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,ARAUCA,ACHIOTE (BIJA),285.0,265.0,0.93,92.66,98.62
2007,CASANARE,ACHIOTE (BIJA),4.0,21.0,5.25,7.34,1.38
2008,CHOCO,ACHIOTE (BIJA),40.0,40.0,1.0,40.0,40.0
2008,LA GUAJIRA,ACHIOTE (BIJA),60.0,60.0,1.0,60.0,60.0
2009,CHOCO,ACHIOTE (BIJA),106.5,136.3,1.28,63.01,57.1
2009,LA GUAJIRA,ACHIOTE (BIJA),80.0,80.0,1.0,36.99,42.9
2009,VALLE DEL CAUCA,ACHIOTE (BIJA),0.0,0.0,0.0,0.0,0.0
2010,CHOCO,ACHIOTE (BIJA),123.0,159.65,1.3,52.4,46.07
2010,LA GUAJIRA,ACHIOTE (BIJA),142.0,142.0,1.0,46.61,53.18
2010,VALLE DEL CAUCA,ACHIOTE (BIJA),2.0,3.0,1.5,0.98,0.75
2011,CHOCO,ACHIOTE (BIJA),109.2,123.35,1.13,43.69,40.76
2011,LA GUAJIRA,ACHIOTE (BIJA),158.7,159.0,1.0,56.31,59.24
2012,CHOCO,ACHIOTE (BIJA),110.0,178.0,1.62,53.23,41.98
2012,LA GUAJIRA,ACHIOTE (BIJA),150.0,150.0,1.0,44.86,57.25
2012,VALLE DEL CAUCA,ACHIOTE (BIJA),2.0,6.4,3.2,1.9100000000000001,0.76
2013,CHOCO,ACHIOTE (BIJA),165.0,253.1,1.53,66.94,56.9
2013,LA GUAJIRA,ACHIOTE (BIJA),125.0,125.0,1.0,33.06,43.1
2014,CHOCO,ACHIOTE (BIJA),182.0,210.0,1.15,84.0,81.98
2014,LA GUAJIRA,ACHIOTE (BIJA),40.0,40.0,1.0,16.0,18.02
2015,CHOCO,ACHIOTE (BIJA),275.0,340.9,1.24,98.98,95.16
2015,LA GUAJIRA,ACHIOTE (BIJA),14.0,3.5,0.25,1.02,4.84
2016,ANTIOQUIA,ACHIOTE (BIJA),5.0,2.5,0.5,0.44,1.23
2016,CAUCA,ACHIOTE (BIJA),4.0,6.0,1.5,1.06,0.99
2016,CHOCO,ACHIOTE (BIJA),356.0,515.0,1.45,91.39,87.9
2016,LA GUAJIRA,ACHIOTE (BIJA),40.0,40.0,1.0,7.1,9.88
2017,CHOCO,ACHIOTE (BIJA),451.5,800.53,1.77,90.91,84.95
2017,LA GUAJIRA,ACHIOTE (BIJA),80.0,80.0,1.0,9.09,15.05
2018,CHOCO,ACHIOTE (BIJA),413.27,648.44,1.5699999999999998,94.19,91.17
2018,LA GUAJIRA,ACHIOTE (BIJA),40.0,40.0,1.0,5.8100000000000005,8.82
2019,ANTIOQUIA,ACHIOTE (BIJA),9.0,27.0,3.0,0.51,0.63
2019,BOLIVAR,ACHIOTE (BIJA),10.0,20.0,2.0,0.38,0.69
2019,CHOCO,ACHIOTE (BIJA),1408.5,5218.6,3.71,98.71,97.85
2019,NARIÑO,ACHIOTE (BIJA),12.0,21.0,1.75,0.4,0.83
2020,ANTIOQUIA,ACHIOTE (BIJA),80.0,96.0,1.2,2.23,7.98
2020,BOLIVAR,ACHIOTE (BIJA),12.0,24.0,2.0,0.56,1.2
2020,CHOCO,ACHIOTE (BIJA),842.0,4113.1,4.88,95.61,83.95
2020,LA GUAJIRA,ACHIOTE (BIJA),68.0,68.0,1.0,1.58,6.78
2020,NARIÑO,ACHIOTE (BIJA),1.0,1.0,1.0,0.02,0.1
2021,ANTIOQUIA,ACHIOTE (BIJA),160.0,192.0,1.2,4.98,14.23
2021,BOLIVAR,ACHIOTE (BIJA),24.0,24.0,1.0,0.62,2.14
2021,CHOCO,ACHIOTE (BIJA),864.0,3562.8,4.12,92.44,76.87
2021,LA GUAJIRA,ACHIOTE (BIJA),70.0,70.0,1.0,1.8199999999999998,6.23
2021,MAGDALENA,ACHIOTE (BIJA),4.0,3.2,0.8,0.08,0.36
2021,NARIÑO,ACHIOTE (BIJA),2.0,2.0,1.0,0.05,0.18
2021,SANTANDER,ACHIOTE (BIJA),0.0,0.0,0.0,0.0,0.0
2022,ANTIOQUIA,ACHIOTE (BIJA),80.0,96.0,1.2,4.5600000000000005,13.32
2022,BOLIVAR,ACHIOTE (BIJA),32.0,64.0,2.0,3.04,5.33
2022,CHOCO,ACHIOTE (BIJA),447.0,1870.0,4.18,88.86,74.44
2022,LA GUAJIRA,ACHIOTE (BIJA),35.0,35.0,1.0,1.6600000000000001,5.83
2022,MAGDALENA,ACHIOTE (BIJA),2.0,1.6,0.8,0.08,0.33
2022,NARIÑO,ACHIOTE (BIJA),1.0,1.0,1.0,0.05,0.17
2022,SANTANDER,ACHIOTE (BIJA),3.5,36.75,10.5,1.75,0.58
2023,ANTIOQUIA,ACHIOTE (BIJA),80.0,88.8,1.11,3.89,11.97
2023,BOLIVAR,ACHIOTE (BIJA),32.0,64.0,2.0,2.81,4.79
2023,CHOCO,ACHIOTE (BIJA),515.0,2040.0,3.96,89.43,77.04
2023,LA GUAJIRA,ACHIOTE (BIJA),35.0,49.35,1.41,2.16,5.24
2023,MAGDALENA,ACHIOTE (BIJA),2.0,3.0,1.5,0.13,0.3
2023,NARIÑO,ACHIOTE (BIJA),1.0,1.0,1.0,0.04,0.15
2023,PUTUMAYO,ACHIOTE (BIJA),0.0,0.0,0.0,0.0,0.0
2023,SANTANDER,ACHIOTE (BIJA),3.5,35.0,10.0,1.53,0.52
