Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,CAUCA,ACHIRA,70.0,84.5,1.21,14.59,16.36
2007,HUILA,ACHIRA,230.0,418.9,1.8199999999999998,72.32,53.74
2007,NARIÑO,ACHIRA,128.0,75.8,0.59,13.09,29.91
2008,CAUCA,ACHIRA,101.0,123.0,1.22,19.53,19.24
2008,HUILA,ACHIRA,216.0,334.6,1.55,53.13,41.14
2008,NARIÑO,ACHIRA,208.0,172.2,0.83,27.34,39.62
2009,CAUCA,ACHIRA,63.2,79.8,1.26,15.12,13.5
2009,HUILA,ACHIRA,175.0,270.6,1.55,51.27,37.38
2009,NARIÑO,ACHIRA,230.0,177.4,0.77,33.61,49.12
2010,CAUCA,ACHIRA,89.0,96.5,1.08,15.18,15.15
2010,HUILA,ACHIRA,188.6,298.66,1.58,46.98,32.1
2010,NARIÑO,ACHIRA,310.0,240.6,0.78,37.84,52.76
2011,CAUCA,ACHIRA,81.0,108.6,1.34,19.81,22.88
2011,HUILA,ACHIRA,123.0,245.6,2.0,44.8,34.75
2011,NARIÑO,ACHIRA,150.0,194.0,1.29,35.39,42.37
2012,CAUCA,ACHIRA,2.0,2.0,1.0,0.49,1.18
2012,HUILA,ACHIRA,103.5,198.3,1.92,48.46,61.06
2012,NARIÑO,ACHIRA,60.0,204.9,3.42,50.07,35.4
2012,TOLIMA,ACHIRA,4.0,4.0,1.0,0.98,2.36
2013,CAUCA,ACHIRA,15.7,29.86,1.9,3.75,3.99
2013,HUILA,ACHIRA,87.5,167.5,1.9100000000000001,21.03,22.25
2013,NARIÑO,ACHIRA,290.0,599.25,2.07,75.23,73.75
2014,CAUCA,ACHIRA,12.5,22.75,1.8199999999999998,2.75,2.29
2014,HUILA,ACHIRA,71.0,148.2,2.09,17.91,13.0
2014,NARIÑO,ACHIRA,462.5,656.5,1.42,79.34,84.71
2015,BOYACA,ACHIRA,2.0,4.0,2.0,0.32,0.43
2015,CAUCA,ACHIRA,18.5,30.2,1.63,2.41,3.96
2015,HUILA,ACHIRA,90.0,182.6,2.03,14.59,19.26
2015,NARIÑO,ACHIRA,356.9,1034.9,2.9,82.68,76.36
2016,CAUCA,ACHIRA,22.5,24.75,1.1,1.47,3.7199999999999998
2016,HUILA,ACHIRA,81.0,172.0,2.12,10.23,13.38
2016,NARIÑO,ACHIRA,502.0,1484.9,2.96,88.3,82.91
2017,CAUCA,ACHIRA,9.0,9.0,1.0,0.52,1.47
2017,CHOCO,ACHIRA,7.0,35.0,5.0,2.01,1.15
2017,HUILA,ACHIRA,58.0,117.5,2.03,6.74,9.49
2017,NARIÑO,ACHIRA,537.0,1583.0,2.95,90.74,87.89
2018,CAUCA,ACHIRA,10.0,10.0,1.0,0.55,1.55
2018,CHOCO,ACHIRA,7.23,36.94,5.11,2.04,1.12
2018,HUILA,ACHIRA,52.0,104.5,2.01,5.76,8.07
2018,NARIÑO,ACHIRA,575.0,1662.0,2.89,91.65,89.25
2019,BOYACA,ACHIRA,35.3,156.6,4.44,2.36,1.8900000000000001
2019,CAUCA,ACHIRA,18.0,73.5,4.08,1.11,0.96
2019,CUNDINAMARCA,ACHIRA,571.0,3614.0,6.33,54.36,30.6
2019,HUILA,ACHIRA,68.0,148.8,2.19,2.24,3.64
2019,META,ACHIRA,26.0,78.0,3.0,1.17,1.3900000000000001
2019,NARIÑO,ACHIRA,1138.0,2484.7,2.18,37.37,60.98
