Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2008,BOYACA,AGRAZ,8.0,114.4,14.3,100.0,100.0
2009,BOYACA,AGRAZ,100.0,1428.0,14.28,100.0,100.0
2010,BOYACA,AGRAZ,400.0,5712.0,14.28,100.0,100.0
2011,BOYACA,AGRAZ,200.0,1400.0,7.0,100.0,100.0
2012,BOYACA,AGRAZ,200.0,1200.0,6.0,100.0,100.0
2013,ANTIOQUIA,AGRAZ,0.5,0.8,1.6,0.17,0.41
2013,BOYACA,AGRAZ,120.0,480.0,4.0,99.83,99.59
2014,ANTIOQUIA,AGRAZ,3.5,6.5,1.8599999999999999,0.66,2.77
2014,BOYACA,AGRAZ,123.0,984.0,8.0,99.34,97.23
2015,ANTIOQUIA,AGRAZ,4.0,7.0,1.75,0.51,2.3
2015,BOYACA,AGRAZ,170.0,1360.0,8.0,99.49,97.7
2016,ANTIOQUIA,AGRAZ,6.5,17.0,2.62,1.03,2.75
2016,BOYACA,AGRAZ,230.0,1630.0,7.09,98.97,97.25
2017,ANTIOQUIA,AGRAZ,4.9,12.6,2.57,0.61,1.5899999999999999
2017,BOYACA,AGRAZ,302.3,2052.3,6.79,99.29,98.25
2017,CUNDINAMARCA,AGRAZ,0.5,2.0,4.0,0.1,0.16
2018,ANTIOQUIA,AGRAZ,5.9,15.1,2.56,2.63,1.8900000000000001
2018,BOYACA,AGRAZ,306.3,557.95,1.8199999999999998,97.03,97.95
2018,CUNDINAMARCA,AGRAZ,0.5,2.0,4.0,0.35,0.16
2019,ANTIOQUIA,AGRAZ,8.0,102.8,12.85,8.16,2.52
2019,BOYACA,AGRAZ,266.0,615.0,2.31,48.82,83.91
2019,CAUCA,AGRAZ,11.0,16.0,1.45,1.27,3.4699999999999998
2019,CUNDINAMARCA,AGRAZ,32.0,526.0,16.44,41.75,10.09
2020,ANTIOQUIA,AGRAZ,5.0,91.0,18.2,7.99,1.44
2020,BOYACA,AGRAZ,299.1,661.65,2.21,58.11,85.92
2020,CAUCA,AGRAZ,4.0,8.0,2.0,0.7,1.15
2020,CUNDINAMARCA,AGRAZ,40.0,378.0,9.45,33.2,11.49
2021,ANTIOQUIA,AGRAZ,10.0,182.0,18.2,7.19,1.26
2021,BOYACA,AGRAZ,625.6,1568.4,2.51,61.96,78.83
2021,CAUCA,AGRAZ,54.0,54.0,1.0,2.13,6.8
2021,CUNDINAMARCA,AGRAZ,104.0,727.0,6.99,28.72,13.1
2022,ANTIOQUIA,AGRAZ,6.0,93.0,15.5,9.05,1.65
2022,BOYACA,AGRAZ,295.5,717.5,2.43,69.8,81.07
2022,CAUCA,AGRAZ,3.0,8.4,2.8,0.82,0.82
2022,CUNDINAMARCA,AGRAZ,60.0,209.1,3.48,20.34,16.46
2023,ANTIOQUIA,AGRAZ,11.0,175.0,15.91,18.17,3.41
2023,BOYACA,AGRAZ,297.2,736.48,2.48,76.45,92.24
2023,CAUCA,AGRAZ,3.0,8.4,2.8,0.87,0.93
2023,CUNDINAMARCA,AGRAZ,11.0,43.5,3.95,4.52,3.41
