Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,ANTIOQUIA,AGUACATE,1828.7,19984.1,10.93,11.49,10.36
2007,BOLIVAR,AGUACATE,3308.0,43080.0,13.02,24.77,18.73
2007,BOYACA,AGUACATE,127.0,1134.0,8.93,0.65,0.72
2007,CALDAS,AGUACATE,705.16,5471.2,7.76,3.15,3.99
2007,CASANARE,AGUACATE,6.0,58.0,9.67,0.03,0.03
2007,CAUCA,AGUACATE,16.42,85.68,5.22,0.05,0.09
2007,CESAR,AGUACATE,1854.0,14078.0,7.59,8.09,10.5
2007,CUNDINAMARCA,AGUACATE,130.9,1091.0,8.33,0.63,0.74
2007,HUILA,AGUACATE,149.8,1810.2,12.08,1.04,0.85
2007,LA GUAJIRA,AGUACATE,296.0,1284.0,4.34,0.74,1.6800000000000002
2007,META,AGUACATE,36.0,511.0,14.19,0.29,0.2
2007,NARIÑO,AGUACATE,11.0,106.0,9.64,0.06,0.06
2007,NORTE DE SANTANDER,AGUACATE,144.0,1829.9,12.71,1.05,0.82
2007,QUINDIO,AGUACATE,453.8,3745.8,8.25,2.15,2.57
2007,RISARALDA,AGUACATE,575.0,5336.2,9.28,3.07,3.26
2007,SANTANDER,AGUACATE,2114.2,18684.6,8.84,10.74,11.97
2007,SUCRE,AGUACATE,266.0,1730.0,6.5,0.99,1.51
2007,TOLIMA,AGUACATE,4507.0,41592.5,9.23,23.91,25.53
2007,VALLE DEL CAUCA,AGUACATE,1128.1,12321.79,10.92,7.08,6.39
2008,AMAZONAS,AGUACATE,27.0,169.0,6.26,0.1,0.15
2008,ANTIOQUIA,AGUACATE,2040.8,20102.8,9.85,11.75,11.45
2008,BOLIVAR,AGUACATE,3475.0,45180.0,13.0,26.4,19.49
2008,BOYACA,AGUACATE,70.5,813.7,11.54,0.48,0.4
2008,CALDAS,AGUACATE,838.9,6741.0,8.04,3.94,4.71
2008,CASANARE,AGUACATE,10.0,119.0,11.9,0.07,0.06
2008,CAUCA,AGUACATE,28.0,129.0,4.61,0.08,0.16
2008,CESAR,AGUACATE,1884.0,11985.0,6.36,7.0,10.57
2008,CHOCO,AGUACATE,30.0,300.0,10.0,0.18,0.17
2008,CORDOBA,AGUACATE,0.0,0.0,0.0,0.0,0.0
2008,CUNDINAMARCA,AGUACATE,194.55,2107.5,10.83,1.23,1.09
2008,HUILA,AGUACATE,172.8,2040.95,11.81,1.19,0.97
2008,LA GUAJIRA,AGUACATE,364.0,1598.0,4.39,0.93,2.04
2008,META,AGUACATE,60.0,610.0,10.17,0.36,0.34
2008,NARIÑO,AGUACATE,13.0,61.0,4.6899999999999995,0.04,0.07
2008,NORTE DE SANTANDER,AGUACATE,147.5,1834.4,12.44,1.07,0.83
2008,QUINDIO,AGUACATE,493.5,3468.7,7.03,2.03,2.77
2008,RISARALDA,AGUACATE,457.68,5172.02,11.3,3.02,2.57
2008,SANTANDER,AGUACATE,1671.5,12690.0,7.59,7.41,9.38
2008,SUCRE,AGUACATE,268.0,1871.0,6.98,1.09,1.5
2008,TOLIMA,AGUACATE,4398.0,41504.0,9.44,24.25,24.67
2008,VALLE DEL CAUCA,AGUACATE,1181.0,12658.1,10.72,7.4,6.63
2009,ANTIOQUIA,AGUACATE,2376.0,23115.0,9.73,12.23,12.34
2009,BOLIVAR,AGUACATE,3890.0,39992.0,10.28,21.16,20.2
2009,BOYACA,AGUACATE,68.0,780.28,11.47,0.41,0.35
2009,CALDAS,AGUACATE,954.4,8326.5,8.72,4.4,4.96
2009,CASANARE,AGUACATE,12.0,143.5,11.96,0.08,0.06
2009,CAUCA,AGUACATE,28.0,190.32,6.8,0.1,0.15
2009,CESAR,AGUACATE,1614.0,11222.1,6.95,5.9399999999999995,8.38
2009,CHOCO,AGUACATE,20.0,120.0,6.0,0.06,0.1
2009,CORDOBA,AGUACATE,3.25,30.0,9.23,0.02,0.02
2009,CUNDINAMARCA,AGUACATE,113.67,479.7,4.22,0.25,0.59
2009,HUILA,AGUACATE,185.2,2074.2,11.2,1.1,0.96
2009,LA GUAJIRA,AGUACATE,393.0,1725.5,4.39,0.91,2.04
2009,META,AGUACATE,67.0,908.0,13.55,0.48,0.35
2009,NARIÑO,AGUACATE,17.5,30.98,1.77,0.02,0.09
2009,NORTE DE SANTANDER,AGUACATE,151.5,1743.4,11.51,0.92,0.79
2009,QUINDIO,AGUACATE,559.6,4051.35,7.24,2.14,2.91
2009,RISARALDA,AGUACATE,553.0,6515.0,11.78,3.45,2.87
2009,SANTANDER,AGUACATE,1912.5,15633.0,8.17,8.27,9.93
2009,SUCRE,AGUACATE,269.0,1971.5,7.33,1.04,1.4
2009,TOLIMA,AGUACATE,4892.0,58201.65,11.9,30.79,25.41
2009,VALLE DEL CAUCA,AGUACATE,1173.8,11774.21,10.03,6.23,6.1
2010,ANTIOQUIA,AGUACATE,2907.2,28819.25,9.91,14.03,13.47
2010,BOLIVAR,AGUACATE,3533.0,35304.0,9.99,17.18,16.36
2010,BOYACA,AGUACATE,115.5,1234.0,10.68,0.6,0.53
2010,CALDAS,AGUACATE,1340.7,12134.1,9.05,5.91,6.21
2010,CASANARE,AGUACATE,16.0,151.0,9.44,0.07,0.07
2010,CAUCA,AGUACATE,176.0,2589.7,14.71,1.26,0.82
2010,CESAR,AGUACATE,1657.0,11477.5,6.93,5.59,7.67
2010,CHOCO,AGUACATE,17.0,102.0,6.0,0.05,0.08
2010,CORDOBA,AGUACATE,3.8,11.4,3.0,0.01,0.02
2010,CUNDINAMARCA,AGUACATE,272.3,1492.55,5.48,0.73,1.26
2010,HUILA,AGUACATE,191.7,1910.4,9.97,0.93,0.89
2010,LA GUAJIRA,AGUACATE,411.5,1834.0,4.46,0.89,1.9100000000000001
2010,META,AGUACATE,150.0,1983.0,13.22,0.97,0.69
2010,NARIÑO,AGUACATE,46.0,156.9,3.41,0.08,0.21
2010,NORTE DE SANTANDER,AGUACATE,146.0,1633.9,11.19,0.8,0.68
2010,QUINDIO,AGUACATE,716.5,4602.8,6.42,2.24,3.32
2010,RISARALDA,AGUACATE,984.0,9112.0,9.26,4.44,4.5600000000000005
2010,SANTANDER,AGUACATE,1378.7,12405.6,9.0,6.04,6.39
2010,SUCRE,AGUACATE,562.0,2948.0,5.25,1.43,2.6
2010,TOLIMA,AGUACATE,5835.0,63475.34,10.88,30.9,27.03
2010,VALLE DEL CAUCA,AGUACATE,1129.9,12064.75,10.68,5.87,5.23
2011,ANTIOQUIA,AGUACATE,3196.0,28256.73,8.84,13.15,13.04
2011,BOLIVAR,AGUACATE,3493.0,34990.0,10.02,16.28,14.25
2011,BOYACA,AGUACATE,154.46,1565.95,10.14,0.73,0.63
2011,CALDAS,AGUACATE,1723.27,15008.67,8.71,6.98,7.03
2011,CASANARE,AGUACATE,9.5,110.0,11.58,0.05,0.04
2011,CAUCA,AGUACATE,289.5,2424.2,8.37,1.13,1.18
2011,CESAR,AGUACATE,1827.0,12938.0,7.08,6.02,7.45
2011,CHOCO,AGUACATE,22.0,112.0,5.09,0.05,0.09
