Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2020,ANTIOQUIA,AGUACATE PAPELILLO,262.86,2807.57,10.68,5.23,4.71
2020,BOYACA,AGUACATE PAPELILLO,194.0,1954.0,10.07,3.64,3.48
2020,CALDAS,AGUACATE PAPELILLO,1068.04,11315.63,10.59,21.09,19.14
2020,CASANARE,AGUACATE PAPELILLO,65.0,650.0,10.0,1.21,1.16
2020,CAUCA,AGUACATE PAPELILLO,13.8,122.0,8.84,0.23,0.25
2020,CUNDINAMARCA,AGUACATE PAPELILLO,465.9,3254.7,6.99,6.07,8.35
2020,HUILA,AGUACATE PAPELILLO,87.66,1071.35,12.22,2.0,1.5699999999999998
2020,LA GUAJIRA,AGUACATE PAPELILLO,2.0,12.0,6.0,0.02,0.04
2020,META,AGUACATE PAPELILLO,5.7,62.7,11.0,0.12,0.1
2020,NARIÑO,AGUACATE PAPELILLO,10.0,20.0,2.0,0.04,0.18
2020,NORTE DE SANTANDER,AGUACATE PAPELILLO,175.0,1905.0,10.89,3.55,3.14
2020,QUINDIO,AGUACATE PAPELILLO,959.51,8671.18,9.04,16.16,17.2
2020,RISARALDA,AGUACATE PAPELILLO,547.48,4745.56,8.67,8.85,9.81
2020,SANTANDER,AGUACATE PAPELILLO,404.9,6420.0,15.86,11.97,7.26
2020,SUCRE,AGUACATE PAPELILLO,10.0,70.0,7.0,0.13,0.18
2020,TOLIMA,AGUACATE PAPELILLO,1061.98,7543.81,7.1,14.06,19.03
2020,VALLE DEL CAUCA,AGUACATE PAPELILLO,246.28,3018.29,12.26,5.63,4.41
2021,ANTIOQUIA,AGUACATE PAPELILLO,528.88,5166.18,9.77,3.82,3.57
2021,BOYACA,AGUACATE PAPELILLO,175.6,2484.0,14.15,1.8399999999999999,1.18
2021,CALDAS,AGUACATE PAPELILLO,3747.58,37342.95,9.96,27.63,25.26
2021,CASANARE,AGUACATE PAPELILLO,286.0,2860.0,10.0,2.12,1.9300000000000002
2021,CAUCA,AGUACATE PAPELILLO,17.6,124.84,7.09,0.09,0.12
2021,CUNDINAMARCA,AGUACATE PAPELILLO,969.8,8597.4,8.87,6.36,6.54
2021,HUILA,AGUACATE PAPELILLO,367.52,3913.12,10.65,2.9,2.48
2021,LA GUAJIRA,AGUACATE PAPELILLO,6.0,24.0,4.0,0.02,0.04
2021,META,AGUACATE PAPELILLO,11.4,125.4,11.0,0.09,0.08
2021,NORTE DE SANTANDER,AGUACATE PAPELILLO,358.0,4058.0,11.34,3.0,2.41
2021,QUINDIO,AGUACATE PAPELILLO,2288.8,20701.16,9.04,15.32,15.43
2021,RISARALDA,AGUACATE PAPELILLO,2527.68,23337.54,9.23,17.27,17.04
2021,SANTANDER,AGUACATE PAPELILLO,720.3,2887.15,4.01,2.14,4.86
2021,SUCRE,AGUACATE PAPELILLO,16.0,112.0,7.0,0.08,0.11
2021,TOLIMA,AGUACATE PAPELILLO,2184.36,16189.21,7.41,11.98,14.72
2021,VALLE DEL CAUCA,AGUACATE PAPELILLO,629.52,7222.56,11.47,5.34,4.24
2022,ANTIOQUIA,AGUACATE PAPELILLO,287.84,2807.26,9.75,3.9,3.7
2022,BOYACA,AGUACATE PAPELILLO,98.8,1375.2,13.92,1.9100000000000001,1.27
2022,CALDAS,AGUACATE PAPELILLO,1734.17,19648.05,11.33,27.32,22.26
2022,CASANARE,AGUACATE PAPELILLO,146.0,1752.0,12.0,2.44,1.87
2022,CAUCA,AGUACATE PAPELILLO,4.8,27.6,5.75,0.04,0.06
2022,CUNDINAMARCA,AGUACATE PAPELILLO,563.9,5408.9,9.59,7.52,7.24
2022,HUILA,AGUACATE PAPELILLO,293.6,3110.36,10.59,4.33,3.77
2022,LA GUAJIRA,AGUACATE PAPELILLO,7.0,35.0,5.0,0.05,0.09
2022,META,AGUACATE PAPELILLO,4.7,84.6,18.0,0.12,0.06
2022,NORTE DE SANTANDER,AGUACATE PAPELILLO,226.0,2302.0,10.19,3.2,2.9
2022,QUINDIO,AGUACATE PAPELILLO,1094.8,9552.3,8.73,13.28,14.06
2022,RISARALDA,AGUACATE PAPELILLO,1381.94,12750.13,9.23,17.73,17.74
2022,SANTANDER,AGUACATE PAPELILLO,366.15,1473.55,4.02,2.05,4.7
2022,SUCRE,AGUACATE PAPELILLO,8.0,56.0,7.0,0.08,0.1
2022,TOLIMA,AGUACATE PAPELILLO,1236.05,7284.76,5.89,10.13,15.87
2022,VALLE DEL CAUCA,AGUACATE PAPELILLO,335.48,4241.83,12.64,5.9,4.31
