Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2006,ANTIOQUIA,AHUYAMA,0.0,0.0,0.0,0.0,0.0
2006,ATLANTICO,AHUYAMA,0.0,0.0,0.0,0.0,0.0
2006,BOLIVAR,AHUYAMA,0.0,0.0,0.0,0.0,0.0
2006,BOYACA,AHUYAMA,0.0,0.0,0.0,0.0,0.0
2006,CALDAS,AHUYAMA,0.0,0.0,0.0,0.0,0.0
2006,CAUCA,AHUYAMA,0.0,0.0,0.0,0.0,0.0
2006,CESAR,AHUYAMA,0.0,0.0,0.0,0.0,0.0
2006,CORDOBA,AHUYAMA,0.0,0.0,0.0,0.0,0.0
2006,CUNDINAMARCA,AHUYAMA,0.0,0.0,0.0,0.0,0.0
2006,HUILA,AHUYAMA,0.0,0.0,0.0,0.0,0.0
2006,LA GUAJIRA,AHUYAMA,0.0,0.0,0.0,0.0,0.0
2006,NORTE DE SANTANDER,AHUYAMA,0.0,0.0,0.0,0.0,0.0
2006,QUINDIO,AHUYAMA,0.0,0.0,0.0,0.0,0.0
2006,SANTANDER,AHUYAMA,0.0,0.0,0.0,0.0,0.0
2006,TOLIMA,AHUYAMA,0.0,0.0,0.0,0.0,0.0
2006,VALLE DEL CAUCA,AHUYAMA,0.0,0.0,0.0,0.0,0.0
2007,AMAZONAS,AHUYAMA,0.0,0.0,0.0,0.0,0.0
2007,ANTIOQUIA,AHUYAMA,110.0,1100.0,10.0,2.09,2.95
2007,ATLANTICO,AHUYAMA,297.5,2479.85,8.34,4.72,7.98
2007,BOLIVAR,AHUYAMA,160.0,1290.0,8.06,2.46,4.29
2007,BOYACA,AHUYAMA,48.5,273.75,5.64,0.52,1.3
2007,CALDAS,AHUYAMA,142.0,2601.0,18.32,4.95,3.81
2007,CAUCA,AHUYAMA,223.65,2624.0,11.73,4.99,6.0
2007,CESAR,AHUYAMA,586.0,6060.0,10.34,11.54,15.72
2007,CORDOBA,AHUYAMA,38.0,698.0,18.37,1.33,1.02
2007,CUNDINAMARCA,AHUYAMA,99.0,773.0,7.8100000000000005,1.47,2.66
2007,HUILA,AHUYAMA,451.0,7533.0,16.7,14.34,12.1
2007,LA GUAJIRA,AHUYAMA,215.0,1878.0,8.73,3.57,5.77
2007,MAGDALENA,AHUYAMA,0.0,0.0,0.0,0.0,0.0
2007,NORTE DE SANTANDER,AHUYAMA,10.0,200.0,20.0,0.38,0.27
2007,QUINDIO,AHUYAMA,173.2,3980.0,22.98,7.58,4.65
2007,SANTANDER,AHUYAMA,169.5,5066.0,29.89,9.64,4.55
2007,SUCRE,AHUYAMA,61.0,182.4,2.99,0.35,1.6400000000000001
2007,TOLIMA,AHUYAMA,490.0,8382.0,17.11,15.96,13.14
2007,VALLE DEL CAUCA,AHUYAMA,454.38,7414.06,16.32,14.11,12.19
2007,VICHADA,AHUYAMA,0.0,0.0,0.0,0.0,0.0
2008,AMAZONAS,AHUYAMA,22.0,83.0,3.77,0.15,0.53
2008,ANTIOQUIA,AHUYAMA,160.0,1600.0,10.0,2.95,3.88
2008,ATLANTICO,AHUYAMA,138.5,702.0,5.07,1.3,3.36
2008,BOLIVAR,AHUYAMA,577.0,6299.0,10.92,11.63,13.99
2008,BOYACA,AHUYAMA,34.0,406.4,11.95,0.75,0.82
2008,CALDAS,AHUYAMA,1.0,20.0,20.0,0.04,0.02
