Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2006,CESAR,AJI,0.0,0.0,0.0,0.0,0.0
2006,LA GUAJIRA,AJI,0.0,0.0,0.0,0.0,0.0
2006,MAGDALENA,AJI,0.0,0.0,0.0,0.0,0.0
2006,QUINDIO,AJI,0.0,0.0,0.0,0.0,0.0
2006,VAUPES,AJI,0.0,0.0,0.0,0.0,0.0
2007,AMAZONAS,AJI,0.0,0.0,0.0,0.0,0.0
2007,ANTIOQUIA,AJI,0.0,0.0,0.0,0.0,0.0
2007,ATLANTICO,AJI,82.0,489.5,5.97,3.05,4.65
2007,CAUCA,AJI,8.0,21.6,2.7,0.13,0.45
2007,CESAR,AJI,85.0,866.0,10.19,5.4,4.82
2007,CORDOBA,AJI,103.0,877.0,8.51,5.47,5.84
2007,LA GUAJIRA,AJI,162.0,1174.9,7.25,7.33,9.18
2007,MAGDALENA,AJI,945.0,7571.0,8.01,47.23,53.57
2007,META,AJI,11.0,299.0,27.18,1.87,0.62
2007,QUINDIO,AJI,2.0,16.0,8.0,0.1,0.11
2007,SANTANDER,AJI,15.0,78.75,5.25,0.49,0.85
2007,SUCRE,AJI,156.0,1379.0,8.84,8.6,8.84
2007,VALLE DEL CAUCA,AJI,189.9,3238.17,17.05,20.2,10.77
2007,VAUPES,AJI,5.0,19.0,3.8,0.12,0.28
2007,VICHADA,AJI,0.0,0.0,0.0,0.0,0.0
2008,AMAZONAS,AJI,63.0,79.0,1.25,0.39,2.64
2008,ANTIOQUIA,AJI,44.0,145.0,3.3,0.72,1.85
2008,ATLANTICO,AJI,154.5,748.0,4.84,3.73,6.48
2008,CESAR,AJI,64.5,694.0,10.76,3.46,2.71
2008,CORDOBA,AJI,236.0,2396.0,10.15,11.95,9.9
2008,LA GUAJIRA,AJI,207.0,1601.0,7.73,7.99,8.69
2008,MAGDALENA,AJI,1217.0,10196.0,8.38,50.86,51.07
2008,META,AJI,11.0,299.0,27.18,1.49,0.46
