Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2006,BOLIVAR,AJI DULCE,0.0,0.0,0.0,0.0,0.0
2007,BOLIVAR,AJI DULCE,248.0,2014.5,8.12,100.0,100.0
2008,BOLIVAR,AJI DULCE,267.8,1879.4,7.02,100.0,100.0
2009,BOLIVAR,AJI DULCE,401.8,3339.88,8.31,100.0,100.0
2010,BOLIVAR,AJI DULCE,463.0,3782.0,8.17,98.54,99.4
2010,CORDOBA,AJI DULCE,2.8,56.0,20.0,1.46,0.6
2011,BOLIVAR,AJI DULCE,297.0,2860.0,9.63,100.0,100.0
2012,BOLIVAR,AJI DULCE,484.0,3759.0,7.77,100.0,100.0
2013,BOLIVAR,AJI DULCE,1039.0,7684.5,7.4,92.64,88.88
2013,SUCRE,AJI DULCE,130.0,610.1,4.6899999999999995,7.36,11.12
2014,BOLIVAR,AJI DULCE,936.0,6603.9,7.06,98.06,94.31
2014,SUCRE,AJI DULCE,56.5,130.7,2.31,1.94,5.6899999999999995
2015,BOLIVAR,AJI DULCE,1144.0,8093.0,7.07,93.98,90.83
2015,CORDOBA,AJI DULCE,9.5,45.75,4.82,0.53,0.75
2015,CUNDINAMARCA,AJI DULCE,30.0,300.0,10.0,3.48,2.38
2015,SUCRE,AJI DULCE,76.0,172.75,2.27,2.01,6.03
2016,BOLIVAR,AJI DULCE,717.0,5354.0,7.47,89.92,85.26
2016,CORDOBA,AJI DULCE,29.0,340.0,11.72,5.71,3.45
2016,SUCRE,AJI DULCE,93.0,258.0,2.77,4.33,11.06
2016,VAUPES,AJI DULCE,2.0,2.0,1.0,0.03,0.24
2017,BOLIVAR,AJI DULCE,598.0,4477.0,7.49,86.1,85.76
2017,CORDOBA,AJI DULCE,27.26,458.72,16.83,8.82,3.91
2017,SUCRE,AJI DULCE,72.0,264.2,3.67,5.08,10.33
2018,BOLIVAR,AJI DULCE,821.0,6381.67,7.77,86.67,76.64
2018,CORDOBA,AJI DULCE,24.74,386.39,15.62,5.25,2.31
2018,SUCRE,AJI DULCE,225.5,595.0,2.64,8.08,21.05
