Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2006,BOLIVAR,AJI TABASCO,0.0,0.0,0.0,0.0,0.0
2007,BOLIVAR,AJI TABASCO,165.0,825.0,5.0,100.0,100.0
2008,BOLIVAR,AJI TABASCO,65.0,390.0,6.0,100.0,100.0
2009,BOLIVAR,AJI TABASCO,85.0,525.0,6.18,100.0,100.0
2010,BOLIVAR,AJI TABASCO,90.0,540.0,6.0,100.0,100.0
2011,BOLIVAR,AJI TABASCO,70.0,420.0,6.0,100.0,100.0
2012,BOLIVAR,AJI TABASCO,80.0,540.0,6.75,100.0,100.0
2013,BOLIVAR,AJI TABASCO,80.0,540.0,6.75,100.0,100.0
2014,BOLIVAR,AJI TABASCO,42.0,171.0,4.07,100.0,100.0
2014,CAUCA,AJI TABASCO,0.0,0.0,0.0,0.0,0.0
2015,BOLIVAR,AJI TABASCO,56.0,290.5,5.19,45.0,62.22
2015,CAUCA,AJI TABASCO,22.0,286.0,13.0,44.31,24.44
2015,CORDOBA,AJI TABASCO,11.0,66.0,6.0,10.22,12.22
2015,CUNDINAMARCA,AJI TABASCO,1.0,3.0,3.0,0.46,1.11
2016,BOLIVAR,AJI TABASCO,118.0,704.0,5.97,56.05,68.6
2016,CAUCA,AJI TABASCO,12.0,156.0,13.0,12.42,6.98
2016,CORDOBA,AJI TABASCO,42.0,396.0,9.43,31.53,24.42
2017,CORDOBA,AJI TABASCO,101.0,845.6,8.37,100.0,100.0
2018,CORDOBA,AJI TABASCO,73.07,524.39,7.18,100.0,100.0
