Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2006,ANTIOQUIA,AJO,0.0,0.0,0.0,0.0,0.0
2006,BOYACA,AJO,0.0,0.0,0.0,0.0,0.0
2006,CUNDINAMARCA,AJO,0.0,0.0,0.0,0.0,0.0
2006,NORTE DE SANTANDER,AJO,0.0,0.0,0.0,0.0,0.0
2006,SANTANDER,AJO,0.0,0.0,0.0,0.0,0.0
2007,ANTIOQUIA,AJO,5.0,35.0,7.0,0.82,1.35
2007,BOYACA,AJO,62.5,215.0,3.44,5.06,16.81
2007,CAUCA,AJO,9.0,37.0,4.11,0.87,2.42
2007,CUNDINAMARCA,AJO,141.7,1426.0,10.06,33.57,38.12
2007,NORTE DE SANTANDER,AJO,13.5,135.0,10.0,3.18,3.63
2007,SANTANDER,AJO,140.0,2400.0,17.14,56.5,37.66
2008,ANTIOQUIA,AJO,7.0,49.0,7.0,1.44,1.96
2008,BOYACA,AJO,23.3,135.6,5.82,3.98,6.52
2008,CAUCA,AJO,9.0,53.0,5.89,1.55,2.52
2008,CUNDINAMARCA,AJO,85.0,875.0,10.29,25.67,23.79
2008,NORTE DE SANTANDER,AJO,12.0,117.0,9.75,3.43,3.36
2008,SANTANDER,AJO,221.0,2179.6,9.86,63.93,61.85
2009,ANTIOQUIA,AJO,8.0,44.0,5.5,1.22,2.35
2009,BOYACA,AJO,15.0,102.0,6.8,2.84,4.4
2009,CAUCA,AJO,8.0,48.0,6.0,1.34,2.35
2009,CUNDINAMARCA,AJO,77.1,768.2,9.96,21.37,22.6
2009,NARIÑO,AJO,15.0,420.0,28.0,11.69,4.4
2009,NORTE DE SANTANDER,AJO,7.0,69.0,9.86,1.92,2.05
2009,SANTANDER,AJO,211.0,2142.8,10.16,59.62,61.86
2010,ANTIOQUIA,AJO,6.4,33.6,5.25,0.96,2.0
2010,BOYACA,AJO,19.0,90.0,4.74,2.56,5.93
2010,CAUCA,AJO,17.0,156.0,9.18,4.44,5.31
2010,CUNDINAMARCA,AJO,125.0,1287.0,10.3,36.61,39.01
2010,NARIÑO,AJO,31.0,830.0,26.77,23.61,9.68
2010,NORTE DE SANTANDER,AJO,19.5,227.3,11.66,6.47,6.09
2010,SANTANDER,AJO,102.5,891.9,8.7,25.37,31.99
2011,ANTIOQUIA,AJO,7.2,35.2,4.89,0.57,1.6800000000000002
2011,BOYACA,AJO,21.25,126.16,5.9399999999999995,2.04,4.96
2011,CAUCA,AJO,19.0,120.0,6.32,1.94,4.43
2011,CUNDINAMARCA,AJO,87.0,871.0,10.01,14.12,20.31
2011,NARIÑO,AJO,123.0,3515.0,28.58,56.97,28.71
2011,NORTE DE SANTANDER,AJO,53.0,573.25,10.82,9.29,12.37
2011,SANTANDER,AJO,118.0,929.6,7.88,15.07,27.54
2012,ANTIOQUIA,AJO,7.0,34.0,4.86,0.42,1.52
2012,BOYACA,AJO,17.22,109.05,6.33,1.35,3.73
2012,CAUCA,AJO,17.0,69.1,4.06,0.86,3.68
2012,CUNDINAMARCA,AJO,47.12,470.88,9.99,5.84,10.2
2012,NARIÑO,AJO,199.0,5566.0,27.97,69.08,43.09
2012,NORTE DE SANTANDER,AJO,42.5,537.4,12.64,6.67,9.2
2012,SANTANDER,AJO,132.0,1271.2,9.63,15.78,28.58
2013,ANTIOQUIA,AJO,7.0,34.0,4.86,0.37,1.33
2013,BOYACA,AJO,25.0,112.0,4.48,1.2,4.74
2013,CAUCA,AJO,20.0,21.8,1.09,0.23,3.8
2013,CUNDINAMARCA,AJO,50.7,540.07,10.65,5.8,9.62
2013,NARIÑO,AJO,245.8,6767.2,27.53,72.69,46.64
2013,NORTE DE SANTANDER,AJO,27.5,295.75,10.75,3.18,5.22
2013,SANTANDER,AJO,151.0,1539.0,10.19,16.53,28.65
2014,ANTIOQUIA,AJO,7.0,34.0,4.86,0.38,1.34
2014,BOYACA,AJO,15.0,70.0,4.67,0.78,2.87
2014,CAUCA,AJO,18.9,21.07,1.11,0.24,3.62
2014,CUNDINAMARCA,AJO,106.5,1148.5,10.78,12.85,20.37
2014,NARIÑO,AJO,234.8,6603.2,28.12,73.87,44.92
2014,NORTE DE SANTANDER,AJO,30.5,344.05,11.28,3.85,5.84
2014,SANTANDER,AJO,110.0,718.4,6.53,8.04,21.04
2015,ANTIOQUIA,AJO,5.0,20.0,4.0,0.26,1.26
2015,BOYACA,AJO,6.3,59.4,9.43,0.76,1.58
2015,CAUCA,AJO,11.4,14.82,1.3,0.19,2.87
2015,CUNDINAMARCA,AJO,81.0,881.0,10.88,11.32,20.38
2015,NARIÑO,AJO,212.6,6086.0,28.63,78.21,53.48
2015,NORTE DE SANTANDER,AJO,28.2,229.2,8.13,2.95,7.09
2015,SANTANDER,AJO,53.0,491.6,9.28,6.32,13.33
2016,ANTIOQUIA,AJO,3.0,12.0,4.0,0.21,0.82
2016,BOYACA,AJO,5.5,16.25,2.95,0.29,1.51
2016,CAUCA,AJO,11.0,14.3,1.3,0.25,3.02
2016,CUNDINAMARCA,AJO,75.0,853.0,11.37,15.18,20.6
2016,NARIÑO,AJO,150.0,3945.0,26.3,70.21,41.21
2016,NORTE DE SANTANDER,AJO,31.5,262.55,8.33,4.67,8.65
2016,SANTANDER,AJO,88.0,516.0,5.86,9.18,24.18
2017,ANTIOQUIA,AJO,6.0,24.0,4.0,0.42,1.27
2017,BOYACA,AJO,5.5,12.75,2.32,0.22,1.16
2017,CAUCA,AJO,10.9,66.53,6.1,1.16,2.3
2017,CUNDINAMARCA,AJO,66.0,789.0,11.95,13.7,13.94
2017,NARIÑO,AJO,137.0,3266.0,23.84,56.72,28.94
2017,NORTE DE SANTANDER,AJO,22.0,212.2,9.65,3.69,4.65
2017,SANTANDER,AJO,226.0,1388.0,6.14,24.1,47.74
2018,ANTIOQUIA,AJO,4.0,16.0,4.0,0.53,1.73
2018,BOYACA,AJO,2.0,4.0,2.0,0.13,0.87
2018,CAUCA,AJO,7.0,63.0,9.0,2.11,3.03
2018,CUNDINAMARCA,AJO,30.0,376.6,12.55,12.59,12.99
2018,NARIÑO,AJO,84.0,1876.0,22.33,62.71,36.36
2018,NORTE DE SANTANDER,AJO,19.0,141.0,7.42,4.71,8.23
2018,SANTANDER,AJO,85.0,515.0,6.06,17.21,36.8
2019,ANTIOQUIA,AJO,6.0,24.0,4.0,0.27,1.01
2019,BOYACA,AJO,7.0,85.0,12.14,0.95,1.17
2019,CAUCA,AJO,10.0,20.0,2.0,0.22,1.6800000000000002
2019,CUNDINAMARCA,AJO,137.0,3491.0,25.48,39.08,22.98
2019,NARIÑO,AJO,93.5,1870.0,20.0,20.93,15.68
2019,NORTE DE SANTANDER,AJO,57.7,592.5,10.27,6.63,9.68
2019,SANTANDER,AJO,285.0,2850.0,10.0,31.91,47.8
2020,ANTIOQUIA,AJO,4.0,16.0,4.0,0.19,0.62
2020,BOYACA,AJO,10.0,109.0,10.9,1.27,1.55
2020,CAUCA,AJO,16.0,32.0,2.0,0.37,2.4699999999999998
2020,CUNDINAMARCA,AJO,200.1,2647.5,13.23,30.83,30.92
2020,NARIÑO,AJO,103.0,2707.0,26.28,31.52,15.91
