Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2006,BOLIVAR,AJONJOLI,0.0,0.0,0.0,0.0,0.0
2006,CESAR,AJONJOLI,0.0,0.0,0.0,0.0,0.0
2006,CORDOBA,AJONJOLI,0.0,0.0,0.0,0.0,0.0
2006,MAGDALENA,AJONJOLI,0.0,0.0,0.0,0.0,0.0
2006,SUCRE,AJONJOLI,0.0,0.0,0.0,0.0,0.0
2006,TOLIMA,AJONJOLI,0.0,0.0,0.0,0.0,0.0
2007,ATLANTICO,AJONJOLI,0.0,0.0,0.0,0.0,0.0
2007,BOLIVAR,AJONJOLI,1390.0,1474.0,1.06,50.04,40.58
2007,CESAR,AJONJOLI,30.0,27.0,0.9,0.92,0.88
2007,CORDOBA,AJONJOLI,273.5,198.85,0.73,6.75,7.98
2007,MAGDALENA,AJONJOLI,1010.0,824.0,0.82,27.97,29.48
2007,SUCRE,AJONJOLI,642.0,346.0,0.54,11.75,18.74
2007,TOLIMA,AJONJOLI,80.0,76.0,0.95,2.58,2.34
2008,ATLANTICO,AJONJOLI,2.5,0.5,0.2,0.02,0.08
2008,BOLIVAR,AJONJOLI,1037.0,805.1,0.78,34.93,33.91
2008,CORDOBA,AJONJOLI,263.0,214.1,0.81,9.29,8.6
2008,MAGDALENA,AJONJOLI,1025.0,808.0,0.79,35.06,33.51
2008,SUCRE,AJONJOLI,471.0,292.9,0.62,12.71,15.4
2008,TOLIMA,AJONJOLI,260.0,184.0,0.71,7.98,8.5
2009,ATLANTICO,AJONJOLI,13.0,6.5,0.5,0.3,0.44
2009,BOLIVAR,AJONJOLI,1167.0,942.0,0.81,43.25,39.89
2009,CORDOBA,AJONJOLI,305.0,226.0,0.74,10.38,10.43
2009,GUAVIARE,AJONJOLI,30.0,6.0,0.2,0.28,1.03
2009,MAGDALENA,AJONJOLI,671.0,523.0,0.78,24.01,22.94
2009,SUCRE,AJONJOLI,321.5,197.1,0.61,9.05,10.99
2009,TOLIMA,AJONJOLI,418.0,277.5,0.66,12.74,14.29
2010,ATLANTICO,AJONJOLI,33.4,16.7,0.5,0.86,1.25
2010,BOLIVAR,AJONJOLI,1300.0,975.0,0.75,50.04,48.73
2010,CORDOBA,AJONJOLI,336.0,296.2,0.88,15.2,12.59
2010,MAGDALENA,AJONJOLI,454.0,348.2,0.77,17.87,17.02
2010,SUCRE,AJONJOLI,308.5,202.75,0.66,10.41,11.56
2010,TOLIMA,AJONJOLI,236.0,109.6,0.46,5.62,8.85
2011,ATLANTICO,AJONJOLI,0.25,0.13,0.5,0.01,0.01
2011,BOLIVAR,AJONJOLI,485.0,425.0,0.88,26.69,23.68
2011,CORDOBA,AJONJOLI,205.0,175.5,0.86,11.02,10.01
2011,MAGDALENA,AJONJOLI,965.0,748.0,0.78,46.97,47.12
2011,SUCRE,AJONJOLI,264.5,168.11,0.64,10.56,12.92
2011,TOLIMA,AJONJOLI,128.0,75.6,0.59,4.75,6.25
2012,ATLANTICO,AJONJOLI,1.27,0.64,0.5,0.05,0.08
2012,BOLIVAR,AJONJOLI,395.0,317.0,0.8,26.42,24.51
2012,CORDOBA,AJONJOLI,230.0,196.0,0.85,16.34,14.27
2012,MAGDALENA,AJONJOLI,630.0,473.0,0.75,39.43,39.1
2012,SUCRE,AJONJOLI,255.0,157.0,0.62,13.09,15.83
2012,TOLIMA,AJONJOLI,100.0,56.0,0.56,4.67,6.21
2013,ATLANTICO,AJONJOLI,1.0,0.5,0.5,0.02,0.04
2013,BOLIVAR,AJONJOLI,660.0,628.0,0.95,30.05,24.85
2013,CORDOBA,AJONJOLI,437.75,348.3,0.8,16.67,16.48
2013,MAGDALENA,AJONJOLI,975.0,722.0,0.74,34.55,36.72
2013,SUCRE,AJONJOLI,331.7,201.03,0.61,9.62,12.49
2013,TOLIMA,AJONJOLI,250.0,190.0,0.76,9.09,9.41
2014,BOLIVAR,AJONJOLI,3356.0,2234.5,0.67,59.35,62.78
