Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2008,BOYACA,ALBAHACA,5.0,7.5,1.5,13.27,22.73
2008,CUNDINAMARCA,ALBAHACA,16.0,48.0,3.0,84.96,72.73
2008,PUTUMAYO,ALBAHACA,1.0,1.0,1.0,1.77,4.55
2009,BOYACA,ALBAHACA,40.0,80.0,2.0,54.42,51.95
2009,CUNDINAMARCA,ALBAHACA,10.0,25.0,2.5,17.01,12.99
2009,PUTUMAYO,ALBAHACA,22.0,22.0,1.0,14.97,28.57
2009,TOLIMA,ALBAHACA,5.0,20.0,4.0,13.61,6.49
2010,BOYACA,ALBAHACA,4.0,6.0,1.5,5.22,7.55
2010,CUNDINAMARCA,ALBAHACA,16.0,45.0,2.81,39.13,30.19
2010,PUTUMAYO,ALBAHACA,20.0,20.0,1.0,17.39,37.74
2010,TOLIMA,ALBAHACA,13.0,44.0,3.38,38.26,24.53
2011,BOYACA,ALBAHACA,9.0,13.5,1.5,14.06,18.0
2011,CUNDINAMARCA,ALBAHACA,17.0,42.5,2.5,44.27,34.0
2011,PUTUMAYO,ALBAHACA,16.0,16.0,1.0,16.67,32.0
2011,TOLIMA,ALBAHACA,8.0,24.0,3.0,25.0,16.0
2012,BOYACA,ALBAHACA,9.0,13.5,1.5,32.53,31.03
2012,CUNDINAMARCA,ALBAHACA,9.0,22.5,2.5,54.22,31.03
2012,NARIÑO,ALBAHACA,1.0,0.5,0.5,1.2,3.45
2012,TOLIMA,ALBAHACA,10.0,5.0,0.5,12.05,34.48
2013,BOYACA,ALBAHACA,9.0,13.5,1.5,11.79,16.36
2013,CALDAS,ALBAHACA,0.0,0.0,0.0,0.0,0.0
2013,CUNDINAMARCA,ALBAHACA,12.0,84.0,7.0,73.36,21.82
2013,NARIÑO,ALBAHACA,34.0,17.0,0.5,14.85,61.82
2014,CALDAS,ALBAHACA,13.0,212.8,16.37,60.58,23.21
2014,CUNDINAMARCA,ALBAHACA,28.0,128.0,4.57,36.44,50.0
2014,NARIÑO,ALBAHACA,15.0,10.5,0.7,2.99,26.79
2015,CALDAS,ALBAHACA,16.0,236.0,14.75,54.93,23.19
2015,CUNDINAMARCA,ALBAHACA,33.0,175.1,5.31,40.76,47.83
2015,NARIÑO,ALBAHACA,20.0,18.5,0.93,4.31,28.99
2016,CALDAS,ALBAHACA,12.0,216.0,18.0,49.75,15.0
2016,CAUCA,ALBAHACA,1.0,4.0,4.0,0.92,1.25
2016,CUNDINAMARCA,ALBAHACA,45.0,195.15,4.34,44.95,56.25
2016,NARIÑO,ALBAHACA,22.0,19.0,0.86,4.38,27.5
2017,BOYACA,ALBAHACA,5.0,75.0,15.0,15.78,4.73
2017,CAUCA,ALBAHACA,2.0,8.0,4.0,1.6800000000000002,1.8900000000000001
2017,CUNDINAMARCA,ALBAHACA,69.0,363.0,5.26,76.37,65.22
2017,NARIÑO,ALBAHACA,29.8,29.3,0.98,6.16,28.17
2018,BOYACA,ALBAHACA,25.0,375.0,15.0,48.91,23.15
2018,CAUCA,ALBAHACA,2.0,8.0,4.0,1.04,1.85
2018,CUNDINAMARCA,ALBAHACA,60.0,366.0,6.1,47.74,55.56
2018,NARIÑO,ALBAHACA,21.0,17.72,0.84,2.31,19.44
2019,CUNDINAMARCA,ALBAHACA,82.0,595.5,7.26,13.95,16.47
2019,NARIÑO,ALBAHACA,25.8,54.5,2.11,1.28,5.18
2019,TOLIMA,ALBAHACA,390.0,3620.0,9.28,84.78,78.34
2020,CUNDINAMARCA,ALBAHACA,113.0,489.8,4.33,11.92,20.51
2020,NARIÑO,ALBAHACA,19.0,77.0,4.05,1.87,3.45
2020,TOLIMA,ALBAHACA,419.0,3542.0,8.45,86.21,76.04
2021,CUNDINAMARCA,ALBAHACA,119.0,659.5,5.54,32.52,25.81
2021,HUILA,ALBAHACA,0.0,0.0,0.0,0.0,0.0
2021,NARIÑO,ALBAHACA,32.0,74.0,2.31,3.65,6.9399999999999995
2021,TOLIMA,ALBAHACA,310.0,1294.4,4.18,63.83,67.25
2022,CUNDINAMARCA,ALBAHACA,57.5,333.75,5.8,31.3,23.61
2022,HUILA,ALBAHACA,4.5,13.5,3.0,1.27,1.85
2022,NARIÑO,ALBAHACA,15.5,33.85,2.18,3.17,6.37
2022,TOLIMA,ALBAHACA,166.0,685.2,4.13,64.26,68.17
2023,CUNDINAMARCA,ALBAHACA,65.5,364.5,5.5600000000000005,25.42,19.76
2023,HUILA,ALBAHACA,4.5,13.5,3.0,0.94,1.3599999999999999
2023,NARIÑO,ALBAHACA,17.5,37.9,2.17,2.64,5.28
2023,TOLIMA,ALBAHACA,244.0,1018.0,4.17,71.0,73.6
