Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2006,ANTIOQUIA,ALGODON,0.0,0.0,0.0,0.0,0.0
2006,ATLANTICO,ALGODON,0.0,0.0,0.0,0.0,0.0
2006,BOLIVAR,ALGODON,0.0,0.0,0.0,0.0,0.0
2006,CASANARE,ALGODON,0.0,0.0,0.0,0.0,0.0
2006,CESAR,ALGODON,0.0,0.0,0.0,0.0,0.0
2006,CORDOBA,ALGODON,0.0,0.0,0.0,0.0,0.0
2006,LA GUAJIRA,ALGODON,0.0,0.0,0.0,0.0,0.0
2006,MAGDALENA,ALGODON,0.0,0.0,0.0,0.0,0.0
2006,META,ALGODON,0.0,0.0,0.0,0.0,0.0
2006,SUCRE,ALGODON,0.0,0.0,0.0,0.0,0.0
2006,VICHADA,ALGODON,0.0,0.0,0.0,0.0,0.0
2007,ANTIOQUIA,ALGODON,177.8,236.42,1.33,0.22,0.38
2007,ATLANTICO,ALGODON,337.25,221.57,0.66,0.2,0.72
2007,BOLIVAR,ALGODON,2483.0,4657.0,1.88,4.28,5.32
2007,CASANARE,ALGODON,385.0,460.66,1.2,0.42,0.82
2007,CAUCA,ALGODON,76.04,169.6,2.23,0.16,0.16
2007,CESAR,ALGODON,2899.0,6878.0,2.37,6.32,6.21
2007,CORDOBA,ALGODON,21873.0,49244.0,2.25,45.23,46.84
2007,CUNDINAMARCA,ALGODON,1006.45,2392.0,2.38,2.2,2.16
2007,HUILA,ALGODON,1454.59,4878.39,3.35,4.48,3.11
2007,LA GUAJIRA,ALGODON,472.0,659.0,1.4,0.61,1.01
2007,MAGDALENA,ALGODON,732.0,1032.0,1.41,0.95,1.5699999999999998
2007,META,ALGODON,336.0,382.0,1.1400000000000001,0.35,0.72
2007,SUCRE,ALGODON,2350.0,3874.0,1.65,3.56,5.03
2007,TOLIMA,ALGODON,11649.16,32432.0,2.7800000000000002,29.79,24.95
2007,VALLE DEL CAUCA,ALGODON,325.08,1122.55,3.45,1.03,0.7
2007,VICHADA,ALGODON,140.0,245.0,1.75,0.23,0.3
2008,ANTIOQUIA,ALGODON,57.3,57.0,0.99,0.06,0.14
