Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2006,ANTIOQUIA,APIO,0.0,0.0,0.0,0.0,0.0
2006,CUNDINAMARCA,APIO,0.0,0.0,0.0,0.0,0.0
2006,NORTE DE SANTANDER,APIO,0.0,0.0,0.0,0.0,0.0
2007,ANTIOQUIA,APIO,92.0,2020.0,21.96,9.62,12.37
2007,CUNDINAMARCA,APIO,599.0,18190.0,30.37,86.6,80.51
2007,NORTE DE SANTANDER,APIO,53.0,795.0,15.0,3.7800000000000002,7.12
2008,ANTIOQUIA,APIO,92.0,2020.0,21.96,12.7,15.8
2008,CUNDINAMARCA,APIO,432.3,13015.0,30.11,81.83,74.24
2008,NORTE DE SANTANDER,APIO,58.0,870.0,15.0,5.47,9.96
2009,ANTIOQUIA,APIO,92.0,2020.0,21.96,18.47,19.78
2009,CASANARE,APIO,18.0,90.0,5.0,0.82,3.87
2009,CUNDINAMARCA,APIO,280.12,7784.0,27.79,71.16,60.23
2009,NORTE DE SANTANDER,APIO,65.0,975.0,15.0,8.91,13.97
2009,SANTANDER,APIO,10.0,70.0,7.0,0.64,2.15
2010,ANTIOQUIA,APIO,95.6,2112.4,22.1,61.24,53.83
2010,CUNDINAMARCA,APIO,27.0,535.0,19.81,15.51,15.2
2010,NARIÑO,APIO,0.2,0.09,0.46,0.0,0.11
2010,NORTE DE SANTANDER,APIO,50.8,762.0,15.0,22.09,28.6
2010,SANTANDER,APIO,4.0,40.0,10.0,1.16,2.25
2011,ANTIOQUIA,APIO,87.5,1916.0,21.9,33.89,26.28
2011,CASANARE,APIO,19.0,76.0,4.0,1.34,5.71
2011,CUNDINAMARCA,APIO,151.25,2593.25,17.15,45.87,45.43
2011,NARIÑO,APIO,0.2,0.09,0.46,0.0,0.06
2011,NORTE DE SANTANDER,APIO,60.0,900.0,15.0,15.92,18.02
2011,SANTANDER,APIO,15.0,168.0,11.2,2.9699999999999998,4.51
2012,ANTIOQUIA,APIO,88.0,1895.0,21.53,20.38,17.3
2012,CASANARE,APIO,10.0,40.0,4.0,0.43,1.97
2012,CUNDINAMARCA,APIO,270.25,5879.75,21.76,63.24,53.14
2012,NORTE DE SANTANDER,APIO,60.0,900.0,15.0,9.68,11.8
2012,SANTANDER,APIO,80.3,583.0,7.26,6.27,15.79
2013,ANTIOQUIA,APIO,82.0,1763.0,21.5,17.08,13.5
2013,BOYACA,APIO,1.0,1.0,1.0,0.01,0.16
2013,CASANARE,APIO,10.0,40.0,4.0,0.39,1.65
2013,CESAR,APIO,14.0,70.0,5.0,0.68,2.31
2013,CUNDINAMARCA,APIO,257.0,5785.0,22.51,56.06,42.32
2013,NORTE DE SANTANDER,APIO,67.0,1005.0,15.0,9.74,11.03
2013,SANTANDER,APIO,176.3,1656.0,9.39,16.05,29.03
2013,VALLE DEL CAUCA,APIO,0.0,0.0,0.0,0.0,0.0
2014,ANTIOQUIA,APIO,76.0,1601.0,21.07,19.19,16.78
2014,BOYACA,APIO,1.0,1.0,1.0,0.01,0.22
2014,CASANARE,APIO,12.0,51.6,4.3,0.62,2.65
2014,CESAR,APIO,23.0,115.0,5.0,1.38,5.08
2014,CUNDINAMARCA,APIO,237.0,5325.0,22.47,63.84,52.32
2014,NORTE DE SANTANDER,APIO,65.0,975.0,15.0,11.69,14.35
2014,SANTANDER,APIO,37.0,253.0,6.84,3.03,8.17
2014,VALLE DEL CAUCA,APIO,2.0,20.0,10.0,0.24,0.44
2015,ANTIOQUIA,APIO,69.0,1431.0,20.74,20.2,17.51
2015,BOYACA,APIO,1.0,1.0,1.0,0.01,0.25
2015,CASANARE,APIO,14.0,60.2,4.3,0.85,3.55
2015,CUNDINAMARCA,APIO,213.0,4602.0,21.61,64.95,54.06
2015,NORTE DE SANTANDER,APIO,65.0,870.0,13.38,12.28,16.5
2015,SANTANDER,APIO,32.0,121.0,3.7800000000000002,1.71,8.12
2016,ANTIOQUIA,APIO,102.8,2211.2,21.51,23.07,19.1
2016,CUNDINAMARCA,APIO,233.0,5050.0,21.67,52.69,43.28
2016,NORTE DE SANTANDER,APIO,90.0,1170.0,13.0,12.21,16.72
2016,SANTANDER,APIO,112.5,1153.5,10.25,12.03,20.9
2017,ANTIOQUIA,APIO,158.0,3392.0,21.47,31.78,26.14
2017,CUNDINAMARCA,APIO,211.0,4553.0,21.58,42.65,34.9
2017,NORTE DE SANTANDER,APIO,115.0,1380.0,12.0,12.93,19.02
2017,SANTANDER,APIO,120.5,1350.0,11.2,12.65,19.93
2018,ANTIOQUIA,APIO,88.0,1900.54,21.6,33.63,29.14
2018,CUNDINAMARCA,APIO,115.0,2465.0,21.43,43.62,38.08
2018,NORTE DE SANTANDER,APIO,70.0,840.0,12.0,14.87,23.18
2018,SANTANDER,APIO,29.0,445.0,15.34,7.88,9.6
2019,ANTIOQUIA,APIO,122.0,2612.0,21.41,28.71,22.8
2019,CUNDINAMARCA,APIO,206.0,4236.0,20.56,46.55,38.5
2019,NORTE DE SANTANDER,APIO,102.0,1326.0,13.0,14.57,19.07
2019,SANTANDER,APIO,105.0,925.0,8.81,10.17,19.63
