Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2012,CUNDINAMARCA,ARANDANO,2.0,4.0,2.0,100.0,100.0
2013,CUNDINAMARCA,ARANDANO,0.0,0.0,0.0,0.0,0.0
2014,CUNDINAMARCA,ARANDANO,0.0,0.0,0.0,0.0,0.0
2015,CUNDINAMARCA,ARANDANO,2.0,10.0,5.0,100.0,100.0
2016,CUNDINAMARCA,ARANDANO,7.5,91.0,12.13,100.0,100.0
2017,CUNDINAMARCA,ARANDANO,18.5,150.0,8.11,100.0,100.0
2018,CUNDINAMARCA,ARANDANO,27.5,209.0,7.6,100.0,100.0
2019,BOYACA,ARANDANO,102.3,634.0,6.2,67.88,78.33
2019,CUNDINAMARCA,ARANDANO,28.3,300.0,10.6,32.12,21.67
2020,BOYACA,ARANDANO,176.24,842.88,4.78,55.07,57.97
2020,CUNDINAMARCA,ARANDANO,127.8,687.7,5.38,44.93,42.03
2021,ANTIOQUIA,ARANDANO,2.0,2.0,1.0,0.05,0.37
2021,BOYACA,ARANDANO,391.48,2779.72,7.1,63.49,72.57
2021,CUNDINAMARCA,ARANDANO,145.96,1596.72,10.94,36.47,27.06
2022,ANTIOQUIA,ARANDANO,1.0,4.0,4.0,0.16,0.33
2022,BOYACA,ARANDANO,222.95,1581.38,7.09,64.72,73.87
2022,CUNDINAMARCA,ARANDANO,77.88,858.21,11.02,35.12,25.8
2023,ANTIOQUIA,ARANDANO,2.39,18.7,7.82,0.56,0.51
2023,BOYACA,ARANDANO,242.35,1719.53,7.1,51.44,51.96
2023,CUNDINAMARCA,ARANDANO,221.68,1604.6,7.24,48.0,47.53
2023,NORTE DE SANTANDER,ARANDANO,0.0,0.0,0.0,0.0,0.0
