Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,META,ARAZA,36.0,348.6,9.68,100.0,100.0
2008,AMAZONAS,ARAZA,108.0,339.0,3.14,16.46,14.6
2008,BOYACA,ARAZA,2.5,3.0,1.2,0.15,0.34
2008,CAQUETA,ARAZA,378.0,968.0,2.56,47.0,51.12
2008,CUNDINAMARCA,ARAZA,10.0,20.0,2.0,0.97,1.35
2008,GUAVIARE,ARAZA,141.0,423.0,3.0,20.54,19.07
2008,META,ARAZA,30.0,256.6,8.55,12.46,4.06
2008,PUTUMAYO,ARAZA,70.0,50.0,0.71,2.43,9.47
2009,AMAZONAS,ARAZA,56.0,280.0,5.0,12.13,8.18
2009,BOYACA,ARAZA,5.0,9.0,1.8,0.39,0.73
2009,CAQUETA,ARAZA,416.0,1299.0,3.12,56.26,60.77
2009,CUNDINAMARCA,ARAZA,10.0,20.0,2.0,0.87,1.46
2009,GUAVIARE,ARAZA,141.0,423.0,3.0,18.32,20.6
2009,META,ARAZA,26.5,274.25,10.35,11.88,3.87
2009,PUTUMAYO,ARAZA,30.0,3.6,0.12,0.16,4.38
2010,AMAZONAS,ARAZA,58.0,290.0,5.0,20.54,10.96
2010,BOYACA,ARAZA,5.0,15.0,3.0,1.06,0.95
2010,CAQUETA,ARAZA,436.0,1103.5,2.5300000000000002,78.15,82.42
2010,PUTUMAYO,ARAZA,30.0,3.6,0.12,0.25,5.67
2011,AMAZONAS,ARAZA,58.0,290.0,5.0,29.44,14.85
2011,BOYACA,ARAZA,12.19,50.56,4.15,5.13,3.12
2011,CAQUETA,ARAZA,290.0,640.52,2.21,65.02,74.23
2011,CASANARE,ARAZA,0.5,0.5,1.0,0.05,0.13
2011,PUTUMAYO,ARAZA,30.0,3.6,0.12,0.37,7.68
2012,AMAZONAS,ARAZA,32.0,160.0,5.0,22.16,10.0
2012,BOYACA,ARAZA,10.0,55.0,5.5,7.62,3.13
2012,CAQUETA,ARAZA,186.0,430.0,2.31,59.56,58.13
2012,CASANARE,ARAZA,3.0,3.0,1.0,0.42,0.94
2012,PUTUMAYO,ARAZA,89.0,74.0,0.83,10.25,27.81
2013,AMAZONAS,ARAZA,21.0,105.0,5.0,16.42,6.84
2013,BOYACA,ARAZA,15.0,75.0,5.0,11.73,4.89
2013,CAQUETA,ARAZA,140.0,294.8,2.11,46.09,45.6
2013,CASANARE,ARAZA,2.0,2.0,1.0,0.31,0.65
2013,META,ARAZA,4.0,32.0,8.0,5.0,1.3
2013,PUTUMAYO,ARAZA,122.0,128.4,1.05,20.08,39.74
2013,VALLE DEL CAUCA,ARAZA,3.0,2.4,0.8,0.38,0.98
2014,AMAZONAS,ARAZA,27.0,135.0,5.0,20.87,10.51
2014,BOYACA,ARAZA,5.0,25.0,5.0,3.86,1.95
2014,CAQUETA,ARAZA,56.0,206.4,3.69,31.9,21.81
2014,CASANARE,ARAZA,5.0,5.0,1.0,0.77,1.95
2014,GUAINIA,ARAZA,3.8,41.8,11.0,6.46,1.48
2014,META,ARAZA,13.0,96.0,7.38,14.84,5.06
2014,PUTUMAYO,ARAZA,141.0,133.0,0.94,20.56,54.91
2014,VALLE DEL CAUCA,ARAZA,6.0,4.8,0.8,0.74,2.34
2015,AMAZONAS,ARAZA,30.0,150.0,5.0,22.28,11.14
2015,BOYACA,ARAZA,5.0,25.0,5.0,3.71,1.8599999999999999
2015,CAQUETA,ARAZA,75.0,238.3,3.18,35.39,27.85
2015,CASANARE,ARAZA,3.0,6.0,2.0,0.89,1.11
2015,GUAINIA,ARAZA,3.8,41.8,11.0,6.21,1.41
2015,META,ARAZA,8.5,67.0,7.88,9.95,3.16
2015,PUTUMAYO,ARAZA,138.0,140.4,1.02,20.85,51.24
2015,VALLE DEL CAUCA,ARAZA,6.0,4.8,0.8,0.71,2.23
2016,AMAZONAS,ARAZA,45.0,305.0,6.78,28.26,26.47
2016,BOYACA,ARAZA,8.0,40.0,5.0,3.71,4.71
2016,CAQUETA,ARAZA,107.0,720.8,6.74,66.79,62.94
2016,META,ARAZA,2.0,1.0,0.5,0.09,1.18
2016,PUTUMAYO,ARAZA,5.0,10.0,2.0,0.93,2.94
2016,VALLE DEL CAUCA,ARAZA,3.0,2.4,0.8,0.22,1.76
2017,AMAZONAS,ARAZA,27.23,272.3,10.0,22.52,14.82
2017,BOYACA,ARAZA,8.0,48.0,6.0,3.9699999999999998,4.35
2017,CAQUETA,ARAZA,128.0,790.0,6.17,65.33,69.67
2017,CHOCO,ARAZA,8.0,80.0,10.0,6.62,4.35
2017,META,ARAZA,2.0,1.6,0.8,0.13,1.09
2017,PUTUMAYO,ARAZA,7.5,15.0,2.0,1.24,4.08
2017,VALLE DEL CAUCA,ARAZA,3.0,2.4,0.8,0.2,1.63
2018,AMAZONAS,ARAZA,31.79,317.93,10.0,27.53,18.19
2018,BOYACA,ARAZA,7.0,42.0,6.0,3.64,4.0
2018,CAQUETA,ARAZA,113.0,690.0,6.11,59.74,64.65
2018,CHOCO,ARAZA,8.0,80.0,10.0,6.93,4.58
2018,META,ARAZA,2.0,1.6,0.8,0.14,1.1400000000000001
2018,PUTUMAYO,ARAZA,10.0,21.0,2.1,1.8199999999999998,5.72
2018,VALLE DEL CAUCA,ARAZA,3.0,2.4,0.8,0.21,1.72
2019,AMAZONAS,ARAZA,53.0,130.0,2.45,58.14,49.53
2019,BOYACA,ARAZA,7.0,25.0,3.57,11.18,6.54
2019,CAQUETA,ARAZA,26.0,24.0,0.92,10.73,24.3
