Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,ANTIOQUIA,ARRACACHA,122.0,1980.0,16.23,2.57,1.73
2007,BOYACA,ARRACACHA,433.5,4542.0,10.48,5.9,6.16
2007,CALDAS,ARRACACHA,40.0,499.0,12.47,0.65,0.57
2007,CAUCA,ARRACACHA,17.0,58.36,3.43,0.08,0.24
2007,CUNDINAMARCA,ARRACACHA,400.0,3913.0,9.78,5.08,5.68
2007,HUILA,ARRACACHA,629.0,4900.5,7.79,6.37,8.94
2007,LA GUAJIRA,ARRACACHA,190.0,1667.0,8.77,2.17,2.7
2007,NARIÑO,ARRACACHA,87.0,834.5,9.59,1.08,1.24
2007,NORTE DE SANTANDER,ARRACACHA,511.0,6786.0,13.28,8.82,7.26
2007,QUINDIO,ARRACACHA,8.1,80.2,9.9,0.1,0.12
2007,RISARALDA,ARRACACHA,7.0,63.0,9.0,0.08,0.1
2007,SANTANDER,ARRACACHA,216.5,1938.4,8.95,2.52,3.08
2007,TOLIMA,ARRACACHA,3994.0,45190.0,11.31,58.71,56.76
2007,VALLE DEL CAUCA,ARRACACHA,381.8,4522.4,11.84,5.88,5.43
2008,ANTIOQUIA,ARRACACHA,151.0,2631.0,17.42,3.42,2.33
2008,BOYACA,ARRACACHA,561.8,6041.0,10.75,7.86,8.67
2008,CALDAS,ARRACACHA,32.0,390.0,12.19,0.51,0.49
2008,CAUCA,ARRACACHA,136.0,663.2,4.88,0.86,2.1
2008,CUNDINAMARCA,ARRACACHA,323.0,2957.5,9.16,3.85,4.98
2008,HUILA,ARRACACHA,563.0,4363.5,7.75,5.68,8.69
2008,LA GUAJIRA,ARRACACHA,46.0,408.0,8.87,0.53,0.71
2008,NARIÑO,ARRACACHA,121.14,1049.09,8.66,1.3599999999999999,1.87
2008,NORTE DE SANTANDER,ARRACACHA,683.2,10826.0,15.85,14.08,10.54
2008,QUINDIO,ARRACACHA,13.5,86.2,6.39,0.11,0.21
2008,RISARALDA,ARRACACHA,8.0,72.0,9.0,0.09,0.12
2008,SANTANDER,ARRACACHA,236.0,2503.6,10.61,3.26,3.64
2008,TOLIMA,ARRACACHA,3235.0,40335.0,12.47,52.46,49.91
2008,VALLE DEL CAUCA,ARRACACHA,371.5,4562.06,12.28,5.93,5.73
2009,ANTIOQUIA,ARRACACHA,51.0,731.0,14.33,1.47,1.02
2009,BOYACA,ARRACACHA,678.56,6984.98,10.29,14.09,13.53
2009,CALDAS,ARRACACHA,17.0,156.4,9.2,0.32,0.34
2009,CAUCA,ARRACACHA,56.5,180.0,3.19,0.36,1.13
2009,CUNDINAMARCA,ARRACACHA,406.8,3710.16,9.12,7.48,8.11
2009,HUILA,ARRACACHA,469.5,3377.3,7.19,6.8100000000000005,9.36
2009,LA GUAJIRA,ARRACACHA,54.0,479.0,8.87,0.97,1.08
2009,NARIÑO,ARRACACHA,116.0,1048.6,9.04,2.11,2.31
2009,NORTE DE SANTANDER,ARRACACHA,594.0,8780.0,14.78,17.71,11.84
2009,QUINDIO,ARRACACHA,2.1,16.6,7.9,0.03,0.04
2009,RISARALDA,ARRACACHA,10.0,90.0,9.0,0.18,0.2
2009,SANTANDER,ARRACACHA,267.5,2303.4,8.61,4.65,5.33
2009,TOLIMA,ARRACACHA,1974.0,18236.5,9.24,36.78,39.36
2009,VALLE DEL CAUCA,ARRACACHA,318.58,3493.0,10.96,7.04,6.35
2010,ANTIOQUIA,ARRACACHA,53.0,853.0,16.09,1.5899999999999999,0.8
2010,BOYACA,ARRACACHA,747.3,7203.5,9.64,13.39,11.3
2010,CALDAS,ARRACACHA,29.0,264.4,9.12,0.49,0.44
2010,CASANARE,ARRACACHA,30.0,150.0,5.0,0.28,0.45
2010,CAUCA,ARRACACHA,46.5,215.0,4.62,0.4,0.7
2010,CUNDINAMARCA,ARRACACHA,455.0,3732.6,8.2,6.9399999999999995,6.88
2010,HUILA,ARRACACHA,480.5,3440.5,7.16,6.4,7.27
2010,LA GUAJIRA,ARRACACHA,62.0,548.0,8.84,1.02,0.94
2010,NARIÑO,ARRACACHA,300.0,2324.6,7.75,4.32,4.54
2010,NORTE DE SANTANDER,ARRACACHA,666.0,9288.0,13.95,17.26,10.07
2010,QUINDIO,ARRACACHA,2.7,16.3,6.04,0.03,0.04
2010,RISARALDA,ARRACACHA,9.0,81.0,9.0,0.15,0.14
2010,SANTANDER,ARRACACHA,241.2,2017.1,8.36,3.75,3.65
2010,TOLIMA,ARRACACHA,3173.0,19857.0,6.26,36.91,47.99
2010,VALLE DEL CAUCA,ARRACACHA,316.0,3807.0,12.05,7.08,4.78
2011,ANTIOQUIA,ARRACACHA,260.0,2500.0,9.62,3.25,3.61
2011,BOYACA,ARRACACHA,595.5,5418.8,9.1,7.05,8.26
2011,CALDAS,ARRACACHA,24.0,156.0,6.5,0.2,0.33
2011,CASANARE,ARRACACHA,32.0,248.0,7.75,0.32,0.44
2011,CAUCA,ARRACACHA,67.5,584.75,8.66,0.76,0.94
2011,CUNDINAMARCA,ARRACACHA,511.0,4119.6,8.06,5.36,7.09
2011,HUILA,ARRACACHA,466.0,3374.5,7.24,4.39,6.46
2011,LA GUAJIRA,ARRACACHA,76.0,637.0,8.38,0.83,1.05
2011,NARIÑO,ARRACACHA,226.0,1796.5,7.95,2.34,3.13
2011,NORTE DE SANTANDER,ARRACACHA,747.0,10345.0,13.85,13.45,10.36
2011,QUINDIO,ARRACACHA,6.7,33.5,5.0,0.04,0.09
2011,RISARALDA,ARRACACHA,13.0,117.0,9.0,0.15,0.18
2011,SANTANDER,ARRACACHA,246.9,1986.0,8.04,2.58,3.42
2011,TOLIMA,ARRACACHA,3627.0,42225.0,11.64,54.9,50.3
2011,VALLE DEL CAUCA,ARRACACHA,311.6,3366.5,10.8,4.38,4.32
2012,ANTIOQUIA,ARRACACHA,299.0,2834.0,9.48,3.41,3.99
2012,BOYACA,ARRACACHA,617.51,6485.72,10.5,7.8100000000000005,8.24
2012,CALDAS,ARRACACHA,17.0,135.0,7.9399999999999995,0.16,0.23
