Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2006,ATLANTICO,ARROZ RIEGO,0.0,0.0,0.0,0.0,0.0
2006,BOLIVAR,ARROZ RIEGO,0.0,0.0,0.0,0.0,0.0
2006,CAQUETA,ARROZ RIEGO,0.0,0.0,0.0,0.0,0.0
2006,CASANARE,ARROZ RIEGO,0.0,0.0,0.0,0.0,0.0
2006,CAUCA,ARROZ RIEGO,0.0,0.0,0.0,0.0,0.0
2006,CESAR,ARROZ RIEGO,0.0,0.0,0.0,0.0,0.0
2006,CORDOBA,ARROZ RIEGO,0.0,0.0,0.0,0.0,0.0
2006,CUNDINAMARCA,ARROZ RIEGO,0.0,0.0,0.0,0.0,0.0
2006,HUILA,ARROZ RIEGO,0.0,0.0,0.0,0.0,0.0
2006,LA GUAJIRA,ARROZ RIEGO,0.0,0.0,0.0,0.0,0.0
2006,MAGDALENA,ARROZ RIEGO,0.0,0.0,0.0,0.0,0.0
2006,META,ARROZ RIEGO,0.0,0.0,0.0,0.0,0.0
2006,NORTE DE SANTANDER,ARROZ RIEGO,0.0,0.0,0.0,0.0,0.0
2006,SANTANDER,ARROZ RIEGO,0.0,0.0,0.0,0.0,0.0
2006,TOLIMA,ARROZ RIEGO,0.0,0.0,0.0,0.0,0.0
2006,VALLE DEL CAUCA,ARROZ RIEGO,0.0,0.0,0.0,0.0,0.0
2007,ATLANTICO,ARROZ RIEGO,519.0,2522.0,4.86,0.15,0.2
2007,BOLIVAR,ARROZ RIEGO,4355.0,26324.0,6.04,1.53,1.7
2007,CAQUETA,ARROZ RIEGO,60.0,315.0,5.25,0.02,0.02
2007,CASANARE,ARROZ RIEGO,25067.0,145150.83,5.79,8.44,9.79
2007,CAUCA,ARROZ RIEGO,987.0,6156.0,6.24,0.36,0.39
2007,CESAR,ARROZ RIEGO,21843.76,130577.92,5.98,7.59,8.53
2007,CORDOBA,ARROZ RIEGO,4587.66,25652.0,5.59,1.49,1.79
2007,CUNDINAMARCA,ARROZ RIEGO,3819.0,24380.0,6.38,1.42,1.49
2007,HUILA,ARROZ RIEGO,31052.0,215303.8,6.93,12.52,12.12
2007,LA GUAJIRA,ARROZ RIEGO,2299.0,13084.0,5.6899999999999995,0.76,0.9
2007,MAGDALENA,ARROZ RIEGO,3398.0,17969.0,5.29,1.04,1.33
2007,META,ARROZ RIEGO,26650.0,150359.0,5.64,8.74,10.4
2007,NORTE DE SANTANDER,ARROZ RIEGO,25180.0,158831.5,6.31,9.24,9.83
2007,SANTANDER,ARROZ RIEGO,885.0,4934.0,5.58,0.29,0.35
2007,TOLIMA,ARROZ RIEGO,99917.31,762204.0,7.63,44.33,39.01
2007,VALLE DEL CAUCA,ARROZ RIEGO,5510.0,35797.3,6.5,2.08,2.15
2008,ATLANTICO,ARROZ RIEGO,264.5,1058.0,4.0,0.06,0.1
2008,BOLIVAR,ARROZ RIEGO,3036.0,17760.0,5.85,0.97,1.13
2008,CAQUETA,ARROZ RIEGO,82.0,453.0,5.52,0.02,0.03
2008,CASANARE,ARROZ RIEGO,32329.69,184187.0,5.7,10.1,11.98
2008,CAUCA,ARROZ RIEGO,1039.0,6403.4,6.16,0.35,0.39
2008,CESAR,ARROZ RIEGO,21007.72,126603.0,6.03,6.9399999999999995,7.79
2008,CORDOBA,ARROZ RIEGO,3896.0,19990.0,5.13,1.1,1.44
2008,CUNDINAMARCA,ARROZ RIEGO,3303.0,22498.0,6.8100000000000005,1.23,1.22
2008,HUILA,ARROZ RIEGO,32606.0,234052.5,7.18,12.83,12.09
2008,LA GUAJIRA,ARROZ RIEGO,2596.0,15246.0,5.87,0.84,0.96
2008,MAGDALENA,ARROZ RIEGO,2601.0,14177.0,5.45,0.78,0.96
2008,META,ARROZ RIEGO,27314.0,146995.3,5.38,8.06,10.12
2008,NORTE DE SANTANDER,ARROZ RIEGO,23791.0,150461.0,6.32,8.25,8.82
2008,SANTANDER,ARROZ RIEGO,1386.0,8226.0,5.9399999999999995,0.45,0.51
2008,TOLIMA,ARROZ RIEGO,108965.0,838742.0,7.7,45.98,40.39
2008,VALLE DEL CAUCA,ARROZ RIEGO,5586.0,37483.0,6.71,2.05,2.07
2009,ARAUCA,ARROZ RIEGO,120.0,900.0,7.5,0.05,0.04
2009,ATLANTICO,ARROZ RIEGO,232.5,895.75,3.85,0.05,0.08
2009,BOLIVAR,ARROZ RIEGO,3550.0,19697.0,5.55,1.02,1.2
2009,CAQUETA,ARROZ RIEGO,48.0,249.6,5.2,0.01,0.02
2009,CASANARE,ARROZ RIEGO,37066.0,204382.0,5.51,10.63,12.54
2009,CAUCA,ARROZ RIEGO,1455.0,9257.0,6.36,0.48,0.49
2009,CESAR,ARROZ RIEGO,22669.21,131144.9,5.79,6.82,7.67
2009,CORDOBA,ARROZ RIEGO,4223.0,23469.0,5.5600000000000005,1.22,1.43
2009,CUNDINAMARCA,ARROZ RIEGO,1980.0,13305.0,6.72,0.69,0.67
2009,HUILA,ARROZ RIEGO,34046.0,251291.0,7.38,13.07,11.52
2009,LA GUAJIRA,ARROZ RIEGO,2548.0,14282.8,5.61,0.74,0.86
2009,MAGDALENA,ARROZ RIEGO,2900.0,15380.0,5.3,0.8,0.98
2009,META,ARROZ RIEGO,32884.0,176677.9,5.37,9.19,11.12
2009,NORTE DE SANTANDER,ARROZ RIEGO,28973.0,180098.7,6.22,9.37,9.8
2009,SANTANDER,ARROZ RIEGO,1662.0,9671.6,5.82,0.5,0.56
2009,TOLIMA,ARROZ RIEGO,116109.0,836563.3,7.2,43.52,39.28
2009,VALLE DEL CAUCA,ARROZ RIEGO,5134.0,34811.0,6.78,1.81,1.74
2010,ARAUCA,ARROZ RIEGO,280.0,2025.0,7.23,0.13,0.11
2010,ATLANTICO,ARROZ RIEGO,612.13,2267.13,3.7,0.15,0.23
2010,BOLIVAR,ARROZ RIEGO,3370.0,18164.0,5.39,1.16,1.28
2010,CASANARE,ARROZ RIEGO,31434.74,169076.91,5.38,10.82,11.91
2010,CAUCA,ARROZ RIEGO,2122.0,13288.4,6.26,0.85,0.8
2010,CESAR,ARROZ RIEGO,13218.0,72614.2,5.49,4.65,5.01
2010,CORDOBA,ARROZ RIEGO,3501.0,18612.1,5.32,1.19,1.33
2010,CUNDINAMARCA,ARROZ RIEGO,1873.0,11965.0,6.39,0.77,0.71
2010,HUILA,ARROZ RIEGO,29311.5,203265.14,6.93,13.01,11.11
2010,LA GUAJIRA,ARROZ RIEGO,2031.0,11951.0,5.88,0.76,0.77
2010,MAGDALENA,ARROZ RIEGO,3855.0,21373.5,5.54,1.37,1.46
2010,META,ARROZ RIEGO,25504.0,135078.3,5.3,8.65,9.67
2010,NORTE DE SANTANDER,ARROZ RIEGO,28455.0,188692.5,6.63,12.08,10.78
2010,SANTANDER,ARROZ RIEGO,1076.0,6016.2,5.59,0.39,0.41
2010,TOLIMA,ARROZ RIEGO,111942.0,653483.4,5.84,41.83,42.42
2010,VALLE DEL CAUCA,ARROZ RIEGO,5278.0,34524.0,6.54,2.21,2.0
2011,ARAUCA,ARROZ RIEGO,340.0,2050.0,6.03,0.14,0.13
2011,ATLANTICO,ARROZ RIEGO,230.5,871.0,3.7800000000000002,0.06,0.09
2011,BOLIVAR,ARROZ RIEGO,3570.0,20132.0,5.64,1.33,1.37
2011,CASANARE,ARROZ RIEGO,37778.0,172900.37,4.58,11.43,14.46
2011,CAUCA,ARROZ RIEGO,2514.5,15272.0,6.07,1.01,0.96
2011,CESAR,ARROZ RIEGO,16658.28,76716.14,4.61,5.07,6.38
2011,CORDOBA,ARROZ RIEGO,2270.0,11480.0,5.06,0.76,0.87
2011,CUNDINAMARCA,ARROZ RIEGO,1378.0,8460.0,6.14,0.56,0.53
2011,HUILA,ARROZ RIEGO,29487.5,196508.2,6.66,12.99,11.29
2011,LA GUAJIRA,ARROZ RIEGO,1693.0,10018.0,5.92,0.66,0.65
2011,MAGDALENA,ARROZ RIEGO,1060.0,5866.0,5.53,0.39,0.41
2011,META,ARROZ RIEGO,24957.45,107008.34,4.29,7.08,9.55
2011,NORTE DE SANTANDER,ARROZ RIEGO,26766.0,161059.5,6.02,10.65,10.25
2011,SANTANDER,ARROZ RIEGO,1097.0,5434.9,4.95,0.36,0.42
2011,TOLIMA,ARROZ RIEGO,106158.33,681901.0,6.42,45.09,40.63
