Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2006,AMAZONAS,ARROZ SECANO MANUAL,0.0,0.0,0.0,0.0,0.0
2006,ANTIOQUIA,ARROZ SECANO MANUAL,0.0,0.0,0.0,0.0,0.0
2006,BOLIVAR,ARROZ SECANO MANUAL,0.0,0.0,0.0,0.0,0.0
2006,CAQUETA,ARROZ SECANO MANUAL,0.0,0.0,0.0,0.0,0.0
2006,CAUCA,ARROZ SECANO MANUAL,0.0,0.0,0.0,0.0,0.0
2006,CHOCO,ARROZ SECANO MANUAL,0.0,0.0,0.0,0.0,0.0
2006,CORDOBA,ARROZ SECANO MANUAL,0.0,0.0,0.0,0.0,0.0
2006,GUAVIARE,ARROZ SECANO MANUAL,0.0,0.0,0.0,0.0,0.0
2006,NARIÑO,ARROZ SECANO MANUAL,0.0,0.0,0.0,0.0,0.0
2006,PUTUMAYO,ARROZ SECANO MANUAL,0.0,0.0,0.0,0.0,0.0
2006,SUCRE,ARROZ SECANO MANUAL,0.0,0.0,0.0,0.0,0.0
2006,VAUPES,ARROZ SECANO MANUAL,0.0,0.0,0.0,0.0,0.0
2007,AMAZONAS,ARROZ SECANO MANUAL,11.0,16.0,1.45,0.02,0.02
2007,ANTIOQUIA,ARROZ SECANO MANUAL,14216.0,22343.4,1.5699999999999998,29.83,29.49
2007,BOLIVAR,ARROZ SECANO MANUAL,4776.0,8020.0,1.6800000000000002,10.71,9.91
2007,CAQUETA,ARROZ SECANO MANUAL,918.0,1165.0,1.27,1.56,1.9
2007,CAUCA,ARROZ SECANO MANUAL,700.0,1080.0,1.54,1.44,1.45
2007,CHOCO,ARROZ SECANO MANUAL,10427.0,18676.0,1.79,24.94,21.63
2007,CORDOBA,ARROZ SECANO MANUAL,6740.0,10452.7,1.55,13.96,13.98
2007,GUAVIARE,ARROZ SECANO MANUAL,35.0,52.0,1.49,0.07,0.07
2007,NARIÑO,ARROZ SECANO MANUAL,1292.0,951.48,0.74,1.27,2.68
2007,PUTUMAYO,ARROZ SECANO MANUAL,960.0,1218.05,1.27,1.63,1.99
2007,SUCRE,ARROZ SECANO MANUAL,8069.28,10854.5,1.35,14.49,16.74
2007,VAUPES,ARROZ SECANO MANUAL,41.0,33.0,0.8,0.04,0.09
2007,VICHADA,ARROZ SECANO MANUAL,22.0,30.0,1.3599999999999999,0.04,0.05
2008,AMAZONAS,ARROZ SECANO MANUAL,74.2,40.0,0.54,0.05,0.14
2008,ANTIOQUIA,ARROZ SECANO MANUAL,14549.0,21923.9,1.51,25.83,28.35
2008,BOLIVAR,ARROZ SECANO MANUAL,5011.0,8710.0,1.74,10.26,9.76
2008,CAQUETA,ARROZ SECANO MANUAL,1208.0,1875.0,1.55,2.21,2.35
2008,CAUCA,ARROZ SECANO MANUAL,771.2,1471.44,1.9100000000000001,1.73,1.5
2008,CHOCO,ARROZ SECANO MANUAL,12228.0,20590.9,1.6800000000000002,24.26,23.83
2008,CORDOBA,ARROZ SECANO MANUAL,6870.85,11931.9,1.74,14.06,13.39
2008,GUAVIARE,ARROZ SECANO MANUAL,0.0,0.0,0.0,0.0,0.0
2008,NARIÑO,ARROZ SECANO MANUAL,1074.0,878.2,0.82,1.03,2.09
2008,PUTUMAYO,ARROZ SECANO MANUAL,1456.0,1825.0,1.25,2.15,2.84
2008,SUCRE,ARROZ SECANO MANUAL,7995.0,15554.0,1.95,18.32,15.58
2008,VAUPES,ARROZ SECANO MANUAL,31.0,23.0,0.74,0.03,0.06
2008,VICHADA,ARROZ SECANO MANUAL,54.0,66.0,1.22,0.08,0.11
2009,AMAZONAS,ARROZ SECANO MANUAL,42.5,24.8,0.58,0.03,0.07
2009,ANTIOQUIA,ARROZ SECANO MANUAL,14855.0,21859.28,1.47,22.47,25.07
2009,BOLIVAR,ARROZ SECANO MANUAL,7274.0,11614.5,1.6,11.94,12.28
2009,CAQUETA,ARROZ SECANO MANUAL,1474.0,1709.2,1.16,1.76,2.49
2009,CAUCA,ARROZ SECANO MANUAL,618.0,1127.5,1.8199999999999998,1.16,1.04
2009,CHOCO,ARROZ SECANO MANUAL,12750.0,22509.1,1.77,23.14,21.52
2009,CORDOBA,ARROZ SECANO MANUAL,8178.45,12527.63,1.53,12.88,13.8
2009,GUAVIARE,ARROZ SECANO MANUAL,880.0,2019.0,2.29,2.08,1.49
2009,NARIÑO,ARROZ SECANO MANUAL,748.0,511.5,0.68,0.53,1.26
2009,PUTUMAYO,ARROZ SECANO MANUAL,1816.0,2348.4,1.29,2.41,3.07
