Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2006,ANTIOQUIA,ARROZ SECANO MECANIZADO,0.0,0.0,0.0,0.0,0.0
2006,ARAUCA,ARROZ SECANO MECANIZADO,0.0,0.0,0.0,0.0,0.0
2006,BOLIVAR,ARROZ SECANO MECANIZADO,0.0,0.0,0.0,0.0,0.0
2006,CAQUETA,ARROZ SECANO MECANIZADO,0.0,0.0,0.0,0.0,0.0
2006,CASANARE,ARROZ SECANO MECANIZADO,0.0,0.0,0.0,0.0,0.0
2006,CESAR,ARROZ SECANO MECANIZADO,0.0,0.0,0.0,0.0,0.0
2006,CORDOBA,ARROZ SECANO MECANIZADO,0.0,0.0,0.0,0.0,0.0
2006,META,ARROZ SECANO MECANIZADO,0.0,0.0,0.0,0.0,0.0
2006,SUCRE,ARROZ SECANO MECANIZADO,0.0,0.0,0.0,0.0,0.0
2007,ANTIOQUIA,ARROZ SECANO MECANIZADO,7064.0,35559.6,5.03,5.38,5.25
2007,ARAUCA,ARROZ SECANO MECANIZADO,3420.0,13374.0,3.91,2.02,2.54
2007,BOLIVAR,ARROZ SECANO MECANIZADO,7007.0,28419.0,4.06,4.3,5.21
2007,CAQUETA,ARROZ SECANO MECANIZADO,69.0,427.0,6.19,0.06,0.05
2007,CASANARE,ARROZ SECANO MECANIZADO,34774.0,181959.0,5.23,27.54,25.85
2007,CESAR,ARROZ SECANO MECANIZADO,1224.76,7473.92,6.1,1.13,0.91
2007,CORDOBA,ARROZ SECANO MECANIZADO,6028.0,24418.0,4.05,3.7,4.48
2007,CUNDINAMARCA,ARROZ SECANO MECANIZADO,1117.0,6289.0,5.63,0.95,0.83
2007,GUAVIARE,ARROZ SECANO MECANIZADO,87.0,304.5,3.5,0.05,0.06
2007,META,ARROZ SECANO MECANIZADO,46100.0,259842.0,5.64,39.32,34.27
2007,SANTANDER,ARROZ SECANO MECANIZADO,0.0,0.0,0.0,0.0,0.0
2007,SUCRE,ARROZ SECANO MECANIZADO,27631.0,102741.6,3.7199999999999998,15.55,20.54
2008,ANTIOQUIA,ARROZ SECANO MECANIZADO,5223.0,28557.5,5.47,3.4,3.14
2008,ARAUCA,ARROZ SECANO MECANIZADO,5016.0,19985.0,3.98,2.38,3.02
2008,BOLIVAR,ARROZ SECANO MECANIZADO,8816.0,36007.0,4.08,4.28,5.3
