Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2006,ANTIOQUIA,ARVEJA,0.0,0.0,0.0,0.0,0.0
2006,BOYACA,ARVEJA,0.0,0.0,0.0,0.0,0.0
2006,CALDAS,ARVEJA,0.0,0.0,0.0,0.0,0.0
2006,CAUCA,ARVEJA,0.0,0.0,0.0,0.0,0.0
2006,CUNDINAMARCA,ARVEJA,0.0,0.0,0.0,0.0,0.0
2006,HUILA,ARVEJA,0.0,0.0,0.0,0.0,0.0
2006,NARIÑO,ARVEJA,0.0,0.0,0.0,0.0,0.0
2006,NORTE DE SANTANDER,ARVEJA,0.0,0.0,0.0,0.0,0.0
2006,QUINDIO,ARVEJA,0.0,0.0,0.0,0.0,0.0
2006,RISARALDA,ARVEJA,0.0,0.0,0.0,0.0,0.0
2006,SANTANDER,ARVEJA,0.0,0.0,0.0,0.0,0.0
2006,TOLIMA,ARVEJA,0.0,0.0,0.0,0.0,0.0
2006,VALLE DEL CAUCA,ARVEJA,0.0,0.0,0.0,0.0,0.0
2007,ANTIOQUIA,ARVEJA,549.0,1385.0,2.52,3.24,1.96
2007,BOYACA,ARVEJA,7735.1,11456.63,1.48,26.8,27.65
2007,CALDAS,ARVEJA,57.0,105.15,1.8399999999999999,0.25,0.2
2007,CASANARE,ARVEJA,40.0,60.0,1.5,0.14,0.14
2007,CAUCA,ARVEJA,279.0,360.79,1.29,0.84,1.0
2007,CUNDINAMARCA,ARVEJA,8317.0,12301.0,1.48,28.77,29.73
2007,HUILA,ARVEJA,1690.0,3337.04,1.97,7.8100000000000005,6.04
2007,META,ARVEJA,0.0,0.0,0.0,0.0,0.0
2007,NARIÑO,ARVEJA,5758.0,7841.64,1.3599999999999999,18.34,20.58
2007,NORTE DE SANTANDER,ARVEJA,327.5,733.14,2.24,1.71,1.17
2007,PUTUMAYO,ARVEJA,0.0,0.0,0.0,0.0,0.0
2007,QUINDIO,ARVEJA,33.2,95.7,2.88,0.22,0.12
2007,RISARALDA,ARVEJA,16.0,22.4,1.4,0.05,0.06
2007,SANTANDER,ARVEJA,562.5,727.5,1.29,1.7,2.01
2007,TOLIMA,ARVEJA,2309.0,3638.0,1.58,8.51,8.25
2007,VALLE DEL CAUCA,ARVEJA,302.2,688.57,2.2800000000000002,1.6099999999999999,1.08
2008,ANTIOQUIA,ARVEJA,646.5,1538.0,2.38,3.19,2.22
2008,BOYACA,ARVEJA,10363.8,17713.66,1.71,36.72,35.66
2008,CALDAS,ARVEJA,8.0,12.8,1.6,0.03,0.03
2008,CASANARE,ARVEJA,40.0,60.0,1.5,0.12,0.14
2008,CAUCA,ARVEJA,282.5,387.08,1.37,0.8,0.97
