Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2008,AMAZONAS,ASAI,62.0,1575.0,25.4,100.0,100.0
2009,AMAZONAS,ASAI,44.0,152.0,3.45,100.0,100.0
2010,AMAZONAS,ASAI,45.0,153.0,3.4,100.0,100.0
2011,AMAZONAS,ASAI,47.0,256.5,5.46,100.0,100.0
2012,AMAZONAS,ASAI,29.0,158.5,5.47,100.0,100.0
2013,AMAZONAS,ASAI,20.0,108.0,5.4,100.0,100.0
2014,AMAZONAS,ASAI,23.0,124.2,5.4,100.0,100.0
2015,AMAZONAS,ASAI,26.0,140.4,5.4,100.0,100.0
2016,AMAZONAS,ASAI,34.0,193.8,5.7,100.0,100.0
2017,AMAZONAS,ASAI,74.5,298.0,4.0,100.0,100.0
2018,AMAZONAS,ASAI,88.25,353.0,4.0,100.0,100.0
2019,AMAZONAS,ASAI,115.0,712.0,6.19,2.81,3.31
2019,CAQUETA,ASAI,30.0,30.0,1.0,0.12,0.86
2019,GUAINIA,ASAI,0.0,0.0,0.0,0.0,0.0
2019,NARIÑO,ASAI,3329.0,24608.0,7.39,97.02,95.69
2019,PUTUMAYO,ASAI,5.0,15.0,3.0,0.06,0.14
2020,AMAZONAS,ASAI,170.0,868.0,5.11,3.67,4.0
2020,CAQUETA,ASAI,0.0,0.0,0.0,0.0,0.0
2020,CAUCA,ASAI,360.0,180.0,0.5,0.76,8.47
2020,GUAINIA,ASAI,20.0,151.5,7.58,0.64,0.47
2020,NARIÑO,ASAI,3604.0,21444.22,5.95,90.77,84.8
2020,PUTUMAYO,ASAI,96.0,981.0,10.22,4.15,2.26
2021,AMAZONAS,ASAI,320.0,1814.0,5.67,5.71,3.76
2021,CAUCA,ASAI,800.0,400.0,0.5,1.26,9.4
2021,GUAINIA,ASAI,48.0,294.0,6.13,0.93,0.56
2021,NARIÑO,ASAI,7052.0,26267.64,3.7199999999999998,82.74,82.89
2021,PUTUMAYO,ASAI,276.0,2944.0,10.67,9.27,3.24
2021,VAUPES,ASAI,11.66,27.75,2.38,0.09,0.14
2022,AMAZONAS,ASAI,160.0,907.0,5.67,3.9,3.42
2022,CAUCA,ASAI,398.0,796.0,2.0,3.43,8.52
2022,GUAINIA,ASAI,24.0,147.0,6.13,0.63,0.51
2022,NARIÑO,ASAI,3645.4,15441.13,4.24,66.45,78.02
2022,PUTUMAYO,ASAI,445.0,5947.5,13.37,25.59,9.52
2022,VAUPES,ASAI,0.0,0.0,0.0,0.0,0.0
2023,AMAZONAS,ASAI,159.0,903.0,5.68,2.85,3.38
2023,CAUCA,ASAI,398.0,796.0,2.0,2.51,8.47
2023,GUAINIA,ASAI,24.0,147.0,6.13,0.46,0.51
2023,NARIÑO,ASAI,3485.4,23133.1,6.64,72.96,74.14
2023,PUTUMAYO,ASAI,635.0,6727.5,10.59,21.22,13.51
2023,VAUPES,ASAI,0.0,0.0,0.0,0.0,0.0
