Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2006,BOYACA,AVENA,0.0,0.0,0.0,0.0,0.0
2006,CUNDINAMARCA,AVENA,0.0,0.0,0.0,0.0,0.0
2007,BOYACA,AVENA,1358.0,3185.4,2.35,90.1,87.73
2007,CUNDINAMARCA,AVENA,190.0,350.0,1.8399999999999999,9.9,12.27
2008,BOYACA,AVENA,1298.0,2178.1,1.6800000000000002,82.0,82.78
2008,CUNDINAMARCA,AVENA,270.0,478.0,1.77,18.0,17.22
2009,BOYACA,AVENA,603.0,1032.7,1.71,77.14,77.91
2009,CUNDINAMARCA,AVENA,155.0,271.0,1.75,20.24,20.03
2009,SANTANDER,AVENA,16.0,35.04,2.19,2.62,2.07
2010,BOYACA,AVENA,172.25,337.3,1.96,82.77,78.92
2010,CUNDINAMARCA,AVENA,30.0,35.0,1.17,8.59,13.75
2010,SANTANDER,AVENA,16.0,35.2,2.2,8.64,7.33
2011,BOYACA,AVENA,178.0,353.0,1.98,84.01,84.76
2011,SANTANDER,AVENA,32.0,67.2,2.1,15.99,15.24
2012,BOYACA,AVENA,240.0,527.4,2.2,93.74,93.75
2012,SANTANDER,AVENA,16.0,35.2,2.2,6.26,6.25
2013,BOYACA,AVENA,273.0,525.55,1.9300000000000002,100.0,100.0
2014,BOYACA,AVENA,232.0,366.1,1.58,100.0,100.0
2015,BOYACA,AVENA,572.0,1458.1,2.55,100.0,100.0
2016,BOYACA,AVENA,954.5,2326.45,2.44,98.1,99.69
2016,SANTANDER,AVENA,3.0,45.0,15.0,1.9,0.31
2017,BOYACA,AVENA,699.9,1899.55,2.71,23.17,66.66
2017,CUNDINAMARCA,AVENA,350.0,6300.0,18.0,76.83,33.34
2018,BOYACA,AVENA,646.0,1817.51,2.81,66.37,55.98
2018,CUNDINAMARCA,AVENA,508.0,921.06,1.81,33.63,44.02
2019,BOYACA,AVENA,1092.0,2395.7,2.19,32.89,49.36
2019,CUNDINAMARCA,AVENA,1119.0,4882.1,4.36,67.03,50.58
2019,SANTANDER,AVENA,1.5,6.0,4.0,0.08,0.07
2020,BOYACA,AVENA,1180.5,3259.6,2.76,44.09,48.34
2020,CUNDINAMARCA,AVENA,1260.0,4130.0,3.2800000000000002,55.86,51.59
2020,SANTANDER,AVENA,1.8,3.6,2.0,0.05,0.07
2021,BOYACA,AVENA,2529.0,6288.65,2.49,53.38,58.6
2021,CUNDINAMARCA,AVENA,1784.0,5480.92,3.07,46.52,41.33
2021,SANTANDER,AVENA,3.0,12.0,4.0,0.1,0.07
2022,BOYACA,AVENA,987.0,2375.5,2.41,62.63,64.43
2022,CUNDINAMARCA,AVENA,543.0,1411.3,2.6,37.21,35.44
2022,SANTANDER,AVENA,2.0,6.0,3.0,0.16,0.13
2023,BOYACA,AVENA,805.0,2048.0,2.54,93.56,94.48
2023,CUNDINAMARCA,AVENA,45.0,135.0,3.0,6.17,5.28
2023,SANTANDER,AVENA,2.0,6.0,3.0,0.27,0.23
