Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,HUILA,BADEA,57.5,864.5,15.03,100.0,100.0
2008,HUILA,BADEA,64.5,1076.5,16.69,100.0,100.0
2009,HUILA,BADEA,54.5,837.0,15.36,100.0,100.0
2010,HUILA,BADEA,48.5,709.0,14.62,100.0,100.0
2011,HUILA,BADEA,54.5,793.5,14.56,100.0,100.0
2012,HUILA,BADEA,66.25,968.0,14.61,76.34,81.54
2012,SANTANDER,BADEA,15.0,300.0,20.0,23.66,18.46
2013,CHOCO,BADEA,4.0,16.0,4.0,1.09,4.23
2013,HUILA,BADEA,72.55,1093.8,15.08,74.42,76.73
2013,SANTANDER,BADEA,18.0,360.0,20.0,24.49,19.04
2014,HUILA,BADEA,82.8,1254.8,15.15,74.92,79.77
2014,SANTANDER,BADEA,21.0,420.0,20.0,25.08,20.23
2015,HUILA,BADEA,84.05,1231.0,14.65,53.97,59.17
2015,SANTANDER,BADEA,58.0,1049.8,18.1,46.03,40.83
2016,CHOCO,BADEA,5.0,20.0,4.0,0.85,3.2
2016,HUILA,BADEA,108.05,1554.25,14.38,66.07,69.24
2016,SANTANDER,BADEA,43.0,778.3,18.1,33.08,27.56
2017,CHOCO,BADEA,6.0,21.0,3.5,0.75,3.43
2017,HUILA,BADEA,87.05,1312.0,15.07,46.86,49.73
2017,NARIÑO,BADEA,1.0,0.8,0.8,0.03,0.57
2017,SANTANDER,BADEA,81.0,1466.1,18.1,52.36,46.27
2018,CHOCO,BADEA,6.0,21.0,3.5,0.65,3.08
2018,HUILA,BADEA,103.55,1600.7,15.46,49.73,53.23
2018,NARIÑO,BADEA,1.0,0.8,0.8,0.02,0.51
2018,SANTANDER,BADEA,84.0,1596.0,19.0,49.59,43.18
2019,CHOCO,BADEA,9.0,35.0,3.89,1.16,4.24
2019,HUILA,BADEA,119.15,1724.2,14.47,57.11,56.16
2019,SANTANDER,BADEA,84.0,1260.0,15.0,41.73,39.59
2020,CHOCO,BADEA,12.0,46.25,3.85,1.6099999999999999,5.77
2020,HUILA,BADEA,119.45,1685.43,14.11,58.54,57.44
2020,SANTANDER,BADEA,76.5,1147.5,15.0,39.86,36.79
2021,CHOCO,BADEA,24.0,92.5,3.85,1.13,4.19
2021,HUILA,BADEA,267.3,3886.0,14.54,47.43,46.71
2021,SANTANDER,BADEA,281.0,4215.0,15.0,51.44,49.1
2022,CHOCO,BADEA,13.0,52.0,4.0,1.2,4.25
2022,HUILA,BADEA,152.15,2185.7,14.37,50.3,49.78
2022,SANTANDER,BADEA,140.5,2107.5,15.0,48.5,45.97
2023,CHOCO,BADEA,13.0,52.0,4.0,1.17,4.0
2023,HUILA,BADEA,171.72,2298.15,13.38,51.56,52.8
2023,SANTANDER,BADEA,140.5,2107.5,15.0,47.28,43.2
