Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,ANTIOQUIA,BANANITO,120.0,1200.0,10.0,5.31,3.84
2007,BOYACA,BANANITO,43.0,264.0,6.14,1.17,1.38
2007,NARIÑO,BANANITO,897.0,7803.0,8.7,34.53,28.72
2007,PUTUMAYO,BANANITO,716.0,3091.0,4.32,13.68,22.93
2007,QUINDIO,BANANITO,57.0,381.4,6.6899999999999995,1.69,1.83
2007,RISARALDA,BANANITO,224.0,982.0,4.38,4.35,7.17
2007,SANTANDER,BANANITO,440.0,2860.0,6.5,12.65,14.09
2007,TOLIMA,BANANITO,257.8,2345.0,9.1,10.38,8.26
2007,VALLE DEL CAUCA,BANANITO,368.0,3674.0,9.98,16.26,11.78
2008,ANTIOQUIA,BANANITO,114.0,1083.0,9.5,3.42,2.57
2008,BOYACA,BANANITO,24.0,100.0,4.17,0.32,0.54
2008,CHOCO,BANANITO,237.0,1454.0,6.14,4.59,5.34
2008,NARIÑO,BANANITO,1200.0,11803.0,9.84,37.23,27.06
2008,PUTUMAYO,BANANITO,1224.0,5306.0,4.33,16.73,27.6
2008,QUINDIO,BANANITO,79.5,572.5,7.2,1.81,1.79
2008,RISARALDA,BANANITO,334.0,1476.0,4.42,4.66,7.53
2008,SANTANDER,BANANITO,705.0,4935.0,7.0,15.56,15.9
2008,TOLIMA,BANANITO,163.0,1494.0,9.17,4.71,3.68
2008,VALLE DEL CAUCA,BANANITO,354.0,3483.6,9.84,10.99,7.98
2009,ANTIOQUIA,BANANITO,114.0,1140.0,10.0,3.54,2.51
2009,BOYACA,BANANITO,22.0,92.0,4.18,0.29,0.48
2009,CHOCO,BANANITO,309.0,1926.0,6.23,5.98,6.8
2009,NARIÑO,BANANITO,1352.0,12325.4,9.12,38.24,29.76
2009,PUTUMAYO,BANANITO,1100.0,5125.0,4.66,15.9,24.21
2009,QUINDIO,BANANITO,66.6,522.4,7.84,1.62,1.47
2009,RISARALDA,BANANITO,336.0,1419.6,4.22,4.4,7.4
2009,SANTANDER,BANANITO,705.0,4935.0,7.0,15.31,15.52
2009,TOLIMA,BANANITO,184.0,1252.1,6.8,3.88,4.05
2009,VALLE DEL CAUCA,BANANITO,355.0,3491.6,9.84,10.83,7.8100000000000005
2010,BOYACA,BANANITO,16.0,68.0,4.25,0.26,0.39
2010,CALDAS,BANANITO,20.0,240.0,12.0,0.91,0.49
2010,CHOCO,BANANITO,154.0,859.5,5.58,3.25,3.77
2010,NARIÑO,BANANITO,1104.0,8401.0,7.61,31.81,27.03
2010,PUTUMAYO,BANANITO,1013.0,4499.0,4.44,17.04,24.8
2010,QUINDIO,BANANITO,66.1,458.65,6.9399999999999995,1.74,1.62
2010,RISARALDA,BANANITO,372.0,1560.0,4.19,5.91,9.11
2010,SANTANDER,BANANITO,750.0,5130.0,6.84,19.43,18.36
2010,TOLIMA,BANANITO,235.0,1697.5,7.22,6.43,5.75
2010,VALLE DEL CAUCA,BANANITO,355.0,3492.97,9.84,13.23,8.69
2011,BOYACA,BANANITO,19.0,44.0,2.32,0.16,0.51
2011,CHOCO,BANANITO,157.0,920.0,5.86,3.38,4.2
2011,NARIÑO,BANANITO,1371.0,9579.0,6.99,35.22,36.67
2011,PUTUMAYO,BANANITO,1175.0,7050.0,6.0,25.92,31.43
2011,QUINDIO,BANANITO,52.4,356.05,6.79,1.31,1.4
2011,RISARALDA,BANANITO,190.0,921.29,4.85,3.39,5.08
2011,SANTANDER,BANANITO,91.0,414.0,4.55,1.52,2.43
2011,TOLIMA,BANANITO,200.0,1722.5,8.61,6.33,5.35
2011,VALLE DEL CAUCA,BANANITO,483.6,6191.9,12.8,22.77,12.93
2012,BOYACA,BANANITO,13.0,32.0,2.46,0.23,0.55
2012,CHOCO,BANANITO,446.0,2916.36,6.54,20.64,18.99
2012,PUTUMAYO,BANANITO,1538.0,8832.0,5.74,62.52,65.49
2012,QUINDIO,BANANITO,49.5,334.75,6.76,2.37,2.11
2012,RISARALDA,BANANITO,251.0,1757.0,7.0,12.44,10.69
2012,SANTANDER,BANANITO,51.0,255.0,5.0,1.81,2.17
2013,BOYACA,BANANITO,14.0,64.0,4.57,0.39,0.54
2013,CHOCO,BANANITO,1300.0,5885.36,4.53,35.49,49.85
2013,PUTUMAYO,BANANITO,345.0,2760.0,8.0,16.64,13.23
2013,RISARALDA,BANANITO,254.0,1177.5,4.64,7.1,9.74
2013,SANTANDER,BANANITO,2.0,40.0,20.0,0.24,0.08
2013,TOLIMA,BANANITO,306.0,2782.0,9.09,16.78,11.73
2013,VALLE DEL CAUCA,BANANITO,387.0,3875.0,10.01,23.37,14.84
2014,ANTIOQUIA,BANANITO,0.0,0.0,0.0,0.0,0.0
2014,BOYACA,BANANITO,13.0,38.0,2.92,0.29,0.62
2014,CAUCA,BANANITO,1.0,2.0,2.0,0.02,0.05
2014,CHOCO,BANANITO,885.0,3905.0,4.41,30.28,42.41
2014,PUTUMAYO,BANANITO,200.0,1600.0,8.0,12.41,9.58
2014,RISARALDA,BANANITO,303.0,1486.8,4.91,11.53,14.52
2014,SANTANDER,BANANITO,41.0,260.0,6.34,2.02,1.96
