Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,ANTIOQUIA,BANANO,717.0,5805.0,8.1,2.61,2.93
2007,BOYACA,BANANO,482.0,3778.5,7.84,1.7,1.97
2007,CALDAS,BANANO,486.3,4754.36,9.78,2.14,1.99
2007,CAUCA,BANANO,812.0,4069.4,5.01,1.83,3.31
2007,CESAR,BANANO,58.0,700.0,12.07,0.31,0.24
2007,CUNDINAMARCA,BANANO,5537.2,44837.5,8.1,20.14,22.6
2007,HUILA,BANANO,950.0,8342.5,8.78,3.75,3.88
2007,META,BANANO,11.0,61.0,5.55,0.03,0.04
2007,NARIÑO,BANANO,3159.0,18654.0,5.91,8.38,12.9
2007,NORTE DE SANTANDER,BANANO,1139.0,8090.0,7.1,3.63,4.65
2007,PUTUMAYO,BANANO,0.0,0.0,0.0,0.0,0.0
2007,QUINDIO,BANANO,951.6,19886.3,20.9,8.93,3.88
2007,RISARALDA,BANANO,816.0,12891.0,15.8,5.79,3.33
2007,SANTANDER,BANANO,1365.0,12080.0,8.85,5.43,5.57
2007,TOLIMA,BANANO,2382.0,19036.0,7.99,8.55,9.72
2007,VALLE DEL CAUCA,BANANO,5630.3,59593.3,10.58,26.77,22.98
2008,AMAZONAS,BANANO,129.0,453.8,3.52,0.21,0.55
2008,ANTIOQUIA,BANANO,897.0,8697.2,9.7,4.05,3.83
2008,BOYACA,BANANO,15.0,72.0,4.8,0.03,0.06
2008,CALDAS,BANANO,347.0,3169.0,9.13,1.48,1.48
2008,CAUCA,BANANO,944.0,4493.0,4.76,2.09,4.03
2008,CESAR,BANANO,59.0,755.0,12.8,0.35,0.25
2008,CHOCO,BANANO,275.0,1600.0,5.82,0.75,1.17
2008,CUNDINAMARCA,BANANO,3441.0,28092.0,8.16,13.08,14.69
2008,HUILA,BANANO,1298.4,10743.4,8.27,5.0,5.54
2008,NARIÑO,BANANO,3249.0,18539.5,5.71,8.63,13.87
2008,NORTE DE SANTANDER,BANANO,1146.0,8142.0,7.1,3.79,4.89
2008,PUTUMAYO,BANANO,14.0,56.0,4.0,0.03,0.06
2008,QUINDIO,BANANO,983.4,16674.2,16.96,7.76,4.2
2008,RISARALDA,BANANO,856.0,14176.0,16.56,6.6,3.66
2008,SANTANDER,BANANO,1791.0,22226.0,12.41,10.35,7.65
2008,TOLIMA,BANANO,2072.0,17745.0,8.56,8.26,8.85
2008,VALLE DEL CAUCA,BANANO,5875.5,58999.17,10.04,27.47,25.09
2008,VICHADA,BANANO,24.0,128.0,5.33,0.06,0.1
2009,ANTIOQUIA,BANANO,1024.0,10952.5,10.7,5.06,4.77
2009,CALDAS,BANANO,421.0,5254.0,12.48,2.43,1.96
2009,CASANARE,BANANO,9.0,108.0,12.0,0.05,0.04
2009,CAUCA,BANANO,742.0,4438.75,5.98,2.05,3.46
2009,CHOCO,BANANO,314.0,1856.0,5.91,0.86,1.46
2009,CUNDINAMARCA,BANANO,3533.7,32749.05,9.27,15.14,16.47
2009,HUILA,BANANO,1379.9,9696.7,7.03,4.48,6.43
2009,NARIÑO,BANANO,2110.0,11955.0,5.67,5.53,9.84
2009,NORTE DE SANTANDER,BANANO,1165.0,8212.0,7.05,3.8,5.43
2009,PUTUMAYO,BANANO,14.0,56.0,4.0,0.03,0.07
2009,QUINDIO,BANANO,1062.3,18194.4,17.13,8.41,4.95
2009,RISARALDA,BANANO,824.0,13802.6,16.75,6.38,3.84
2009,SANTANDER,BANANO,518.0,4618.0,8.92,2.13,2.41
2009,TOLIMA,BANANO,2044.0,18210.4,8.91,8.42,9.53
2009,VALLE DEL CAUCA,BANANO,6291.6,76266.25,12.12,35.25,29.33
2010,ANTIOQUIA,BANANO,1149.5,11405.2,9.92,4.72,4.19
