Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,ANTIOQUIA,BANANO EXPORTACION,31845.0,1163609.0,36.54,70.91,70.84
2007,LA GUAJIRA,BANANO EXPORTACION,500.0,6000.0,12.0,0.37,1.11
2007,MAGDALENA,BANANO EXPORTACION,12608.0,471404.0,37.39,28.73,28.05
2008,ANTIOQUIA,BANANO EXPORTACION,32114.75,1366957.0,42.56,74.65,70.67
2008,LA GUAJIRA,BANANO EXPORTACION,1221.0,14652.0,12.0,0.8,2.69
2008,MAGDALENA,BANANO EXPORTACION,12109.0,449455.0,37.12,24.55,26.65
2009,ANTIOQUIA,BANANO EXPORTACION,31697.15,1302765.36,41.1,73.7,68.83
2009,LA GUAJIRA,BANANO EXPORTACION,2214.0,26568.0,12.0,1.5,4.8100000000000005
2009,MAGDALENA,BANANO EXPORTACION,12138.0,438341.0,36.11,24.8,26.36
2010,ANTIOQUIA,BANANO EXPORTACION,31438.7,1292143.02,41.1,74.45,69.7
2010,LA GUAJIRA,BANANO EXPORTACION,1937.0,19844.0,10.24,1.1400000000000001,4.29
2010,MAGDALENA,BANANO EXPORTACION,11728.82,423564.2,36.11,24.41,26.0
2011,ANTIOQUIA,BANANO EXPORTACION,34971.0,1404640.0,40.17,77.93,71.87
2011,LA GUAJIRA,BANANO EXPORTACION,2192.0,26304.0,12.0,1.46,4.5
2011,MAGDALENA,BANANO EXPORTACION,11499.0,371462.5,32.3,20.61,23.63
2012,ANTIOQUIA,BANANO EXPORTACION,35100.0,1183013.9,33.7,74.29,71.25
2012,CALDAS,BANANO EXPORTACION,4.0,48.0,12.0,0.0,0.01
2012,LA GUAJIRA,BANANO EXPORTACION,2250.0,27000.0,12.0,1.7,4.57
2012,MAGDALENA,BANANO EXPORTACION,11911.0,382286.0,32.1,24.01,24.18
2013,ANTIOQUIA,BANANO EXPORTACION,35425.0,1236241.0,34.9,70.93,73.31
2013,LA GUAJIRA,BANANO EXPORTACION,1815.39,66642.66,36.71,3.82,3.76
2013,MAGDALENA,BANANO EXPORTACION,11084.61,439953.12,39.69,25.24,22.94
2014,ANTIOQUIA,BANANO EXPORTACION,34302.0,1060319.28,30.91,71.02,73.46
2014,LA GUAJIRA,BANANO EXPORTACION,1862.94,65048.6,34.92,4.36,3.99
2014,MAGDALENA,BANANO EXPORTACION,10529.06,367644.82,34.92,24.62,22.55
2015,ANTIOQUIA,BANANO EXPORTACION,34267.0,1237612.33,36.12,72.47,72.28
2015,LA GUAJIRA,BANANO EXPORTACION,2069.46,73187.09,35.37,4.29,4.37
2015,MAGDALENA,BANANO EXPORTACION,11070.54,396858.05,35.85,23.24,23.35
2016,ANTIOQUIA,BANANO EXPORTACION,34054.0,1202682.0,35.32,72.26,71.57
2016,LA GUAJIRA,BANANO EXPORTACION,2392.0,47840.0,20.0,2.87,5.03
2016,MAGDALENA,BANANO EXPORTACION,11136.25,413789.58,37.16,24.86,23.4
2017,ANTIOQUIA,BANANO EXPORTACION,34789.0,1189966.9,34.21,66.62,70.56
2017,LA GUAJIRA,BANANO EXPORTACION,2682.0,110146.95,41.07,6.17,5.44
2017,MAGDALENA,BANANO EXPORTACION,11836.0,486092.21,41.07,27.21,24.0
2019,ANTIOQUIA,BANANO EXPORTACION,24550.0,913612.5,37.21,61.31,61.36
2019,LA GUAJIRA,BANANO EXPORTACION,2522.0,60050.0,23.81,4.03,6.3
2019,MAGDALENA,BANANO EXPORTACION,12939.81,516582.58,39.92,34.66,32.34
2020,ANTIOQUIA,BANANO EXPORTACION,24620.0,843964.0,34.28,53.1,55.97
2020,HUILA,BANANO EXPORTACION,1.0,7.08,7.08,0.0,0.0
2020,LA GUAJIRA,BANANO EXPORTACION,1472.0,30884.0,20.98,1.94,3.35
2020,MAGDALENA,BANANO EXPORTACION,17897.02,714620.64,39.93,44.96,40.68
2021,ANTIOQUIA,BANANO EXPORTACION,49247.07,1687776.87,34.27,53.0,55.86
2021,ATLANTICO,BANANO EXPORTACION,0.0,0.0,0.0,0.0,0.0
2021,HUILA,BANANO EXPORTACION,4.0,16.0,4.0,0.0,0.0
2021,LA GUAJIRA,BANANO EXPORTACION,2944.0,61768.0,20.98,1.94,3.34
2021,MAGDALENA,BANANO EXPORTACION,35974.03,1435080.49,39.89,45.06,40.8
2022,ANTIOQUIA,BANANO EXPORTACION,24290.54,879041.44,36.19,54.29,55.84
2022,ATLANTICO,BANANO EXPORTACION,10.0,250.0,25.0,0.02,0.02
2022,HUILA,BANANO EXPORTACION,2.5,10.0,4.0,0.0,0.01
2022,LA GUAJIRA,BANANO EXPORTACION,1442.0,29924.0,20.75,1.85,3.31
2022,MAGDALENA,BANANO EXPORTACION,17757.02,709843.8,39.98,43.84,40.82
2023,ANTIOQUIA,BANANO EXPORTACION,24290.54,879041.44,36.19,53.42,54.89
2023,HUILA,BANANO EXPORTACION,3.0,12.0,4.0,0.0,0.01
2023,LA GUAJIRA,BANANO EXPORTACION,1502.0,30644.0,20.4,1.8599999999999999,3.39
2023,MAGDALENA,BANANO EXPORTACION,18455.02,735926.8,39.88,44.72,41.71
