Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2006,SUCRE,BATATA,0.0,0.0,0.0,0.0,0.0
2007,AMAZONAS,BATATA,0.0,0.0,0.0,0.0,0.0
2007,SUCRE,BATATA,10.0,80.0,8.0,100.0,100.0
2008,AMAZONAS,BATATA,7.0,10.5,1.5,2.58,14.58
2008,CORDOBA,BATATA,5.0,25.0,5.0,6.15,10.42
2008,SUCRE,BATATA,27.0,351.0,13.0,86.35,56.25
2008,VICHADA,BATATA,9.0,20.0,2.22,4.92,18.75
2009,AMAZONAS,BATATA,4.0,6.0,1.5,1.72,8.33
2009,CASANARE,BATATA,6.0,40.2,6.7,11.52,12.5
2009,NARIÑO,BATATA,6.0,4.9,0.82,1.4,12.5
2009,SUCRE,BATATA,23.0,278.0,12.09,79.63,47.92
2009,VICHADA,BATATA,9.0,20.0,2.22,5.73,18.75
2010,CAUCA,BATATA,1.0,4.0,4.0,1.87,2.5
2010,NARIÑO,BATATA,15.03,12.02,0.8,5.62,37.55
2010,SUCRE,BATATA,15.0,180.0,12.0,84.1,37.47
2010,VICHADA,BATATA,9.0,18.0,2.0,8.41,22.48
2011,ATLANTICO,BATATA,2.0,8.0,4.0,3.84,4.16
2011,CAUCA,BATATA,1.0,3.4,3.4,1.63,2.08
2011,CORDOBA,BATATA,10.0,50.0,5.0,24.02,20.82
2011,NARIÑO,BATATA,15.03,10.72,0.71,5.15,31.29
2011,SUCRE,BATATA,12.0,120.0,10.0,57.66,24.98
2011,VICHADA,BATATA,8.0,16.0,2.0,7.6899999999999995,16.66
2012,ATLANTICO,BATATA,2.0,14.0,7.0,5.06,4.18
2012,CORDOBA,BATATA,10.0,50.0,5.0,18.07,20.9
2012,MAGDALENA,BATATA,5.0,37.5,7.5,13.55,10.45
2012,NARIÑO,BATATA,17.0,16.7,0.98,6.03,35.53
2012,SAN ANDRES Y PROVIDENCIA,BATATA,0.85,2.55,3.0,0.92,1.78
2012,SUCRE,BATATA,13.0,156.0,12.0,56.37,27.17
2013,CAUCA,BATATA,0.5,0.5,1.0,0.29,1.56
2013,NARIÑO,BATATA,20.0,38.4,1.92,22.16,62.6
2013,SAN ANDRES Y PROVIDENCIA,BATATA,1.45,4.35,3.0,2.51,4.54
2013,SUCRE,BATATA,10.0,130.0,13.0,75.04,31.3
2014,CAUCA,BATATA,1.0,1.0,1.0,0.69,1.44
2014,MAGDALENA,BATATA,45.0,22.5,0.5,15.45,64.66
2014,NARIÑO,BATATA,15.0,40.3,2.69,27.68,21.55
2014,SAN ANDRES Y PROVIDENCIA,BATATA,0.6,1.8,3.0,1.24,0.86
2014,SUCRE,BATATA,8.0,80.0,10.0,54.95,11.49
2015,CORDOBA,BATATA,30.0,210.0,7.0,48.75,19.94
2015,MAGDALENA,BATATA,83.0,41.5,0.5,9.63,55.16
2015,NARIÑO,BATATA,19.7,36.0,1.83,8.36,13.09
2015,SAN ANDRES Y PROVIDENCIA,BATATA,7.77,23.31,3.0,5.41,5.16
2015,SUCRE,BATATA,10.0,120.0,12.0,27.85,6.65
2016,AMAZONAS,BATATA,60.0,60.0,1.0,1.9100000000000001,20.08
2016,CORDOBA,BATATA,90.0,1745.0,19.39,55.55,30.12
2016,MAGDALENA,BATATA,87.0,313.5,3.6,9.98,29.12
2016,NARIÑO,BATATA,21.8,60.44,2.77,1.92,7.3
2016,SAN ANDRES Y PROVIDENCIA,BATATA,2.0,12.47,6.24,0.4,0.67
2016,SUCRE,BATATA,38.0,950.0,25.0,30.24,12.72
2017,CORDOBA,BATATA,84.0,1681.5,20.02,55.01,33.19
2017,MAGDALENA,BATATA,88.0,468.0,5.32,15.31,34.77
2017,NARIÑO,BATATA,44.0,259.8,5.9,8.5,17.39
2017,SAN ANDRES Y PROVIDENCIA,BATATA,2.08,19.44,9.35,0.64,0.82
2017,SUCRE,BATATA,35.0,628.0,17.94,20.54,13.83
2018,CORDOBA,BATATA,129.89,1902.16,14.64,68.92,58.45
2018,MAGDALENA,BATATA,40.0,240.0,6.0,8.7,18.0
2018,NARIÑO,BATATA,22.0,140.0,6.36,5.07,9.9
2018,SAN ANDRES Y PROVIDENCIA,BATATA,2.2,20.45,9.3,0.74,0.99
2018,SUCRE,BATATA,28.12,457.26,16.26,16.57,12.66
2019,BOLIVAR,BATATA,5.0,40.0,8.0,2.42,3.04
2019,CESAR,BATATA,1.0,8.0,8.0,0.48,0.61
2019,CORDOBA,BATATA,9.0,75.0,8.33,4.54,5.48
2019,MAGDALENA,BATATA,43.0,426.0,9.91,25.78,26.17
2019,NARIÑO,BATATA,36.0,176.0,4.89,10.65,21.91
2019,SAN ANDRES Y PROVIDENCIA,BATATA,3.0,18.72,6.24,1.13,1.83
2019,SUCRE,BATATA,67.3,908.6,13.5,54.99,40.96
2020,AMAZONAS,BATATA,5.8,8.7,1.5,0.51,1.78
2020,ATLANTICO,BATATA,4.0,18.8,4.7,1.11,1.23
2020,BOLIVAR,BATATA,7.0,50.0,7.14,2.94,2.15
2020,CESAR,BATATA,6.0,78.0,13.0,4.59,1.8399999999999999
2020,LA GUAJIRA,BATATA,6.0,23.0,3.83,1.35,1.8399999999999999
2020,MAGDALENA,BATATA,212.5,713.5,3.36,42.02,65.32
2020,NARIÑO,BATATA,24.0,101.0,4.21,5.95,7.38
2020,SAN ANDRES Y PROVIDENCIA,BATATA,4.0,58.0,14.5,3.42,1.23
2020,SUCRE,BATATA,56.0,647.0,11.55,38.1,17.21
2021,AMAZONAS,BATATA,6.0,11.0,1.83,0.29,0.75
2021,ATLANTICO,BATATA,25.0,122.2,4.89,3.18,3.12
2021,BOLIVAR,BATATA,26.0,124.0,4.77,3.23,3.25
2021,CESAR,BATATA,8.0,68.0,8.5,1.77,1.0
2021,LA GUAJIRA,BATATA,12.0,45.6,3.8,1.19,1.5
2021,MAGDALENA,BATATA,560.0,1663.0,2.9699999999999998,43.31,69.91
2021,NARIÑO,BATATA,58.0,340.0,5.86,8.85,7.24
2021,SAN ANDRES Y PROVIDENCIA,BATATA,8.0,104.0,13.0,2.71,1.0
