Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2006,BOLIVAR,BERENJENA,0.0,0.0,0.0,0.0,0.0
2006,CORDOBA,BERENJENA,0.0,0.0,0.0,0.0,0.0
2006,SUCRE,BERENJENA,0.0,0.0,0.0,0.0,0.0
2006,VALLE DEL CAUCA,BERENJENA,0.0,0.0,0.0,0.0,0.0
2007,BOLIVAR,BERENJENA,25.0,280.0,11.2,5.84,9.88
2007,CORDOBA,BERENJENA,64.0,310.5,4.85,6.48,25.3
2007,MAGDALENA,BERENJENA,0.0,0.0,0.0,0.0,0.0
2007,SUCRE,BERENJENA,80.0,768.4,9.61,16.03,31.62
2007,VALLE DEL CAUCA,BERENJENA,84.0,3434.0,40.88,71.65,33.2
2008,ATLANTICO,BERENJENA,7.0,38.0,5.43,0.7,2.31
2008,BOLIVAR,BERENJENA,16.0,192.0,12.0,3.56,5.28
2008,CORDOBA,BERENJENA,57.0,462.0,8.11,8.57,18.81
2008,MAGDALENA,BERENJENA,72.0,720.0,10.0,13.35,23.76
2008,SUCRE,BERENJENA,74.0,739.0,9.99,13.71,24.42
2008,VALLE DEL CAUCA,BERENJENA,77.0,3241.0,42.09,60.11,25.41
2009,ATLANTICO,BERENJENA,11.5,134.0,11.65,3.96,5.26
2009,BOLIVAR,BERENJENA,18.0,196.0,10.89,5.79,8.24
2009,CORDOBA,BERENJENA,56.95,450.45,7.91,13.3,26.07
2009,MAGDALENA,BERENJENA,6.0,60.0,10.0,1.77,2.75
2009,SUCRE,BERENJENA,84.0,860.0,10.24,25.4,38.45
2009,VALLE DEL CAUCA,BERENJENA,42.0,1686.0,40.14,49.79,19.23
2010,ATLANTICO,BERENJENA,7.88,157.6,20.0,6.98,3.1
2010,BOLIVAR,BERENJENA,35.0,350.0,10.0,15.51,13.78
2010,CORDOBA,BERENJENA,119.2,833.4,6.99,36.93,46.91
2010,MAGDALENA,BERENJENA,25.0,250.0,10.0,11.08,9.84
2010,SUCRE,BERENJENA,61.0,586.0,9.61,25.96,24.01
2010,VALLE DEL CAUCA,BERENJENA,6.0,80.0,13.33,3.54,2.36
2011,ATLANTICO,BERENJENA,10.1,113.0,11.19,4.32,3.43
2011,BOLIVAR,BERENJENA,25.0,210.0,8.4,8.03,8.49
2011,CORDOBA,BERENJENA,141.5,1111.65,7.86,42.5,48.03
2011,MAGDALENA,BERENJENA,80.0,800.0,10.0,30.59,27.16
2011,SUCRE,BERENJENA,33.0,322.0,9.76,12.31,11.2
2011,VALLE DEL CAUCA,BERENJENA,5.0,59.0,11.8,2.26,1.7
2012,ATLANTICO,BERENJENA,33.0,360.0,10.91,10.83,9.39
2012,BOLIVAR,BERENJENA,29.0,242.0,8.34,7.28,8.25
2012,CORDOBA,BERENJENA,139.3,1027.6,7.38,30.91,39.65
2012,MAGDALENA,BERENJENA,140.0,1400.0,10.0,42.11,39.85
2012,SAN ANDRES Y PROVIDENCIA,BERENJENA,0.15,0.3,2.0,0.01,0.04
2012,SUCRE,BERENJENA,0.0,0.0,0.0,0.0,0.0
2012,VALLE DEL CAUCA,BERENJENA,9.9,295.0,29.8,8.87,2.82
2013,ATLANTICO,BERENJENA,62.0,534.5,8.62,15.27,15.36
2013,BOLIVAR,BERENJENA,30.0,259.0,8.63,7.4,7.43
2013,CORDOBA,BERENJENA,116.8,652.45,5.59,18.64,28.94
2013,MAGDALENA,BERENJENA,115.0,1122.5,9.76,32.07,28.5
2013,SAN ANDRES Y PROVIDENCIA,BERENJENA,1.95,5.7,2.92,0.16,0.48
2013,SUCRE,BERENJENA,71.0,734.0,10.34,20.97,17.59
2013,VALLE DEL CAUCA,BERENJENA,6.8,192.0,28.24,5.49,1.69
2014,ATLANTICO,BERENJENA,31.0,256.0,8.26,9.07,7.65
2014,BOLIVAR,BERENJENA,28.0,219.0,7.82,7.76,6.91
2014,CORDOBA,BERENJENA,152.5,661.25,4.34,23.44,37.64
2014,MAGDALENA,BERENJENA,110.0,1020.0,9.27,36.15,27.15
2014,SAN ANDRES Y PROVIDENCIA,BERENJENA,1.8,5.4,3.0,0.19,0.44
2014,SUCRE,BERENJENA,70.0,340.0,4.86,12.05,17.28
2014,VALLE DEL CAUCA,BERENJENA,11.9,319.7,26.87,11.33,2.94
2015,ATLANTICO,BERENJENA,42.0,316.0,7.52,8.94,8.89
2015,BOLIVAR,BERENJENA,12.0,72.0,6.0,2.04,2.54
2015,CORDOBA,BERENJENA,187.0,1269.35,6.79,35.89,39.59
2015,MAGDALENA,BERENJENA,120.0,1102.5,9.19,31.18,25.41
2015,SUCRE,BERENJENA,98.0,396.0,4.04,11.2,20.75
2015,VALLE DEL CAUCA,BERENJENA,13.3,380.5,28.61,10.76,2.82
2016,ATLANTICO,BERENJENA,29.0,240.0,8.28,4.48,6.14
2016,BOLIVAR,BERENJENA,26.0,160.0,6.15,2.99,5.51
2016,CORDOBA,BERENJENA,245.75,3395.85,13.82,63.39,52.05
2016,MAGDALENA,BERENJENA,60.0,570.0,9.5,10.64,12.71
2016,SAN ANDRES Y PROVIDENCIA,BERENJENA,0.1,0.68,7.07,0.01,0.02
2016,SUCRE,BERENJENA,95.0,542.0,5.71,10.12,20.12
2016,VALLE DEL CAUCA,BERENJENA,16.3,448.4,27.51,8.37,3.45
2017,ANTIOQUIA,BERENJENA,5.0,60.0,12.0,1.6800000000000002,1.07
2017,ATLANTICO,BERENJENA,11.0,107.0,9.73,3.0,2.35
2017,BOLIVAR,BERENJENA,21.0,124.0,5.9,3.48,4.48
2017,CORDOBA,BERENJENA,215.0,1191.2,5.54,33.42,45.85
2017,MAGDALENA,BERENJENA,122.0,1159.0,9.5,32.52,26.02
2017,SUCRE,BERENJENA,80.0,530.0,6.63,14.87,17.06
2017,VALLE DEL CAUCA,BERENJENA,14.9,392.8,26.36,11.02,3.18
2018,ANTIOQUIA,BERENJENA,8.0,96.0,12.0,2.09,1.33
2018,ATLANTICO,BERENJENA,35.0,410.0,11.71,8.91,5.82
2018,BOLIVAR,BERENJENA,26.0,176.0,6.77,3.82,4.32
2018,CORDOBA,BERENJENA,192.32,1307.78,6.8,28.41,31.98
2018,MAGDALENA,BERENJENA,90.0,1260.0,14.0,27.37,14.97
2018,SUCRE,BERENJENA,242.0,1144.0,4.73,24.85,40.24
2018,VALLE DEL CAUCA,BERENJENA,8.0,210.0,26.25,4.5600000000000005,1.33
2019,ATLANTICO,BERENJENA,13.0,153.0,11.77,2.02,1.49
2019,BOLIVAR,BERENJENA,53.0,465.0,8.77,6.15,6.09
2019,CORDOBA,BERENJENA,274.02,1337.27,4.88,17.68,31.5
2019,MAGDALENA,BERENJENA,359.0,3537.0,9.85,46.76,41.28
2019,SAN ANDRES Y PROVIDENCIA,BERENJENA,1.0,12.5,12.5,0.17,0.11
2019,SANTANDER,BERENJENA,8.0,120.0,15.0,1.5899999999999999,0.92
2019,SUCRE,BERENJENA,111.6,662.6,5.9399999999999995,8.76,12.83
2019,VALLE DEL CAUCA,BERENJENA,50.15,1276.25,25.45,16.87,5.77
2020,ATLANTICO,BERENJENA,16.0,187.0,11.69,1.13,1.19
2020,BOLIVAR,BERENJENA,47.0,448.0,9.53,2.7,3.48
2020,CORDOBA,BERENJENA,277.88,3336.89,12.01,20.14,20.6
2020,LA GUAJIRA,BERENJENA,5.0,17.0,3.4,0.1,0.37
2020,MAGDALENA,BERENJENA,830.0,10565.0,12.73,63.76,61.53
2020,SUCRE,BERENJENA,124.0,798.0,6.44,4.82,9.19
2020,VALLE DEL CAUCA,BERENJENA,49.05,1216.9,24.81,7.34,3.64
2021,ATLANTICO,BERENJENA,43.0,669.0,15.56,2.15,1.56
2021,BOLIVAR,BERENJENA,246.0,1445.0,5.87,4.64,8.91
2021,CORDOBA,BERENJENA,472.6,5562.6,11.77,17.88,17.12
2021,LA GUAJIRA,BERENJENA,10.0,34.0,3.4,0.11,0.36
2021,MAGDALENA,BERENJENA,1568.0,18002.0,11.48,57.86,56.8
2021,SUCRE,BERENJENA,269.0,2179.5,8.1,7.01,9.74
2021,VALLE DEL CAUCA,BERENJENA,152.2,3220.5,21.16,10.35,5.51
2022,ATLANTICO,BERENJENA,31.0,466.0,15.03,3.43,2.59
2022,BOLIVAR,BERENJENA,87.0,848.3,9.75,6.24,7.28
2022,CORDOBA,BERENJENA,270.5,2991.5,11.06,22.02,22.64
2022,LA GUAJIRA,BERENJENA,5.0,17.0,3.4,0.13,0.42
2022,MAGDALENA,BERENJENA,592.0,6638.0,11.21,48.87,49.55
2022,SUCRE,BERENJENA,146.0,1297.5,8.89,9.55,12.22
2022,VALLE DEL CAUCA,BERENJENA,63.32,1325.6,20.93,9.76,5.3
