Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,ANTIOQUIA,BOROJO,73.0,246.5,3.38,1.3900000000000001,2.22
2007,BOYACA,BOROJO,3.0,28.0,9.33,0.16,0.09
2007,CAUCA,BOROJO,229.0,595.0,2.6,3.35,6.96
2007,CHOCO,BOROJO,1378.5,3790.8,2.75,21.34,41.91
2007,NARIÑO,BOROJO,759.0,3156.1,4.16,17.77,23.07
2007,RISARALDA,BOROJO,18.0,18.0,1.0,0.1,0.55
2007,VALLE DEL CAUCA,BOROJO,829.0,9926.0,11.97,55.89,25.2
2008,AMAZONAS,BOROJO,6.0,18.0,3.0,0.1,0.18
2008,ANTIOQUIA,BOROJO,66.0,219.0,3.32,1.26,2.01
2008,CAUCA,BOROJO,180.0,493.0,2.74,2.83,5.48
2008,CHOCO,BOROJO,1327.0,3219.1,2.43,18.5,40.37
2008,GUAVIARE,BOROJO,80.0,240.0,3.0,1.38,2.43
2008,NARIÑO,BOROJO,788.0,3351.06,4.25,19.26,23.97
2008,RISARALDA,BOROJO,18.0,18.0,1.0,0.1,0.55
2008,VALLE DEL CAUCA,BOROJO,822.0,9842.0,11.97,56.56,25.01
2009,ANTIOQUIA,BOROJO,95.0,425.0,4.47,2.69,3.45
2009,CAUCA,BOROJO,160.0,457.0,2.86,2.89,5.82
2009,CHOCO,BOROJO,1142.2,3004.11,2.63,18.98,41.54
2009,GUAVIARE,BOROJO,80.0,240.0,3.0,1.52,2.91
2009,NARIÑO,BOROJO,454.5,2080.5,4.58,13.15,16.53
2009,RISARALDA,BOROJO,18.0,18.0,1.0,0.11,0.65
2009,VALLE DEL CAUCA,BOROJO,800.0,9600.0,12.0,60.67,29.09
2010,ANTIOQUIA,BOROJO,74.0,370.0,5.0,2.43,3.04
2010,BOYACA,BOROJO,4.0,16.0,4.0,0.1,0.16
2010,CAUCA,BOROJO,140.0,420.0,3.0,2.75,5.76
2010,CHOCO,BOROJO,953.0,2627.5,2.76,17.23,39.19
2010,NARIÑO,BOROJO,448.0,2057.0,4.59,13.49,18.42
2010,VALLE DEL CAUCA,BOROJO,813.0,9756.0,12.0,63.99,33.43
2011,ANTIOQUIA,BOROJO,117.0,550.8,4.71,3.04,3.88
2011,BOYACA,BOROJO,4.15,16.59,4.0,0.09,0.14
2011,CAUCA,BOROJO,145.12,435.35,3.0,2.4,4.8100000000000005
2011,CHOCO,BOROJO,1249.8,3333.93,2.67,18.4,41.45
2011,NARIÑO,BOROJO,688.0,4048.0,5.88,22.34,22.82
2011,VALLE DEL CAUCA,BOROJO,811.0,9732.0,12.0,53.72,26.9
2012,ANTIOQUIA,BOROJO,44.0,218.3,4.96,1.25,1.46
2012,BOYACA,BOROJO,4.0,16.0,4.0,0.09,0.13
2012,CHOCO,BOROJO,1464.0,4224.8,2.89,24.13,48.48
2012,NARIÑO,BOROJO,700.0,3354.2,4.79,19.16,23.18
2012,VALLE DEL CAUCA,BOROJO,808.0,9696.0,12.0,55.38,26.75
2013,ANTIOQUIA,BOROJO,31.5,118.3,3.76,0.73,1.07
2013,BOYACA,BOROJO,4.0,16.0,4.0,0.1,0.14
2013,CHOCO,BOROJO,1445.5,3398.2,2.35,20.85,49.27
2013,NARIÑO,BOROJO,650.0,3126.1,4.8100000000000005,19.18,22.15
2013,VALLE DEL CAUCA,BOROJO,803.0,9636.0,12.0,59.14,27.37
2014,ANTIOQUIA,BOROJO,26.5,104.0,3.92,0.57,0.88
2014,BOYACA,BOROJO,4.0,16.0,4.0,0.09,0.13
2014,CAUCA,BOROJO,1.0,1.0,1.0,0.01,0.03
2014,CHOCO,BOROJO,1530.0,6102.0,3.99,33.21,50.91
2014,NARIÑO,BOROJO,644.0,2549.0,3.96,13.87,21.43
2014,VALLE DEL CAUCA,BOROJO,800.0,9600.0,12.0,52.25,26.62
2015,ANTIOQUIA,BOROJO,46.5,134.75,2.9,0.75,1.5899999999999999
2015,BOYACA,BOROJO,4.0,16.0,4.0,0.09,0.14
2015,CAUCA,BOROJO,1.5,1.5,1.0,0.01,0.05
2015,CHOCO,BOROJO,1669.0,6656.0,3.99,36.87,57.06
2015,NARIÑO,BOROJO,428.0,1932.0,4.51,10.7,14.63
2015,VALLE DEL CAUCA,BOROJO,776.0,9312.0,12.0,51.58,26.53
