Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,ANTIOQUIA,BREVO,13.5,130.0,9.63,15.75,11.62
2007,BOYACA,BREVO,68.0,283.0,4.16,34.29,58.52
2007,NORTE DE SANTANDER,BREVO,14.5,71.8,4.95,8.7,12.48
2007,TOLIMA,BREVO,15.0,300.0,20.0,36.35,12.91
2007,VALLE DEL CAUCA,BREVO,5.2,40.42,7.77,4.9,4.48
2008,ANTIOQUIA,BREVO,13.5,130.0,9.63,14.11,9.31
2008,BOYACA,BREVO,91.06,431.0,4.73,46.79,62.77
2008,NORTE DE SANTANDER,BREVO,21.5,103.2,4.8,11.2,14.82
2008,TOLIMA,BREVO,15.0,225.0,15.0,24.42,10.34
2008,VALLE DEL CAUCA,BREVO,4.0,32.0,8.0,3.4699999999999998,2.76
2009,ANTIOQUIA,BREVO,17.0,124.3,7.31,6.43,5.28
2009,BOYACA,BREVO,266.09,1542.45,5.8,79.83,82.61
2009,CALDAS,BREVO,0.0,0.0,0.0,0.0,0.0
2009,NORTE DE SANTANDER,BREVO,22.0,113.3,5.15,5.86,6.83
2009,TOLIMA,BREVO,15.0,150.0,10.0,7.76,4.66
2009,VALLE DEL CAUCA,BREVO,2.0,2.2,1.1,0.11,0.62
2010,ANTIOQUIA,BREVO,17.0,122.0,7.18,6.47,5.54
2010,BOYACA,BREVO,244.06,1414.8,5.8,74.98,79.56
2010,CALDAS,BREVO,11.0,132.0,12.0,7.0,3.59
2010,NORTE DE SANTANDER,BREVO,24.5,126.0,5.14,6.68,7.99
2010,TOLIMA,BREVO,8.0,90.0,11.25,4.77,2.61
2010,VALLE DEL CAUCA,BREVO,2.2,2.2,1.0,0.12,0.72
2011,ANTIOQUIA,BREVO,21.5,136.4,6.34,6.85,6.82
2011,BOYACA,BREVO,252.11,1466.96,5.82,73.68,79.96
2011,CAUCA,BREVO,2.0,0.2,0.1,0.01,0.63
2011,NORTE DE SANTANDER,BREVO,24.5,125.5,5.12,6.3,7.77
2011,TOLIMA,BREVO,13.0,260.0,20.0,13.06,4.12
2011,VALLE DEL CAUCA,BREVO,2.2,2.0,0.91,0.1,0.7
2012,ANTIOQUIA,BREVO,16.5,106.3,6.44,5.9399999999999995,5.8
2012,BOYACA,BREVO,225.0,1277.6,5.68,71.39,79.03
2012,NORTE DE SANTANDER,BREVO,28.0,143.6,5.13,8.02,9.83
2012,TOLIMA,BREVO,13.0,260.0,20.0,14.53,4.57
2012,VALLE DEL CAUCA,BREVO,2.2,2.2,1.0,0.12,0.77
2013,ANTIOQUIA,BREVO,18.8,118.4,6.3,7.08,6.57
2013,BOYACA,BREVO,222.0,1270.0,5.72,75.96,77.54
2013,CALDAS,BREVO,5.0,75.0,15.0,4.49,1.75
2013,NARIÑO,BREVO,5.0,35.0,7.0,2.09,1.75
2013,NORTE DE SANTANDER,BREVO,33.5,167.6,5.0,10.02,11.7
2013,VALLE DEL CAUCA,BREVO,2.0,6.0,3.0,0.36,0.7
2014,ANTIOQUIA,BREVO,17.3,115.15,6.66,7.52,5.4
2014,BOYACA,BREVO,259.06,1143.45,4.41,74.7,80.87
2014,CALDAS,BREVO,5.0,75.0,15.0,4.9,1.56
2014,NARIÑO,BREVO,5.0,35.0,7.0,2.29,1.56
2014,NORTE DE SANTANDER,BREVO,32.0,160.2,5.01,10.47,9.99
2014,VALLE DEL CAUCA,BREVO,2.0,2.0,1.0,0.13,0.62
2015,ANTIOQUIA,BREVO,23.3,156.15,6.7,9.41,6.67
2015,BOYACA,BREVO,283.06,1278.18,4.52,77.04,81.02
2015,CALDAS,BREVO,5.0,25.0,5.0,1.51,1.43
2015,NARIÑO,BREVO,5.0,35.0,7.0,2.11,1.43
2015,NORTE DE SANTANDER,BREVO,31.0,163.8,5.28,9.87,8.87
2015,VALLE DEL CAUCA,BREVO,2.0,1.0,0.5,0.06,0.57
2016,ANTIOQUIA,BREVO,22.0,160.25,7.28,9.57,6.14
2016,BOYACA,BREVO,292.0,1252.0,4.29,74.8,81.45
2016,CALDAS,BREVO,4.0,48.0,12.0,2.87,1.12
2016,CUNDINAMARCA,BREVO,2.0,12.0,6.0,0.72,0.56
2016,NARIÑO,BREVO,5.0,35.0,7.0,2.09,1.3900000000000001
2016,NORTE DE SANTANDER,BREVO,31.5,164.6,5.23,9.83,8.79
2016,VALLE DEL CAUCA,BREVO,2.0,2.0,1.0,0.12,0.56
2017,ANTIOQUIA,BREVO,20.0,132.75,6.64,7.19,6.34
2017,BOYACA,BREVO,222.0,1283.6,5.78,69.55,70.36
2017,CALDAS,BREVO,5.0,60.0,12.0,3.25,1.58
2017,CUNDINAMARCA,BREVO,2.0,12.0,6.0,0.65,0.63
2017,NARIÑO,BREVO,6.0,42.0,7.0,2.2800000000000002,1.9
2017,NORTE DE SANTANDER,BREVO,58.5,313.2,5.35,16.97,18.54
2017,VALLE DEL CAUCA,BREVO,2.0,2.0,1.0,0.11,0.63
2018,ANTIOQUIA,BREVO,20.0,132.75,6.64,7.23,5.85
2018,BOYACA,BREVO,244.0,1242.25,5.09,67.69,71.35
2018,CALDAS,BREVO,5.0,60.0,12.0,3.27,1.46
2018,CUNDINAMARCA,BREVO,2.0,12.0,6.0,0.65,0.58
2018,NARIÑO,BREVO,6.0,36.0,6.0,1.96,1.75
2018,NORTE DE SANTANDER,BREVO,63.0,350.1,5.5600000000000005,19.08,18.42
2018,VALLE DEL CAUCA,BREVO,2.0,2.0,1.0,0.11,0.58
2019,ANTIOQUIA,BREVO,17.0,127.0,7.47,6.47,4.92
2019,BOYACA,BREVO,218.2,1039.2,4.76,52.93,63.21
2019,CALDAS,BREVO,5.0,60.0,12.0,3.06,1.45
2019,CUNDINAMARCA,BREVO,2.0,4.0,2.0,0.2,0.58
2019,NARIÑO,BREVO,6.0,42.0,7.0,2.14,1.74
2019,NORTE DE SANTANDER,BREVO,96.0,684.1,7.13,34.84,27.81
2019,VALLE DEL CAUCA,BREVO,1.0,7.0,7.0,0.36,0.29
2020,ANTIOQUIA,BREVO,14.0,102.0,7.29,6.17,5.03
2020,BOYACA,BREVO,148.0,598.42,4.04,36.2,53.14
2020,CALDAS,BREVO,5.0,55.0,11.0,3.33,1.8
2020,CUNDINAMARCA,BREVO,2.0,12.0,6.0,0.73,0.72
2020,NARIÑO,BREVO,7.0,52.0,7.43,3.15,2.51
2020,NORTE DE SANTANDER,BREVO,101.5,826.9,8.15,50.01,36.45
2020,VALLE DEL CAUCA,BREVO,1.0,7.0,7.0,0.42,0.36
2021,ANTIOQUIA,BREVO,28.0,208.0,7.43,6.42,5.01
2021,BOYACA,BREVO,287.0,1156.52,4.03,35.71,51.34
2021,CALDAS,BREVO,10.0,110.0,11.0,3.4,1.79
2021,CUNDINAMARCA,BREVO,4.0,26.0,6.5,0.8,0.72
2021,NARIÑO,BREVO,16.0,124.0,7.75,3.83,2.86
2021,NORTE DE SANTANDER,BREVO,214.0,1613.8,7.54,49.83,38.28
2022,ANTIOQUIA,BREVO,14.5,105.5,7.28,7.92,5.42
2022,BOYACA,BREVO,124.5,279.66,2.25,20.99,46.56
2022,CALDAS,BREVO,2.0,22.0,11.0,1.65,0.75
2022,CUNDINAMARCA,BREVO,4.4,15.4,3.5,1.16,1.65
2022,NARIÑO,BREVO,10.0,70.0,7.0,5.25,3.74
2022,NORTE DE SANTANDER,BREVO,112.0,839.9,7.5,63.03,41.88
2022,SANTANDER,BREVO,0.0,0.0,0.0,0.0,0.0
2023,ANTIOQUIA,BREVO,11.0,79.0,7.18,5.52,5.31
2023,BOYACA,BREVO,72.1,526.65,7.3,36.8,34.81
2023,CALDAS,BREVO,1.0,8.0,8.0,0.56,0.48
2023,CUNDINAMARCA,BREVO,2.0,13.0,6.5,0.91,0.97
2023,NARIÑO,BREVO,9.0,60.0,6.67,4.19,4.35
2023,NORTE DE SANTANDER,BREVO,112.0,744.5,6.65,52.02,54.08
2023,SANTANDER,BREVO,0.0,0.0,0.0,0.0,0.0
