Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2006,ANTIOQUIA,BROCOLI,0.0,0.0,0.0,0.0,0.0
2006,BOYACA,BROCOLI,0.0,0.0,0.0,0.0,0.0
2006,CAUCA,BROCOLI,0.0,0.0,0.0,0.0,0.0
2006,CUNDINAMARCA,BROCOLI,0.0,0.0,0.0,0.0,0.0
2006,NORTE DE SANTANDER,BROCOLI,0.0,0.0,0.0,0.0,0.0
2007,ANTIOQUIA,BROCOLI,150.0,4050.0,27.0,31.0,21.04
2007,BOYACA,BROCOLI,14.0,253.0,18.07,1.94,1.96
2007,CAUCA,BROCOLI,17.5,204.0,11.66,1.56,2.45
2007,CUNDINAMARCA,BROCOLI,478.0,7753.0,16.22,59.35,67.04
2007,NARIÑO,BROCOLI,0.0,0.0,0.0,0.0,0.0
2007,NORTE DE SANTANDER,BROCOLI,53.5,802.5,15.0,6.14,7.5
2008,ANTIOQUIA,BROCOLI,180.0,4860.0,27.0,32.78,22.67
2008,BOYACA,BROCOLI,13.0,229.0,17.62,1.54,1.6400000000000001
2008,CAUCA,BROCOLI,17.8,204.0,11.46,1.38,2.24
2008,CUNDINAMARCA,BROCOLI,477.5,8005.6,16.77,54.0,60.14
2008,NARIÑO,BROCOLI,40.2,543.2,13.51,3.66,5.06
2008,NORTE DE SANTANDER,BROCOLI,65.5,982.5,15.0,6.63,8.25
2009,ANTIOQUIA,BROCOLI,181.0,4885.0,26.99,36.51,26.04
2009,BOYACA,BROCOLI,14.0,230.0,16.43,1.72,2.01
2009,CAUCA,BROCOLI,18.0,200.0,11.11,1.49,2.59
2009,CUNDINAMARCA,BROCOLI,370.6,6435.92,17.37,48.1,53.32
2009,NARIÑO,BROCOLI,46.0,645.7,14.04,4.83,6.62
2009,NORTE DE SANTANDER,BROCOLI,65.5,982.5,15.0,7.34,9.42
2010,ANTIOQUIA,BROCOLI,187.0,4987.0,26.67,49.14,37.04
2010,BOYACA,BROCOLI,12.5,189.5,15.16,1.87,2.48
2010,CALDAS,BROCOLI,0.4,6.0,15.0,0.06,0.08
2010,CAUCA,BROCOLI,21.0,283.0,13.48,2.79,4.16
2010,CUNDINAMARCA,BROCOLI,158.1,2740.8,17.34,27.01,31.32
2010,NARIÑO,BROCOLI,65.0,1030.0,15.85,10.15,12.88
2010,NORTE DE SANTANDER,BROCOLI,60.8,912.0,15.0,8.99,12.04
2011,ANTIOQUIA,BROCOLI,194.0,5042.0,25.99,42.97,30.58
2011,BOYACA,BROCOLI,45.0,793.0,17.62,6.76,7.09
2011,CALDAS,BROCOLI,0.33,5.49,16.64,0.05,0.05
2011,CAUCA,BROCOLI,19.0,211.0,11.11,1.8,3.0
2011,CUNDINAMARCA,BROCOLI,227.4,3400.8,14.96,28.98,35.85
2011,NARIÑO,BROCOLI,79.6,1247.25,15.67,10.63,12.55
2011,NORTE DE SANTANDER,BROCOLI,69.0,1035.0,15.0,8.82,10.88
