Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,ANTIOQUIA,CACAO,7008.8,2892.2,0.41,5.03,6.61
2007,ARAUCA,CACAO,9467.0,6589.0,0.7,11.47,8.93
2007,BOLIVAR,CACAO,1545.0,557.7,0.36,0.97,1.46
2007,BOYACA,CACAO,1094.0,692.5,0.63,1.21,1.03
2007,CALDAS,CACAO,976.63,642.33,0.66,1.12,0.92
2007,CAQUETA,CACAO,340.0,147.3,0.43,0.26,0.32
2007,CASANARE,CACAO,30.5,19.55,0.64,0.03,0.03
2007,CAUCA,CACAO,327.14,205.31,0.63,0.36,0.31
2007,CESAR,CACAO,4828.0,3120.4,0.65,5.43,4.55
2007,CHOCO,CACAO,718.25,229.05,0.32,0.4,0.68
2007,CORDOBA,CACAO,567.0,345.0,0.61,0.6,0.53
2007,CUNDINAMARCA,CACAO,2577.0,1619.5,0.63,2.82,2.43
2007,GUAINIA,CACAO,54.0,16.0,0.3,0.03,0.05
2007,GUAVIARE,CACAO,51.0,17.0,0.33,0.03,0.05
2007,HUILA,CACAO,9188.5,4447.5,0.48,7.74,8.66
2007,LA GUAJIRA,CACAO,289.0,168.7,0.58,0.29,0.27
2007,MAGDALENA,CACAO,1363.0,818.5,0.6,1.42,1.29
2007,META,CACAO,1162.0,722.2,0.62,1.26,1.1
2007,NARIÑO,CACAO,6947.0,1517.49,0.22,2.64,6.55
2007,NORTE DE SANTANDER,CACAO,10946.0,5357.49,0.49,9.32,10.32
2007,PUTUMAYO,CACAO,395.0,205.0,0.52,0.36,0.37
2007,QUINDIO,CACAO,31.0,9.7,0.31,0.02,0.03
2007,RISARALDA,CACAO,946.0,597.22,0.63,1.04,0.89
2007,SANTANDER,CACAO,37119.93,21793.15,0.59,37.92,35.0
2007,SUCRE,CACAO,0.0,0.0,0.0,0.0,0.0
2007,TOLIMA,CACAO,7620.2,4505.45,0.59,7.84,7.19
2007,VALLE DEL CAUCA,CACAO,458.1,231.84,0.51,0.4,0.43
2007,VICHADA,CACAO,0.0,0.0,0.0,0.0,0.0
2008,AMAZONAS,CACAO,4.0,2.32,0.58,0.0,0.0
2008,ANTIOQUIA,CACAO,6234.0,2574.0,0.41,4.39,5.79
