Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,ANTIOQUIA,CAFE,112343.6,120500.8,1.07,14.54,14.66
2007,BOLIVAR,CAFE,502.0,446.0,0.89,0.05,0.07
2007,BOYACA,CAFE,11374.5,9683.1,0.85,1.17,1.48
2007,CALDAS,CAFE,78393.65,92815.0,1.18,11.2,10.23
2007,CAQUETA,CAFE,2295.0,2134.0,0.93,0.26,0.3
2007,CASANARE,CAFE,2605.0,2048.4,0.79,0.25,0.34
2007,CAUCA,CAFE,53471.0,51348.0,0.96,6.19,6.98
2007,CESAR,CAFE,23172.0,13278.5,0.57,1.6,3.02
2007,CHOCO,CAFE,290.0,205.9,0.71,0.02,0.04
2007,CUNDINAMARCA,CAFE,43017.3,33729.14,0.78,4.07,5.61
2007,HUILA,CAFE,89661.56,129052.51,1.44,15.57,11.7
2007,LA GUAJIRA,CAFE,4785.0,2958.7,0.62,0.36,0.62
2007,MAGDALENA,CAFE,17506.0,14005.0,0.8,1.69,2.2800000000000002
2007,META,CAFE,2048.0,1617.2,0.79,0.2,0.27
2007,NARIÑO,CAFE,24458.5,31770.05,1.3,3.83,3.19
2007,NORTE DE SANTANDER,CAFE,30171.84,13593.24,0.45,1.6400000000000001,3.94
2007,PUTUMAYO,CAFE,35.0,34.0,0.97,0.0,0.0
2007,QUINDIO,CAFE,19904.0,25426.0,1.28,3.07,2.6
2007,RISARALDA,CAFE,47689.25,72842.55,1.53,8.79,6.22
2007,SANTANDER,CAFE,34406.67,29469.52,0.86,3.56,4.49
2007,TOLIMA,CAFE,91679.1,112322.38,1.23,13.55,11.96
2007,VALLE DEL CAUCA,CAFE,76667.8,69618.24,0.91,8.4,10.0
2008,ANTIOQUIA,CAFE,114694.0,113505.2,0.99,13.7,15.13
2008,BOLIVAR,CAFE,572.0,711.0,1.24,0.09,0.08
2008,BOYACA,CAFE,10778.5,9547.29,0.89,1.15,1.42
2008,CALDAS,CAFE,74897.0,86884.0,1.16,10.49,9.88
2008,CAQUETA,CAFE,2735.0,2469.0,0.9,0.3,0.36
2008,CASANARE,CAFE,2149.0,1388.13,0.65,0.17,0.28
2008,CAUCA,CAFE,56208.0,48073.0,0.86,5.8,7.41
2008,CESAR,CAFE,23198.0,13841.45,0.6,1.67,3.06
2008,CHOCO,CAFE,90.0,68.0,0.76,0.01,0.01
2008,CUNDINAMARCA,CAFE,43633.35,78254.77,1.79,9.44,5.75
2008,HUILA,CAFE,89131.2,131316.47,1.47,15.85,11.75
2008,LA GUAJIRA,CAFE,4553.0,2328.9,0.51,0.28,0.6
2008,MAGDALENA,CAFE,17521.0,14017.0,0.8,1.69,2.31
2008,META,CAFE,2146.0,1656.96,0.77,0.2,0.28
2008,NARIÑO,CAFE,25582.0,31262.5,1.22,3.77,3.37
2008,NORTE DE SANTANDER,CAFE,30171.84,13593.24,0.45,1.6400000000000001,3.98
2008,PUTUMAYO,CAFE,31.0,35.6,1.15,0.0,0.0
2008,QUINDIO,CAFE,19571.0,23669.0,1.21,2.86,2.58
2008,RISARALDA,CAFE,47227.0,60079.0,1.27,7.25,6.23
2008,SANTANDER,CAFE,34169.37,29016.75,0.85,3.5,4.51
2008,TOLIMA,CAFE,86829.2,101201.88,1.17,12.21,11.45
2008,VALLE DEL CAUCA,CAFE,72419.0,65666.43,0.91,7.93,9.55
2009,ANTIOQUIA,CAFE,112420.2,103703.0,0.92,14.63,14.9
2009,BOLIVAR,CAFE,770.0,292.6,0.38,0.04,0.1
2009,BOYACA,CAFE,10672.5,8567.97,0.8,1.21,1.41
2009,CALDAS,CAFE,73083.0,81668.22,1.12,11.52,9.68
2009,CAQUETA,CAFE,2332.0,2332.0,1.0,0.33,0.31
2009,CASANARE,CAFE,1904.0,2079.7,1.09,0.29,0.25
2009,CAUCA,CAFE,57860.0,47221.0,0.82,6.66,7.67
2009,CESAR,CAFE,23420.0,12770.0,0.55,1.8,3.1
2009,CHOCO,CAFE,70.0,78.75,1.13,0.01,0.01
2009,CUNDINAMARCA,CAFE,43475.84,37118.07,0.85,5.24,5.76
2009,HUILA,CAFE,86726.78,104609.42,1.21,14.76,11.49
2009,LA GUAJIRA,CAFE,4488.0,2340.4,0.52,0.33,0.59
2009,MAGDALENA,CAFE,17036.0,13412.8,0.79,1.8900000000000001,2.26
2009,META,CAFE,2216.0,1672.6,0.75,0.24,0.29
2009,NARIÑO,CAFE,26467.2,27487.71,1.04,3.88,3.51
2009,NORTE DE SANTANDER,CAFE,33552.58,10221.69,0.3,1.44,4.45
2009,PUTUMAYO,CAFE,23.0,26.7,1.16,0.0,0.0
2009,QUINDIO,CAFE,19052.0,21985.0,1.15,3.1,2.52
2009,RISARALDA,CAFE,45428.0,53648.0,1.18,7.57,6.02
2009,SANTANDER,CAFE,37985.9,26311.61,0.69,3.71,5.03
2009,TOLIMA,CAFE,88667.0,88633.1,1.0,12.5,11.75
2009,VALLE DEL CAUCA,CAFE,67001.3,62711.08,0.94,8.85,8.88
2010,ANTIOQUIA,CAFE,111602.71,121253.38,1.09,15.56,14.99
2010,ARAUCA,CAFE,0.0,0.0,0.0,0.0,0.0
2010,BOLIVAR,CAFE,850.0,510.0,0.6,0.07,0.11
2010,BOYACA,CAFE,9427.0,7083.08,0.75,0.91,1.27
2010,CALDAS,CAFE,72240.58,95957.9,1.33,12.31,9.71
2010,CAQUETA,CAFE,2536.0,2902.5,1.1400000000000001,0.37,0.34
2010,CASANARE,CAFE,2198.0,2564.86,1.17,0.33,0.3
2010,CAUCA,CAFE,55162.0,45113.0,0.82,5.79,7.41
2010,CESAR,CAFE,22489.5,13276.07,0.59,1.7,3.02
2010,CHOCO,CAFE,157.5,98.0,0.62,0.01,0.02
2010,CUNDINAMARCA,CAFE,44264.16,37214.8,0.84,4.78,5.95
2010,HUILA,CAFE,87139.53,104336.56,1.2,13.39,11.71
2010,LA GUAJIRA,CAFE,4207.0,2393.0,0.57,0.31,0.57
2010,MAGDALENA,CAFE,17000.0,13600.0,0.8,1.75,2.2800000000000002
2010,META,CAFE,2326.0,2221.9,0.96,0.29,0.31
2010,NARIÑO,CAFE,23504.05,24594.11,1.05,3.16,3.16
2010,NORTE DE SANTANDER,CAFE,30731.96,22111.65,0.72,2.84,4.13
2010,PUTUMAYO,CAFE,24.0,26.7,1.11,0.0,0.0
2010,QUINDIO,CAFE,18159.0,21065.0,1.16,2.7,2.44
2010,RISARALDA,CAFE,47308.0,72091.0,1.52,9.25,6.36
2010,SANTANDER,CAFE,39000.64,27094.16,0.69,3.48,5.24
2010,TOLIMA,CAFE,84658.7,94230.2,1.11,12.09,11.37
2010,VALLE DEL CAUCA,CAFE,69332.1,69496.65,1.0,8.92,9.31
2011,ANTIOQUIA,CAFE,106419.57,115267.98,1.08,18.0,14.94
2011,ARAUCA,CAFE,10.0,12.0,1.2,0.0,0.0
2011,BOLIVAR,CAFE,850.0,510.0,0.6,0.08,0.12
2011,BOYACA,CAFE,8441.74,5643.39,0.67,0.88,1.18
2011,CALDAS,CAFE,66331.61,78805.87,1.19,12.31,9.31
2011,CAQUETA,CAFE,2810.0,2528.4,0.9,0.39,0.39
2011,CASANARE,CAFE,2081.5,2023.5,0.97,0.32,0.29
2011,CAUCA,CAFE,54246.42,41645.39,0.77,6.5,7.61
2011,CESAR,CAFE,22350.0,11035.85,0.49,1.72,3.14
2011,CHOCO,CAFE,157.5,98.0,0.62,0.02,0.02
2011,CUNDINAMARCA,CAFE,37478.87,32780.35,0.87,5.12,5.26
2011,HUILA,CAFE,78792.21,85150.66,1.08,13.3,11.06
2011,LA GUAJIRA,CAFE,4100.0,1933.0,0.47,0.3,0.58
2011,MAGDALENA,CAFE,16577.0,13301.6,0.8,2.08,2.33
2011,META,CAFE,2578.0,2533.75,0.98,0.4,0.36
2011,NARIÑO,CAFE,24263.8,24073.95,0.99,3.76,3.41
2011,NORTE DE SANTANDER,CAFE,21520.45,12332.0,0.57,1.9300000000000002,3.02
2011,PUTUMAYO,CAFE,40.0,45.8,1.15,0.01,0.01
2011,QUINDIO,CAFE,20139.3,20814.11,1.03,3.25,2.83
2011,RISARALDA,CAFE,44733.64,49042.31,1.1,7.66,6.28
2011,SANTANDER,CAFE,37282.04,22089.82,0.59,3.45,5.23
2011,TOLIMA,CAFE,93145.35,53288.42,0.57,8.32,13.08
2011,VALLE DEL CAUCA,CAFE,68038.4,65475.63,0.96,10.22,9.55
2012,ANTIOQUIA,CAFE,112221.14,91621.3,0.82,14.62,15.8
2012,BOLIVAR,CAFE,870.0,652.5,0.75,0.1,0.12
2012,BOYACA,CAFE,6698.2,4981.59,0.74,0.79,0.94
2012,CALDAS,CAFE,54871.88,54115.96,0.99,8.63,7.72
2012,CAQUETA,CAFE,2882.5,2446.38,0.85,0.39,0.41
2012,CASANARE,CAFE,2322.0,1718.25,0.74,0.27,0.33
2012,CAUCA,CAFE,56825.0,50588.14,0.89,8.07,8.0
2012,CESAR,CAFE,22911.0,19994.35,0.87,3.19,3.22
2012,CHOCO,CAFE,70.0,140.0,2.0,0.02,0.01
2012,CUNDINAMARCA,CAFE,37175.06,30786.41,0.83,4.91,5.23
2012,GUAVIARE,CAFE,0.0,0.0,0.0,0.0,0.0
2012,HUILA,CAFE,79809.34,85212.64,1.07,13.6,11.23
2012,LA GUAJIRA,CAFE,5143.0,3434.3,0.67,0.55,0.72
2012,MAGDALENA,CAFE,17686.0,14096.05,0.8,2.25,2.49
2012,META,CAFE,2783.0,2133.1,0.77,0.34,0.39
2012,NARIÑO,CAFE,27806.4,28077.94,1.01,4.48,3.91
2012,NORTE DE SANTANDER,CAFE,19339.31,12214.54,0.63,1.95,2.7199999999999998
2012,PUTUMAYO,CAFE,42.0,48.4,1.15,0.01,0.01
