Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2006,BOYACA,CALABAZA,0.0,0.0,0.0,0.0,0.0
2006,CUNDINAMARCA,CALABAZA,0.0,0.0,0.0,0.0,0.0
2007,BOYACA,CALABAZA,19.0,76.0,4.0,2.45,8.15
2007,CORDOBA,CALABAZA,9.0,180.0,20.0,5.8,3.86
2007,CUNDINAMARCA,CALABAZA,205.0,2850.0,13.9,91.76,87.98
2008,BOYACA,CALABAZA,8.0,32.0,4.0,4.37,10.26
2008,CUNDINAMARCA,CALABAZA,70.0,700.0,10.0,95.63,89.74
2009,BOYACA,CALABAZA,3.0,12.0,4.0,2.6,6.25
2009,CUNDINAMARCA,CALABAZA,45.0,450.0,10.0,97.4,93.75
2010,BOYACA,CALABAZA,0.0,0.0,0.0,0.0,0.0
2010,CUNDINAMARCA,CALABAZA,114.4,2720.8,23.78,100.0,100.0
2011,BOYACA,CALABAZA,3.0,12.0,4.0,0.64,1.5899999999999999
2011,CUNDINAMARCA,CALABAZA,186.04,1858.16,9.99,99.36,98.41
2012,BOYACA,CALABAZA,3.13,12.53,4.0,0.35,1.42
2012,CUNDINAMARCA,CALABAZA,215.04,3480.16,16.18,98.23,97.67
2012,META,CALABAZA,2.0,50.0,25.0,1.41,0.91
2013,CUNDINAMARCA,CALABAZA,286.0,5409.0,18.91,100.0,100.0
2014,CUNDINAMARCA,CALABAZA,252.0,5195.0,20.62,100.0,100.0
2015,CUNDINAMARCA,CALABAZA,198.0,5668.0,28.63,100.0,100.0
2016,CUNDINAMARCA,CALABAZA,89.5,2090.0,23.35,100.0,100.0
2017,CORDOBA,CALABAZA,0.0,0.0,0.0,0.0,0.0
2017,CUNDINAMARCA,CALABAZA,253.0,6257.0,24.73,100.0,100.0
2018,CUNDINAMARCA,CALABAZA,187.0,4127.23,22.07,100.0,100.0
2019,ANTIOQUIA,CALABAZA,19.2,650.8,33.9,4.55,2.36
2019,BOYACA,CALABAZA,166.0,3495.5,21.06,24.46,20.37
2019,CORDOBA,CALABAZA,1.2,1.4,1.17,0.01,0.15
2019,CUNDINAMARCA,CALABAZA,602.5,9596.6,15.93,67.16,73.94
2019,SANTANDER,CALABAZA,4.0,48.0,12.0,0.34,0.49
2019,VALLE DEL CAUCA,CALABAZA,22.0,496.0,22.55,3.4699999999999998,2.7
2020,ANTIOQUIA,CALABAZA,19.7,1000.9,50.81,7.38,2.91
2020,BOYACA,CALABAZA,136.0,3781.0,27.8,27.87,20.12
2020,CORDOBA,CALABAZA,1.13,1.01,0.9,0.01,0.17
2020,CUNDINAMARCA,CALABAZA,486.5,8261.0,16.98,60.9,71.99
2020,MAGDALENA,CALABAZA,2.0,14.0,7.0,0.1,0.3
2020,NARIÑO,CALABAZA,1.5,59.0,39.33,0.43,0.22
2020,SANTANDER,CALABAZA,4.0,48.0,12.0,0.35,0.59
2020,VALLE DEL CAUCA,CALABAZA,25.0,400.0,16.0,2.95,3.7
2021,ANTIOQUIA,CALABAZA,42.0,2190.0,52.14,8.07,3.06
2021,BOYACA,CALABAZA,276.0,7240.0,26.23,26.68,20.1
2021,CORDOBA,CALABAZA,3.0,1.74,0.58,0.01,0.22
2021,CUNDINAMARCA,CALABAZA,978.0,16680.0,17.06,61.47,71.23
2021,MAGDALENA,CALABAZA,4.0,28.0,7.0,0.1,0.29
2021,NARIÑO,CALABAZA,6.0,256.0,42.67,0.94,0.44
2021,SANTANDER,CALABAZA,8.0,120.0,15.0,0.44,0.58
2021,VALLE DEL CAUCA,CALABAZA,56.0,620.0,11.07,2.2800000000000002,4.08
2022,ANTIOQUIA,CALABAZA,17.0,855.0,50.29,7.25,2.31
2022,ATLANTICO,CALABAZA,0.0,0.0,0.0,0.0,0.0
2022,BOYACA,CALABAZA,151.5,2934.25,19.37,24.88,20.59
2022,CORDOBA,CALABAZA,2.0,4.0,2.0,0.03,0.27
2022,CUNDINAMARCA,CALABAZA,522.2,7505.5,14.37,63.63,70.98
2022,MAGDALENA,CALABAZA,2.0,14.0,7.0,0.12,0.27
2022,NARIÑO,CALABAZA,1.0,30.0,30.0,0.25,0.14
2022,SANTANDER,CALABAZA,6.0,112.0,18.67,0.95,0.82
2022,VALLE DEL CAUCA,CALABAZA,34.0,340.0,10.0,2.88,4.62
2023,ANTIOQUIA,CALABAZA,14.0,840.0,60.0,7.34,1.95
2023,ATLANTICO,CALABAZA,0.0,0.0,0.0,0.0,0.0
2023,BOYACA,CALABAZA,171.0,3298.25,19.29,28.83,23.86
2023,CUNDINAMARCA,CALABAZA,486.3,6759.05,13.9,59.09,67.86
2023,NARIÑO,CALABAZA,2.8,44.0,15.71,0.38,0.39
2023,SANTANDER,CALABAZA,8.5,157.5,18.53,1.38,1.19
2023,VALLE DEL CAUCA,CALABAZA,34.0,340.0,10.0,2.9699999999999998,4.74
