Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,ANTIOQUIA,CARDAMOMO,288.0,754.9,2.62,100.0,100.0
2008,ANTIOQUIA,CARDAMOMO,195.0,637.5,3.27,100.0,100.0
2009,ANTIOQUIA,CARDAMOMO,206.0,523.0,2.54,100.0,100.0
2010,ANTIOQUIA,CARDAMOMO,245.0,1152.0,4.7,100.0,100.0
2011,ANTIOQUIA,CARDAMOMO,255.0,1202.0,4.71,100.0,100.0
2012,ANTIOQUIA,CARDAMOMO,457.6,3260.2,7.12,100.0,100.0
2013,ANTIOQUIA,CARDAMOMO,461.8,3225.6,6.98,99.75,98.3
2013,CAUCA,CARDAMOMO,8.0,8.0,1.0,0.25,1.7
2014,ANTIOQUIA,CARDAMOMO,355.5,2049.0,5.76,99.54,97.29
2014,CAUCA,CARDAMOMO,8.0,8.0,1.0,0.39,2.19
2014,QUINDIO,CARDAMOMO,1.9,1.52,0.8,0.07,0.52
2015,ANTIOQUIA,CARDAMOMO,257.5,523.0,2.03,98.31,96.62
2015,CAUCA,CARDAMOMO,9.0,9.0,1.0,1.69,3.38
2016,ANTIOQUIA,CARDAMOMO,90.0,101.0,1.12,90.99,90.0
2016,CAUCA,CARDAMOMO,10.0,10.0,1.0,9.01,10.0
2017,ANTIOQUIA,CARDAMOMO,70.0,76.5,1.09,72.51,70.71
2017,CAUCA,CARDAMOMO,29.0,29.0,1.0,27.49,29.29
2017,QUINDIO,CARDAMOMO,0.0,0.0,0.0,0.0,0.0
2018,ANTIOQUIA,CARDAMOMO,70.0,89.0,1.27,56.33,70.0
2018,CAUCA,CARDAMOMO,29.0,29.0,1.0,18.35,29.0
2018,QUINDIO,CARDAMOMO,1.0,40.0,40.0,25.32,1.0
2019,ANTIOQUIA,CARDAMOMO,96.5,556.85,5.77,98.24,90.61
2019,CAUCA,CARDAMOMO,10.0,10.0,1.0,1.76,9.39
2020,ANTIOQUIA,CARDAMOMO,104.5,596.35,5.71,98.35,91.27
2020,CAUCA,CARDAMOMO,10.0,10.0,1.0,1.65,8.73
2021,ANTIOQUIA,CARDAMOMO,233.0,1346.9,5.78,98.39,91.37
2021,CAUCA,CARDAMOMO,22.0,22.0,1.0,1.6099999999999999,8.63
2022,ANTIOQUIA,CARDAMOMO,101.5,571.4,5.63,97.61,87.88
2022,CAUCA,CARDAMOMO,14.0,14.0,1.0,2.39,12.12
2023,ANTIOQUIA,CARDAMOMO,85.5,462.0,5.4,95.06,78.08
2023,CAUCA,CARDAMOMO,24.0,24.0,1.0,4.9399999999999995,21.92
