Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,ANTIOQUIA,CAUCHO,119.5,166.3,1.3900000000000001,4.46,4.6
2007,CALDAS,CAUCHO,39.5,47.6,1.21,1.28,1.52
2007,CAQUETA,CAUCHO,1086.0,1574.4,1.45,42.25,41.8
2007,CASANARE,CAUCHO,0.0,0.0,0.0,0.0,0.0
2007,CORDOBA,CAUCHO,0.0,0.0,0.0,0.0,0.0
2007,CUNDINAMARCA,CAUCHO,143.0,201.0,1.41,5.39,5.5
2007,GUAVIARE,CAUCHO,57.3,103.0,1.8,2.76,2.21
2007,META,CAUCHO,544.0,861.2,1.58,23.11,20.94
2007,PUTUMAYO,CAUCHO,0.0,0.0,0.0,0.0,0.0
2007,QUINDIO,CAUCHO,5.0,2.0,0.4,0.05,0.19
2007,SANTANDER,CAUCHO,604.0,771.08,1.28,20.69,23.25
2008,ANTIOQUIA,CAUCHO,140.2,197.5,1.41,5.79,4.8
2008,BOLIVAR,CAUCHO,0.0,0.0,0.0,0.0,0.0
2008,CALDAS,CAUCHO,144.5,186.1,1.29,5.46,4.95
2008,CAQUETA,CAUCHO,1090.3,1320.05,1.21,38.7,37.35
2008,CASANARE,CAUCHO,0.0,0.0,0.0,0.0,0.0
2008,CESAR,CAUCHO,0.0,0.0,0.0,0.0,0.0
2008,CORDOBA,CAUCHO,0.0,0.0,0.0,0.0,0.0
2008,CUNDINAMARCA,CAUCHO,62.0,43.74,0.71,1.28,2.12
2008,GUAVIARE,CAUCHO,49.0,55.0,1.12,1.6099999999999999,1.6800000000000002
2008,META,CAUCHO,560.0,878.0,1.5699999999999998,25.74,19.18
2008,PUTUMAYO,CAUCHO,0.0,0.0,0.0,0.0,0.0
2008,QUINDIO,CAUCHO,5.0,2.0,0.4,0.06,0.17
2008,SANTANDER,CAUCHO,868.0,728.8,0.84,21.36,29.74
2008,VICHADA,CAUCHO,0.0,0.0,0.0,0.0,0.0
2009,ANTIOQUIA,CAUCHO,144.7,165.5,1.1400000000000001,3.52,3.58
2009,BOLIVAR,CAUCHO,0.0,0.0,0.0,0.0,0.0
2009,CALDAS,CAUCHO,137.0,198.0,1.45,4.22,3.39
2009,CAQUETA,CAUCHO,1142.2,1410.6,1.23,30.03,28.28
2009,CASANARE,CAUCHO,54.0,76.0,1.41,1.62,1.34
2009,CESAR,CAUCHO,0.0,0.0,0.0,0.0,0.0
2009,CORDOBA,CAUCHO,0.0,0.0,0.0,0.0,0.0
2009,CUNDINAMARCA,CAUCHO,30.0,23.3,0.78,0.5,0.74
2009,GUAVIARE,CAUCHO,87.0,96.0,1.1,2.04,2.15
2009,META,CAUCHO,587.0,914.6,1.56,19.47,14.53
2009,PUTUMAYO,CAUCHO,0.0,0.0,0.0,0.0,0.0
2009,QUINDIO,CAUCHO,5.0,2.0,0.4,0.04,0.12
2009,SANTANDER,CAUCHO,1852.0,1810.6,0.98,38.55,45.85
2009,VICHADA,CAUCHO,0.0,0.0,0.0,0.0,0.0
2010,ANTIOQUIA,CAUCHO,180.0,207.4,1.15,3.36,3.52
2010,BOLIVAR,CAUCHO,0.0,0.0,0.0,0.0,0.0
2010,CALDAS,CAUCHO,459.0,773.2,1.6800000000000002,12.54,8.97
2010,CAQUETA,CAUCHO,1390.8,1686.35,1.21,27.35,27.18
2010,CASANARE,CAUCHO,4.0,5.6,1.4,0.09,0.08
2010,CESAR,CAUCHO,0.0,0.0,0.0,0.0,0.0
2010,CORDOBA,CAUCHO,0.0,0.0,0.0,0.0,0.0
