Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,CALDAS,CAÑA AZUCARERA,2226.0,239545.0,107.61,1.13,1.2
2007,CAUCA,CAÑA AZUCARERA,38202.0,3502594.0,91.69,16.56,20.6
2007,NORTE DE SANTANDER,CAÑA AZUCARERA,608.0,55245.2,90.86,0.26,0.33
2007,RISARALDA,CAÑA AZUCARERA,2399.0,284598.0,118.63,1.35,1.29
2007,VALLE DEL CAUCA,CAÑA AZUCARERA,142039.0,17063466.0,120.13,80.7,76.58
2008,CALDAS,CAÑA AZUCARERA,2022.0,233128.0,115.3,1.21,1.28
2008,CAUCA,CAÑA AZUCARERA,31477.0,3198834.0,101.62,16.59,19.89
2008,NORTE DE SANTANDER,CAÑA AZUCARERA,784.0,73991.91,94.38,0.38,0.5
2008,RISARALDA,CAÑA AZUCARERA,2028.0,239284.0,117.99,1.24,1.28
2008,VALLE DEL CAUCA,CAÑA AZUCARERA,121968.0,15536482.0,127.38,80.58,77.06
2009,CALDAS,CAÑA AZUCARERA,2476.0,279678.0,112.96,1.18,1.28
2009,CAUCA,CAÑA AZUCARERA,38521.0,4234100.0,109.92,17.93,19.95
2009,NORTE DE SANTANDER,CAÑA AZUCARERA,346.0,25468.7,73.61,0.11,0.18
2009,QUINDIO,CAÑA AZUCARERA,223.0,27531.0,123.46,0.12,0.12
2009,RISARALDA,CAÑA AZUCARERA,2485.0,288657.0,116.16,1.22,1.29
2009,VALLE DEL CAUCA,CAÑA AZUCARERA,149039.0,18758680.0,125.86,79.44,77.19
2010,CALDAS,CAÑA AZUCARERA,2138.0,245395.0,114.78,1.21,1.24
2010,CAUCA,CAÑA AZUCARERA,34673.0,3472370.0,100.15,17.13,20.11
2010,META,CAÑA AZUCARERA,0.0,0.0,0.0,0.0,0.0
2010,NORTE DE SANTANDER,CAÑA AZUCARERA,0.0,0.0,0.0,0.0,0.0
2010,QUINDIO,CAÑA AZUCARERA,199.0,25802.0,129.66,0.13,0.12
2010,RISARALDA,CAÑA AZUCARERA,2219.0,280611.0,126.46,1.38,1.29
2010,VALLE DEL CAUCA,CAÑA AZUCARERA,133192.0,16248416.0,121.99,80.15,77.25
2011,CALDAS,CAÑA AZUCARERA,2508.0,277619.0,110.69,1.22,1.35
2011,CAUCA,CAÑA AZUCARERA,40113.0,4011393.0,100.0,17.63,21.59
2011,META,CAÑA AZUCARERA,0.0,0.0,0.0,0.0,0.0
2011,NORTE DE SANTANDER,CAÑA AZUCARERA,239.0,19332.5,80.89,0.08,0.13
2011,QUINDIO,CAÑA AZUCARERA,190.0,24705.0,130.03,0.11,0.1
2011,RISARALDA,CAÑA AZUCARERA,2118.0,242690.0,114.58,1.07,1.1400000000000001
2011,VALLE DEL CAUCA,CAÑA AZUCARERA,140616.0,18172351.0,129.23,79.89,75.69
2012,CALDAS,CAÑA AZUCARERA,2935.0,254349.0,86.66,1.22,1.41
2012,CAUCA,CAÑA AZUCARERA,42154.0,3675156.0,87.18,17.64,20.32
2012,META,CAÑA AZUCARERA,0.0,0.0,0.0,0.0,0.0
2012,NORTE DE SANTANDER,CAÑA AZUCARERA,271.0,13343.41,49.24,0.06,0.13
2012,QUINDIO,CAÑA AZUCARERA,223.0,22634.0,101.5,0.11,0.11
2012,RISARALDA,CAÑA AZUCARERA,2485.0,222348.0,89.48,1.07,1.2
2012,VALLE DEL CAUCA,CAÑA AZUCARERA,159396.0,16649142.0,104.45,79.9,76.83
2013,CALDAS,CAÑA AZUCARERA,2741.0,261093.0,95.25,1.19,1.38
2013,CAUCA,CAÑA AZUCARERA,39365.0,3754168.0,95.37,17.11,19.87
2013,META,CAÑA AZUCARERA,4411.0,352896.0,80.0,1.6099999999999999,2.23
2013,NORTE DE SANTANDER,CAÑA AZUCARERA,213.0,16000.0,75.12,0.07,0.11
2013,QUINDIO,CAÑA AZUCARERA,208.0,19902.0,95.68,0.09,0.1
2013,RISARALDA,CAÑA AZUCARERA,2321.0,258352.0,111.31,1.18,1.17
2013,VALLE DEL CAUCA,CAÑA AZUCARERA,148837.0,17272930.0,116.05,78.74,75.13
2014,CALDAS,CAÑA AZUCARERA,2921.42,327510.88,112.11,1.33,1.44
2014,CAUCA,CAÑA AZUCARERA,36120.13,4039392.5,111.83,16.36,17.86
2014,META,CAÑA AZUCARERA,4720.0,396497.98,84.0,1.6099999999999999,2.33
2014,NORTE DE SANTANDER,CAÑA AZUCARERA,219.0,16747.49,76.47,0.07,0.11
