Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,BOYACA,CAÑA MIEL,4539.0,18067.3,3.98,76.62,74.79
2007,CAQUETA,CAÑA MIEL,407.0,975.0,2.4,4.13,6.71
2007,CASANARE,CAÑA MIEL,875.0,3939.3,4.5,16.71,14.42
2007,CAUCA,CAÑA MIEL,12.0,31.0,2.58,0.13,0.2
2007,CUNDINAMARCA,CAÑA MIEL,3.0,12.0,4.0,0.05,0.05
2007,GUAVIARE,CAÑA MIEL,230.0,547.8,2.38,2.32,3.79
2007,VAUPES,CAÑA MIEL,3.0,7.0,2.33,0.03,0.05
2008,BOYACA,CAÑA MIEL,4101.0,17311.4,4.22,78.28,74.65
2008,CAQUETA,CAÑA MIEL,364.35,947.31,2.6,4.28,6.63
2008,CASANARE,CAÑA MIEL,647.25,2826.0,4.37,12.78,11.78
2008,CAUCA,CAÑA MIEL,11.0,29.0,2.64,0.13,0.2
2008,CUNDINAMARCA,CAÑA MIEL,50.0,150.0,3.0,0.68,0.91
2008,GUAVIARE,CAÑA MIEL,315.0,840.0,2.67,3.8,5.73
2008,VAUPES,CAÑA MIEL,5.0,12.0,2.4,0.05,0.09
2009,BOYACA,CAÑA MIEL,4073.5,17592.63,4.32,75.99,71.74
2009,CAQUETA,CAÑA MIEL,329.0,855.4,2.6,3.69,5.79
2009,CASANARE,CAÑA MIEL,850.25,3681.4,4.33,15.9,14.97
2009,CAUCA,CAÑA MIEL,10.0,30.0,3.0,0.13,0.18
2009,CUNDINAMARCA,CAÑA MIEL,98.5,246.25,2.5,1.06,1.73
2009,GUAVIARE,CAÑA MIEL,315.0,740.0,2.35,3.2,5.55
2009,VAUPES,CAÑA MIEL,2.0,6.0,3.0,0.03,0.04
2010,BOYACA,CAÑA MIEL,2802.52,11000.24,3.93,73.17,69.2
2010,CAQUETA,CAÑA MIEL,387.0,905.0,2.34,6.02,9.56
2010,CASANARE,CAÑA MIEL,466.25,1983.0,4.25,13.19,11.51
2010,CAUCA,CAÑA MIEL,5.0,15.0,3.0,0.1,0.12
2010,CUNDINAMARCA,CAÑA MIEL,94.0,235.0,2.5,1.56,2.32
2010,GUAVIARE,CAÑA MIEL,290.0,870.0,3.0,5.79,7.16
2010,VAUPES,CAÑA MIEL,5.0,25.0,5.0,0.17,0.12
2011,ARAUCA,CAÑA MIEL,528.0,593.6,1.12,3.89,11.56
