Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,ANTIOQUIA,CAÑA PANELERA,37700.0,158235.5,4.2,12.43,18.98
2007,ARAUCA,CAÑA PANELERA,1461.0,4761.0,3.26,0.37,0.74
2007,BOLIVAR,CAÑA PANELERA,819.0,5942.5,7.26,0.47,0.41
2007,BOYACA,CAÑA PANELERA,14760.5,198060.25,13.42,15.56,7.43
2007,CALDAS,CAÑA PANELERA,11058.0,56269.2,5.09,4.42,5.57
2007,CAQUETA,CAÑA PANELERA,1558.0,8339.0,5.35,0.66,0.78
2007,CASANARE,CAÑA PANELERA,371.0,1222.5,3.3,0.1,0.19
2007,CAUCA,CAÑA PANELERA,12279.52,59498.68,4.85,4.67,6.18
2007,CESAR,CAÑA PANELERA,2603.0,12201.0,4.6899999999999995,0.96,1.31
2007,CHOCO,CAÑA PANELERA,1794.0,2710.3,1.51,0.21,0.9
2007,CORDOBA,CAÑA PANELERA,280.0,1055.0,3.77,0.08,0.14
2007,CUNDINAMARCA,CAÑA PANELERA,40853.0,185426.62,4.54,14.57,20.57
2007,HUILA,CAÑA PANELERA,5628.0,56348.0,10.01,4.43,2.83
2007,LA GUAJIRA,CAÑA PANELERA,59.0,352.0,5.97,0.03,0.03
2007,META,CAÑA PANELERA,2250.0,14694.6,6.53,1.15,1.13
2007,NARIÑO,CAÑA PANELERA,10533.0,80805.75,7.67,6.35,5.3
2007,NORTE DE SANTANDER,CAÑA PANELERA,9548.0,42339.5,4.43,3.33,4.8100000000000005
2007,PUTUMAYO,CAÑA PANELERA,1522.0,4283.0,2.81,0.34,0.77
2007,QUINDIO,CAÑA PANELERA,288.0,2619.6,9.1,0.21,0.14
2007,RISARALDA,CAÑA PANELERA,4020.98,27429.58,6.82,2.15,2.02
2007,SANTANDER,CAÑA PANELERA,19320.0,244655.5,12.66,19.22,9.73
2007,SUCRE,CAÑA PANELERA,248.0,1054.0,4.25,0.08,0.12
2007,TOLIMA,CAÑA PANELERA,13768.0,74544.0,5.41,5.86,6.93
2007,VALLE DEL CAUCA,CAÑA PANELERA,5820.5,29532.0,5.07,2.32,2.93
2007,VAUPES,CAÑA PANELERA,2.0,9.0,4.5,0.0,0.0
2007,VICHADA,CAÑA PANELERA,107.0,467.0,4.36,0.04,0.05
2008,AMAZONAS,CAÑA PANELERA,91.0,330.0,3.63,0.03,0.05
2008,ANTIOQUIA,CAÑA PANELERA,37771.3,156448.5,4.14,12.87,19.16
2008,ARAUCA,CAÑA PANELERA,986.0,3418.0,3.4699999999999998,0.28,0.5
2008,BOLIVAR,CAÑA PANELERA,944.0,7309.6,7.74,0.6,0.48
2008,BOYACA,CAÑA PANELERA,14570.0,192831.15,13.23,15.86,7.39
2008,CALDAS,CAÑA PANELERA,10372.0,53943.75,5.2,4.44,5.26
2008,CAQUETA,CAÑA PANELERA,1395.1,8109.16,5.8100000000000005,0.67,0.71
2008,CASANARE,CAÑA PANELERA,267.0,1090.5,4.08,0.09,0.14
2008,CAUCA,CAÑA PANELERA,12601.3,59032.16,4.68,4.86,6.39
2008,CESAR,CAÑA PANELERA,3438.0,14964.0,4.35,1.23,1.74
2008,CHOCO,CAÑA PANELERA,1720.0,3337.9,1.94,0.27,0.87
2008,CORDOBA,CAÑA PANELERA,275.0,1015.0,3.69,0.08,0.14
2008,CUNDINAMARCA,CAÑA PANELERA,41041.3,178712.31,4.35,14.7,20.82
2008,HUILA,CAÑA PANELERA,4810.5,48072.53,9.99,3.95,2.44
2008,LA GUAJIRA,CAÑA PANELERA,33.0,198.0,6.0,0.02,0.02
2008,META,CAÑA PANELERA,2219.0,14901.1,6.72,1.23,1.13
2008,NARIÑO,CAÑA PANELERA,10188.0,68710.92,6.74,5.65,5.17
2008,NORTE DE SANTANDER,CAÑA PANELERA,9466.5,42139.7,4.45,3.4699999999999998,4.8
2008,PUTUMAYO,CAÑA PANELERA,2202.0,5613.0,2.55,0.46,1.12
2008,QUINDIO,CAÑA PANELERA,272.8,2316.4,8.49,0.19,0.14
2008,RISARALDA,CAÑA PANELERA,4055.2,26854.88,6.62,2.21,2.06
2008,SANTANDER,CAÑA PANELERA,17881.0,218827.05,12.24,18.0,9.07
2008,SUCRE,CAÑA PANELERA,297.0,1127.0,3.79,0.09,0.15
2008,TOLIMA,CAÑA PANELERA,13802.0,71838.0,5.2,5.91,7.0
2008,VALLE DEL CAUCA,CAÑA PANELERA,6251.0,33918.0,5.43,2.79,3.17
2008,VAUPES,CAÑA PANELERA,1.0,4.0,4.0,0.0,0.0
2008,VICHADA,CAÑA PANELERA,142.0,460.23,3.24,0.04,0.07
2009,AMAZONAS,CAÑA PANELERA,0.0,0.0,0.0,0.0,0.0
2009,ANTIOQUIA,CAÑA PANELERA,38396.3,161785.5,4.21,13.5,19.71
2009,ARAUCA,CAÑA PANELERA,465.0,531.0,1.1400000000000001,0.04,0.24
2009,BOLIVAR,CAÑA PANELERA,743.0,5724.6,7.7,0.48,0.38
2009,BOYACA,CAÑA PANELERA,14697.0,177757.75,12.09,14.84,7.55
2009,CALDAS,CAÑA PANELERA,9642.7,45472.0,4.72,3.8,4.95
2009,CAQUETA,CAÑA PANELERA,2031.0,10967.69,5.4,0.92,1.04
2009,CASANARE,CAÑA PANELERA,215.0,1023.2,4.76,0.09,0.11
2009,CAUCA,CAÑA PANELERA,12847.02,59188.0,4.61,4.9399999999999995,6.6
2009,CESAR,CAÑA PANELERA,3841.0,15970.5,4.16,1.33,1.97
2009,CHOCO,CAÑA PANELERA,1892.0,3403.85,1.8,0.28,0.97
2009,CORDOBA,CAÑA PANELERA,296.0,1003.0,3.39,0.08,0.15
2009,CUNDINAMARCA,CAÑA PANELERA,42304.97,185150.23,4.38,15.45,21.72
2009,HUILA,CAÑA PANELERA,5939.5,48668.68,8.19,4.06,3.05
2009,LA GUAJIRA,CAÑA PANELERA,49.0,310.0,6.33,0.03,0.03
2009,META,CAÑA PANELERA,2212.0,14662.0,6.63,1.22,1.1400000000000001
2009,NARIÑO,CAÑA PANELERA,12049.75,93381.45,7.75,7.79,6.19
2009,NORTE DE SANTANDER,CAÑA PANELERA,9598.0,45631.7,4.75,3.81,4.93
2009,PUTUMAYO,CAÑA PANELERA,2043.0,5454.6,2.67,0.46,1.05
2009,QUINDIO,CAÑA PANELERA,310.3,2666.4,8.59,0.22,0.16
2009,RISARALDA,CAÑA PANELERA,3978.4,26258.9,6.6,2.19,2.04
2009,SANTANDER,CAÑA PANELERA,15269.0,202650.0,13.27,16.91,7.84
2009,SUCRE,CAÑA PANELERA,290.0,1158.0,3.99,0.1,0.15
2009,TOLIMA,CAÑA PANELERA,8876.0,52165.9,5.88,4.35,4.5600000000000005
2009,VALLE DEL CAUCA,CAÑA PANELERA,6719.0,36848.98,5.48,3.08,3.45
2009,VICHADA,CAÑA PANELERA,81.0,349.0,4.31,0.03,0.04
2010,AMAZONAS,CAÑA PANELERA,16.0,25.0,1.56,0.0,0.01
2010,ANTIOQUIA,CAÑA PANELERA,39182.1,162647.0,4.15,13.27,19.72
2010,ARAUCA,CAÑA PANELERA,419.0,481.2,1.15,0.04,0.21
2010,BOLIVAR,CAÑA PANELERA,1002.0,8160.4,8.14,0.67,0.5
2010,BOYACA,CAÑA PANELERA,12810.0,160677.0,12.54,13.11,6.45
2010,CALDAS,CAÑA PANELERA,9670.3,43213.0,4.47,3.5300000000000002,4.87
2010,CAQUETA,CAÑA PANELERA,2748.0,13694.8,4.98,1.12,1.38
2010,CASANARE,CAÑA PANELERA,271.0,1241.8,4.58,0.1,0.14
2010,CAUCA,CAÑA PANELERA,13376.45,58190.3,4.35,4.75,6.73
2010,CESAR,CAÑA PANELERA,3766.7,16516.8,4.38,1.35,1.9
2010,CHOCO,CAÑA PANELERA,1081.0,2108.2,1.95,0.17,0.54
2010,CORDOBA,CAÑA PANELERA,321.0,1440.0,4.49,0.12,0.16
2010,CUNDINAMARCA,CAÑA PANELERA,44853.5,216090.55,4.82,17.63,22.58
2010,HUILA,CAÑA PANELERA,5924.5,48633.35,8.21,3.9699999999999998,2.98
2010,LA GUAJIRA,CAÑA PANELERA,49.0,310.0,6.33,0.03,0.02
2010,META,CAÑA PANELERA,1818.0,12412.0,6.83,1.01,0.92
2010,NARIÑO,CAÑA PANELERA,11340.86,78767.72,6.95,6.43,5.71
2010,NORTE DE SANTANDER,CAÑA PANELERA,9339.5,44665.0,4.78,3.64,4.7
2010,PUTUMAYO,CAÑA PANELERA,1926.0,5568.6,2.89,0.45,0.97
2010,QUINDIO,CAÑA PANELERA,320.9,2444.35,7.62,0.2,0.16
2010,RISARALDA,CAÑA PANELERA,3994.5,26477.2,6.63,2.16,2.01
2010,SANTANDER,CAÑA PANELERA,17132.0,227617.21,13.29,18.57,8.62
2010,SUCRE,CAÑA PANELERA,254.0,1479.0,5.82,0.12,0.13
2010,TOLIMA,CAÑA PANELERA,10423.0,55249.4,5.3,4.51,5.25
2010,VALLE DEL CAUCA,CAÑA PANELERA,6567.9,37487.18,5.71,3.06,3.31
2010,VICHADA,CAÑA PANELERA,62.0,277.0,4.47,0.02,0.03
2011,AMAZONAS,CAÑA PANELERA,11.0,16.0,1.45,0.0,0.01
2011,ANTIOQUIA,CAÑA PANELERA,36242.2,148949.27,4.11,12.24,18.45
2011,ARAUCA,CAÑA PANELERA,3.0,10.5,3.5,0.0,0.0
2011,BOLIVAR,CAÑA PANELERA,885.5,8273.0,9.34,0.68,0.45
2011,BOYACA,CAÑA PANELERA,12387.0,159529.9,12.88,13.11,6.31
2011,CALDAS,CAÑA PANELERA,10633.0,49179.75,4.63,4.04,5.41
2011,CAQUETA,CAÑA PANELERA,2890.0,17140.98,5.93,1.41,1.47
2011,CASANARE,CAÑA PANELERA,185.0,940.0,5.08,0.08,0.09
2011,CAUCA,CAÑA PANELERA,14115.1,58955.91,4.18,4.85,7.19
2011,CESAR,CAÑA PANELERA,3389.0,14844.0,4.38,1.22,1.73
2011,CHOCO,CAÑA PANELERA,2131.4,3612.78,1.7,0.3,1.09
2011,CORDOBA,CAÑA PANELERA,350.0,1230.0,3.51,0.1,0.18
2011,CUNDINAMARCA,CAÑA PANELERA,40343.35,186815.44,4.63,15.35,20.54
2011,HUILA,CAÑA PANELERA,6347.27,52131.0,8.21,4.28,3.23
2011,LA GUAJIRA,CAÑA PANELERA,51.0,322.0,6.31,0.03,0.03
2011,META,CAÑA PANELERA,2767.0,10702.0,3.87,0.88,1.41
2011,NARIÑO,CAÑA PANELERA,13693.0,100854.5,7.37,8.29,6.97
2011,NORTE DE SANTANDER,CAÑA PANELERA,9449.5,45571.2,4.82,3.75,4.8100000000000005
2011,PUTUMAYO,CAÑA PANELERA,2134.0,6241.0,2.92,0.51,1.09
2011,QUINDIO,CAÑA PANELERA,288.68,2219.38,7.6899999999999995,0.18,0.15
2011,RISARALDA,CAÑA PANELERA,3800.3,26114.78,6.87,2.15,1.9300000000000002
2011,SANTANDER,CAÑA PANELERA,17522.12,232111.0,13.25,19.08,8.92
2011,SUCRE,CAÑA PANELERA,264.0,1123.5,4.26,0.09,0.13
2011,TOLIMA,CAÑA PANELERA,10179.0,54243.62,5.33,4.46,5.18
2011,VALLE DEL CAUCA,CAÑA PANELERA,6299.0,35208.0,5.59,2.89,3.21
2011,VICHADA,CAÑA PANELERA,79.0,349.0,4.42,0.03,0.04
2012,AMAZONAS,CAÑA PANELERA,7.0,8.0,1.1400000000000001,0.0,0.0
2012,ANTIOQUIA,CAÑA PANELERA,37739.7,156191.3,4.14,12.48,18.7
2012,ARAUCA,CAÑA PANELERA,4.0,10.0,2.5,0.0,0.0
2012,BOLIVAR,CAÑA PANELERA,1047.0,9751.0,9.31,0.78,0.52
2012,BOYACA,CAÑA PANELERA,15367.0,177073.0,11.52,14.15,7.61
2012,CALDAS,CAÑA PANELERA,11219.9,51368.11,4.58,4.11,5.5600000000000005
2012,CAQUETA,CAÑA PANELERA,3589.0,17603.5,4.9,1.41,1.78
2012,CASANARE,CAÑA PANELERA,175.0,895.5,5.12,0.07,0.09
2012,CAUCA,CAÑA PANELERA,13273.1,57330.53,4.32,4.58,6.58
2012,CESAR,CAÑA PANELERA,3327.0,15825.0,4.76,1.26,1.65
2012,CHOCO,CAÑA PANELERA,1739.0,3156.5,1.8199999999999998,0.25,0.86
2012,CORDOBA,CAÑA PANELERA,350.0,1160.0,3.31,0.09,0.17
2012,CUNDINAMARCA,CAÑA PANELERA,40684.85,193083.47,4.75,15.43,20.16
2012,HUILA,CAÑA PANELERA,5237.25,42471.97,8.11,3.39,2.59
2012,LA GUAJIRA,CAÑA PANELERA,63.0,504.0,8.0,0.04,0.03
2012,META,CAÑA PANELERA,1235.0,8393.0,6.8,0.67,0.61
2012,NARIÑO,CAÑA PANELERA,15567.5,103263.8,6.63,8.25,7.71
2012,NORTE DE SANTANDER,CAÑA PANELERA,9031.9,41339.2,4.58,3.3,4.47
2012,PUTUMAYO,CAÑA PANELERA,2238.0,7617.8,3.4,0.61,1.11
2012,QUINDIO,CAÑA PANELERA,288.86,2220.78,7.6899999999999995,0.18,0.14
2012,RISARALDA,CAÑA PANELERA,3802.74,25779.18,6.78,2.06,1.88
2012,SANTANDER,CAÑA PANELERA,17968.0,238012.7,13.25,19.02,8.9
