Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2006,BOYACA,CEBADA,0.0,0.0,0.0,0.0,0.0
2006,CUNDINAMARCA,CEBADA,0.0,0.0,0.0,0.0,0.0
2006,NARIÑO,CEBADA,0.0,0.0,0.0,0.0,0.0
2006,SANTANDER,CEBADA,0.0,0.0,0.0,0.0,0.0
2007,BOYACA,CEBADA,1117.5,1629.95,1.46,41.7,48.49
2007,CUNDINAMARCA,CEBADA,530.0,1060.0,2.0,27.12,23.0
2007,NARIÑO,CEBADA,557.0,1062.9,1.9100000000000001,27.2,24.17
2007,SANTANDER,CEBADA,100.0,155.5,1.55,3.98,4.34
2008,BOYACA,CEBADA,1765.5,2802.55,1.5899999999999999,70.06,69.14
2008,CUNDINAMARCA,CEBADA,420.0,674.0,1.6,16.85,16.45
2008,NARIÑO,CEBADA,289.0,388.5,1.34,9.71,11.32
2008,SANTANDER,CEBADA,79.0,135.0,1.71,3.37,3.09
2009,BOYACA,CEBADA,1722.5,2775.31,1.6099999999999999,54.6,55.45
2009,CUNDINAMARCA,CEBADA,595.0,960.0,1.6099999999999999,18.89,19.15
2009,NARIÑO,CEBADA,715.0,1210.04,1.69,23.8,23.02
2009,SANTANDER,CEBADA,74.0,138.0,1.8599999999999999,2.71,2.38
2010,BOYACA,CEBADA,1444.2,2207.76,1.53,57.63,58.56
2010,CUNDINAMARCA,CEBADA,550.0,891.0,1.62,23.26,22.3
2010,NARIÑO,CEBADA,417.0,645.5,1.55,16.85,16.91
2010,SANTANDER,CEBADA,55.0,86.5,1.5699999999999998,2.26,2.23
2011,BOYACA,CEBADA,1545.65,2296.56,1.49,71.93,71.99
2011,CUNDINAMARCA,CEBADA,164.0,279.0,1.7,8.74,7.64
2011,NARIÑO,CEBADA,346.5,492.75,1.42,15.43,16.14
2011,SANTANDER,CEBADA,91.0,124.5,1.37,3.9,4.24
2012,BOYACA,CEBADA,942.06,1338.53,1.42,76.22,79.03
2012,CUNDINAMARCA,CEBADA,113.0,210.0,1.8599999999999999,11.96,9.48
2012,NARIÑO,CEBADA,96.0,151.0,1.5699999999999998,8.6,8.05
2012,SANTANDER,CEBADA,41.0,56.5,1.38,3.22,3.44
2013,BOYACA,CEBADA,1401.1,2087.1,1.49,68.59,71.4
2013,CUNDINAMARCA,CEBADA,129.0,277.8,2.15,9.13,6.57
2013,NARIÑO,CEBADA,415.1,651.48,1.5699999999999998,21.41,21.15
2013,SANTANDER,CEBADA,17.0,26.4,1.55,0.87,0.87
2014,BOYACA,CEBADA,888.4,1383.83,1.56,58.87,57.33
2014,CUNDINAMARCA,CEBADA,173.0,402.75,2.33,17.13,11.16
2014,NARIÑO,CEBADA,455.4,518.9,1.1400000000000001,22.08,29.39
2014,SANTANDER,CEBADA,32.7,45.14,1.38,1.92,2.11
2015,BOYACA,CEBADA,626.7,947.88,1.51,58.47,63.43
2015,CUNDINAMARCA,CEBADA,116.0,345.0,2.9699999999999998,21.28,11.74
2015,NARIÑO,CEBADA,199.0,261.25,1.31,16.12,20.14
2015,SANTANDER,CEBADA,46.3,66.89,1.44,4.13,4.6899999999999995
2016,BOYACA,CEBADA,830.5,1736.3,2.09,68.03,69.58
2016,CUNDINAMARCA,CEBADA,151.0,459.0,3.04,17.98,12.65
2016,NARIÑO,CEBADA,193.8,329.5,1.7,12.91,16.24
2016,SANTANDER,CEBADA,18.3,27.43,1.5,1.07,1.53
2017,BOYACA,CEBADA,782.1,1688.75,2.16,72.49,73.37
2017,CUNDINAMARCA,CEBADA,93.0,326.0,3.51,13.99,8.73
2017,NARIÑO,CEBADA,184.3,307.3,1.67,13.19,17.29
2017,SANTANDER,CEBADA,6.5,7.45,1.15,0.32,0.61
2018,BOYACA,CEBADA,699.0,1126.43,1.6099999999999999,60.03,71.11
2018,CUNDINAMARCA,CEBADA,64.0,288.69,4.51,15.38,6.51
2018,NARIÑO,CEBADA,216.0,457.07,2.12,24.36,21.97
2018,SANTANDER,CEBADA,4.0,4.4,1.1,0.23,0.41
2019,BOYACA,CEBADA,1162.0,1727.2,1.49,51.73,65.8
2019,CUNDINAMARCA,CEBADA,438.0,1216.2,2.7800000000000002,36.43,24.8
2019,NARIÑO,CEBADA,166.0,395.5,2.38,11.85,9.4
2020,BOYACA,CEBADA,976.5,1486.28,1.52,58.89,76.68
2020,CUNDINAMARCA,CEBADA,159.0,484.5,3.05,19.2,12.49
2020,NARIÑO,CEBADA,138.0,552.9,4.01,21.91,10.84
2021,BOYACA,CEBADA,2125.8,5336.74,2.51,72.09,74.63
2021,CUNDINAMARCA,CEBADA,272.0,738.0,2.71,9.97,9.55
2021,NARIÑO,CEBADA,450.8,1328.12,2.95,17.94,15.83
2022,BOYACA,CEBADA,1119.38,2679.66,2.39,72.34,74.91
2022,CUNDINAMARCA,CEBADA,139.0,411.0,2.96,11.1,9.3
2022,NARIÑO,CEBADA,236.0,613.47,2.6,16.56,15.79
2023,BOYACA,CEBADA,743.96,1895.37,2.55,59.88,65.41
2023,CUNDINAMARCA,CEBADA,223.0,800.0,3.59,25.28,19.61
2023,NARIÑO,CEBADA,170.5,469.75,2.76,14.84,14.99
