Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2006,ANTIOQUIA,CEBOLLA DE BULBO,0.0,0.0,0.0,0.0,0.0
2006,BOYACA,CEBOLLA DE BULBO,0.0,0.0,0.0,0.0,0.0
2006,CESAR,CEBOLLA DE BULBO,0.0,0.0,0.0,0.0,0.0
2006,CUNDINAMARCA,CEBOLLA DE BULBO,0.0,0.0,0.0,0.0,0.0
2006,HUILA,CEBOLLA DE BULBO,0.0,0.0,0.0,0.0,0.0
2006,NARIÑO,CEBOLLA DE BULBO,0.0,0.0,0.0,0.0,0.0
2006,NORTE DE SANTANDER,CEBOLLA DE BULBO,0.0,0.0,0.0,0.0,0.0
2006,SANTANDER,CEBOLLA DE BULBO,0.0,0.0,0.0,0.0,0.0
2006,VALLE DEL CAUCA,CEBOLLA DE BULBO,0.0,0.0,0.0,0.0,0.0
2007,ANTIOQUIA,CEBOLLA DE BULBO,24.0,336.0,14.0,0.1,0.16
2007,BOYACA,CEBOLLA DE BULBO,6148.8,149830.0,24.37,46.78,40.55
2007,CESAR,CEBOLLA DE BULBO,884.0,14625.0,16.54,4.57,5.83
2007,CUNDINAMARCA,CEBOLLA DE BULBO,3098.8,60657.2,19.57,18.94,20.43
2007,HUILA,CEBOLLA DE BULBO,47.0,737.0,15.68,0.23,0.31
2007,NARIÑO,CEBOLLA DE BULBO,247.0,3029.0,12.26,0.95,1.63
2007,NORTE DE SANTANDER,CEBOLLA DE BULBO,4359.9,86587.0,19.86,27.03,28.75
2007,SANTANDER,CEBOLLA DE BULBO,176.5,2458.0,13.93,0.77,1.16
2007,VALLE DEL CAUCA,CEBOLLA DE BULBO,179.0,2023.8,11.31,0.63,1.18
2008,ANTIOQUIA,CEBOLLA DE BULBO,24.0,336.0,14.0,0.14,0.21
2008,BOYACA,CEBOLLA DE BULBO,4098.0,98688.75,24.08,40.28,36.11
2008,CESAR,CEBOLLA DE BULBO,644.0,14120.0,21.93,5.76,5.68
2008,CUNDINAMARCA,CEBOLLA DE BULBO,1887.2,41849.5,22.18,17.08,16.63
2008,HUILA,CEBOLLA DE BULBO,20.0,308.5,15.43,0.13,0.18
2008,NARIÑO,CEBOLLA DE BULBO,263.0,2882.0,10.96,1.18,2.32
2008,NORTE DE SANTANDER,CEBOLLA DE BULBO,4026.0,80531.5,20.0,32.87,35.48
2008,SANTANDER,CEBOLLA DE BULBO,281.0,5006.0,17.81,2.04,2.48
2008,VALLE DEL CAUCA,CEBOLLA DE BULBO,104.0,1264.1,12.15,0.52,0.92
2009,ANTIOQUIA,CEBOLLA DE BULBO,24.3,336.6,13.85,0.13,0.2
2009,BOYACA,CEBOLLA DE BULBO,4939.5,116881.02,23.66,44.73,40.7
2009,CESAR,CEBOLLA DE BULBO,401.0,8583.0,21.4,3.2800000000000002,3.3
2009,CUNDINAMARCA,CEBOLLA DE BULBO,2289.8,48434.13,21.15,18.54,18.87
2009,HUILA,CEBOLLA DE BULBO,35.5,538.8,15.18,0.21,0.29
2009,NARIÑO,CEBOLLA DE BULBO,277.0,3448.0,12.45,1.32,2.2800000000000002
2009,NORTE DE SANTANDER,CEBOLLA DE BULBO,3867.0,78050.5,20.18,29.87,31.86
2009,SANTANDER,CEBOLLA DE BULBO,189.0,3471.0,18.37,1.33,1.56
2009,VALLE DEL CAUCA,CEBOLLA DE BULBO,112.5,1536.16,13.65,0.59,0.93
2010,ANTIOQUIA,CEBOLLA DE BULBO,20.5,271.4,13.24,0.09,0.15
2010,BOYACA,CEBOLLA DE BULBO,5919.1,144831.8,24.47,48.76,43.85
2010,CALDAS,CEBOLLA DE BULBO,31.0,1448.4,46.72,0.49,0.23
2010,CAUCA,CEBOLLA DE BULBO,4.0,160.0,40.0,0.05,0.03
2010,CESAR,CEBOLLA DE BULBO,330.0,4115.0,12.47,1.3900000000000001,2.44
2010,CUNDINAMARCA,CEBOLLA DE BULBO,2620.1,61931.0,23.64,20.85,19.41
2010,HUILA,CEBOLLA DE BULBO,139.5,1968.5,14.11,0.66,1.03
2010,NARIÑO,CEBOLLA DE BULBO,243.0,2754.0,11.33,0.93,1.8
2010,NORTE DE SANTANDER,CEBOLLA DE BULBO,3964.0,76080.0,19.19,25.61,29.37
2010,QUINDIO,CEBOLLA DE BULBO,1.2,6.0,5.0,0.0,0.01
2010,SANTANDER,CEBOLLA DE BULBO,91.0,1621.0,17.81,0.55,0.67
2010,TOLIMA,CEBOLLA DE BULBO,15.0,225.0,15.0,0.08,0.11
2010,VALLE DEL CAUCA,CEBOLLA DE BULBO,119.3,1638.6,13.74,0.55,0.88
2011,ANTIOQUIA,CEBOLLA DE BULBO,19.5,261.0,13.38,0.12,0.17
2011,BOYACA,CEBOLLA DE BULBO,4457.12,103860.22,23.3,46.33,39.88
2011,CALDAS,CEBOLLA DE BULBO,1.24,9.0,7.26,0.0,0.01
2011,CAUCA,CEBOLLA DE BULBO,31.0,114.0,3.68,0.05,0.28
2011,CESAR,CEBOLLA DE BULBO,125.0,2155.0,17.24,0.96,1.12
2011,CUNDINAMARCA,CEBOLLA DE BULBO,2272.3,48983.3,21.56,21.85,20.33
2011,HUILA,CEBOLLA DE BULBO,124.5,1625.5,13.06,0.73,1.11
2011,NARIÑO,CEBOLLA DE BULBO,360.0,3886.0,10.79,1.73,3.22
2011,NORTE DE SANTANDER,CEBOLLA DE BULBO,3530.0,59063.5,16.73,26.35,31.59
2011,QUINDIO,CEBOLLA DE BULBO,1.0,5.0,5.0,0.0,0.01
2011,SANTANDER,CEBOLLA DE BULBO,142.7,2658.1,18.63,1.19,1.28
2011,TOLIMA,CEBOLLA DE BULBO,30.0,450.0,15.0,0.2,0.27
2011,VALLE DEL CAUCA,CEBOLLA DE BULBO,80.6,1110.36,13.78,0.5,0.72
2012,ANTIOQUIA,CEBOLLA DE BULBO,20.0,280.0,14.0,0.12,0.18
2012,BOYACA,CEBOLLA DE BULBO,3892.41,90067.28,23.14,39.63,34.51
2012,CALDAS,CEBOLLA DE BULBO,1.3900000000000001,6.1,4.39,0.0,0.01
2012,CAQUETA,CEBOLLA DE BULBO,8.0,20.0,2.5,0.01,0.07
2012,CAUCA,CEBOLLA DE BULBO,36.0,120.0,3.33,0.05,0.32
2012,CESAR,CEBOLLA DE BULBO,176.0,2989.0,16.98,1.32,1.56
2012,CUNDINAMARCA,CEBOLLA DE BULBO,3263.5,71038.0,21.77,31.26,28.93
2012,HUILA,CEBOLLA DE BULBO,116.0,1310.0,11.29,0.58,1.03
2012,META,CEBOLLA DE BULBO,1.0,10.0,10.0,0.0,0.01
2012,NARIÑO,CEBOLLA DE BULBO,392.0,4314.2,11.01,1.9,3.48
2012,NORTE DE SANTANDER,CEBOLLA DE BULBO,3042.5,51080.5,16.79,22.48,26.97
2012,SANTANDER,CEBOLLA DE BULBO,120.0,2143.0,17.86,0.94,1.06
2012,TOLIMA,CEBOLLA DE BULBO,115.0,2225.0,19.35,0.98,1.02
2012,VALLE DEL CAUCA,CEBOLLA DE BULBO,95.7,1659.0,17.34,0.73,0.85
2013,ANTIOQUIA,CEBOLLA DE BULBO,20.0,280.0,14.0,0.11,0.17
2013,BOYACA,CEBOLLA DE BULBO,4705.4,113887.16,24.2,45.84,39.83
2013,CALDAS,CEBOLLA DE BULBO,1.0,4.0,4.0,0.0,0.01
2013,CAQUETA,CEBOLLA DE BULBO,4.0,10.0,2.5,0.0,0.03
2013,CAUCA,CEBOLLA DE BULBO,4.8,22.8,4.75,0.01,0.04
2013,CESAR,CEBOLLA DE BULBO,185.0,2931.5,15.85,1.18,1.5699999999999998
2013,CUNDINAMARCA,CEBOLLA DE BULBO,2694.0,54099.0,20.08,21.78,22.81
2013,HUILA,CEBOLLA DE BULBO,76.0,778.0,10.24,0.31,0.64
2013,META,CEBOLLA DE BULBO,2.0,20.0,10.0,0.01,0.02
2013,NARIÑO,CEBOLLA DE BULBO,372.25,3810.0,10.24,1.53,3.15
2013,NORTE DE SANTANDER,CEBOLLA DE BULBO,3107.0,61942.2,19.94,24.93,26.3
2013,QUINDIO,CEBOLLA DE BULBO,0.2,1.0,5.0,0.0,0.0
2013,SANTANDER,CEBOLLA DE BULBO,418.0,6123.0,14.65,2.46,3.54
2013,TOLIMA,CEBOLLA DE BULBO,104.0,2120.0,20.38,0.85,0.88
2013,VALLE DEL CAUCA,CEBOLLA DE BULBO,119.5,2413.75,20.2,0.97,1.01
2014,ANTIOQUIA,CEBOLLA DE BULBO,21.0,294.0,14.0,0.11,0.18
2014,BOYACA,CEBOLLA DE BULBO,5030.19,148754.44,29.57,55.7,43.24
2014,CALDAS,CEBOLLA DE BULBO,1.5,9.0,6.0,0.0,0.01
2014,CAUCA,CEBOLLA DE BULBO,7.0,35.0,5.0,0.01,0.06
2014,CESAR,CEBOLLA DE BULBO,150.0,2534.0,16.89,0.95,1.29
2014,CUNDINAMARCA,CEBOLLA DE BULBO,2479.5,50050.0,20.19,18.74,21.31
2014,HUILA,CEBOLLA DE BULBO,118.0,1285.0,10.89,0.48,1.01
2014,META,CEBOLLA DE BULBO,2.0,24.0,12.0,0.01,0.02
2014,NARIÑO,CEBOLLA DE BULBO,350.0,3993.0,11.41,1.5,3.01
2014,NORTE DE SANTANDER,CEBOLLA DE BULBO,3015.0,52927.0,17.55,19.82,25.92
2014,QUINDIO,CEBOLLA DE BULBO,1.7,38.5,22.65,0.01,0.01
2014,SANTANDER,CEBOLLA DE BULBO,347.3,4755.8,13.69,1.78,2.99
2014,TOLIMA,CEBOLLA DE BULBO,4.0,120.0,30.0,0.04,0.03
2014,VALLE DEL CAUCA,CEBOLLA DE BULBO,106.0,2224.75,20.99,0.83,0.91
2015,ANTIOQUIA,CEBOLLA DE BULBO,16.5,231.0,14.0,0.09,0.15
2015,BOYACA,CEBOLLA DE BULBO,4769.5,140257.82,29.41,56.67,43.63
2015,CALDAS,CEBOLLA DE BULBO,2.5,23.0,9.2,0.01,0.02
2015,CAUCA,CEBOLLA DE BULBO,2.0,10.0,5.0,0.0,0.02
2015,CESAR,CEBOLLA DE BULBO,127.0,2265.0,17.83,0.92,1.16
2015,CUNDINAMARCA,CEBOLLA DE BULBO,2202.5,44913.7,20.39,18.15,20.15
2015,HUILA,CEBOLLA DE BULBO,127.0,1255.0,9.88,0.51,1.16
2015,META,CEBOLLA DE BULBO,2.5,30.0,12.0,0.01,0.02
2015,NARIÑO,CEBOLLA DE BULBO,379.0,4113.0,10.85,1.6600000000000001,3.4699999999999998
2015,NORTE DE SANTANDER,CEBOLLA DE BULBO,2809.5,49093.0,17.47,19.83,25.7
2015,QUINDIO,CEBOLLA DE BULBO,5.5,93.0,16.91,0.04,0.05
2015,SANTANDER,CEBOLLA DE BULBO,391.0,3499.4,8.95,1.41,3.58
2015,VALLE DEL CAUCA,CEBOLLA DE BULBO,96.1,1731.6,18.02,0.7,0.88
2016,ANTIOQUIA,CEBOLLA DE BULBO,14.9,208.6,14.0,0.08,0.12
2016,BOYACA,CEBOLLA DE BULBO,5397.05,151667.81,28.1,56.28,44.96
2016,CALDAS,CEBOLLA DE BULBO,1.5,24.0,16.0,0.01,0.01
2016,CAUCA,CEBOLLA DE BULBO,6.0,70.0,11.67,0.03,0.05
2016,CESAR,CEBOLLA DE BULBO,90.0,1400.2,15.56,0.52,0.75
2016,CUNDINAMARCA,CEBOLLA DE BULBO,2158.5,43702.0,20.25,16.22,17.98
2016,HUILA,CEBOLLA DE BULBO,119.0,1099.0,9.24,0.41,0.99
2016,NARIÑO,CEBOLLA DE BULBO,726.0,9426.0,12.98,3.5,6.05
2016,NORTE DE SANTANDER,CEBOLLA DE BULBO,2839.5,54561.3,19.22,20.25,23.65
2016,QUINDIO,CEBOLLA DE BULBO,4.0,48.0,12.0,0.02,0.03
2016,SANTANDER,CEBOLLA DE BULBO,561.4,5872.75,10.46,2.18,4.68
2016,VALLE DEL CAUCA,CEBOLLA DE BULBO,86.23,1389.55,16.11,0.52,0.72
2017,ANTIOQUIA,CEBOLLA DE BULBO,20.0,280.0,14.0,0.1,0.16
2017,BOYACA,CEBOLLA DE BULBO,5749.6,162024.05,28.18,57.39,46.19
