Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2006,ATLANTICO,CEBOLLA DE RAMA,0.0,0.0,0.0,0.0,0.0
2006,BOYACA,CEBOLLA DE RAMA,0.0,0.0,0.0,0.0,0.0
2006,CALDAS,CEBOLLA DE RAMA,0.0,0.0,0.0,0.0,0.0
2006,CAUCA,CEBOLLA DE RAMA,0.0,0.0,0.0,0.0,0.0
2006,CHOCO,CEBOLLA DE RAMA,0.0,0.0,0.0,0.0,0.0
2006,CUNDINAMARCA,CEBOLLA DE RAMA,0.0,0.0,0.0,0.0,0.0
2006,SANTANDER,CEBOLLA DE RAMA,0.0,0.0,0.0,0.0,0.0
2006,TOLIMA,CEBOLLA DE RAMA,0.0,0.0,0.0,0.0,0.0
2007,AMAZONAS,CEBOLLA DE RAMA,0.0,0.0,0.0,0.0,0.0
2007,ANTIOQUIA,CEBOLLA DE RAMA,416.0,8441.4,20.29,4.74,6.12
2007,ATLANTICO,CEBOLLA DE RAMA,50.0,279.5,5.59,0.16,0.74
2007,BOYACA,CEBOLLA DE RAMA,2424.5,94127.5,38.82,52.86,35.7
2007,CALDAS,CEBOLLA DE RAMA,135.0,3453.0,25.58,1.94,1.99
2007,CAUCA,CEBOLLA DE RAMA,283.8,2534.9,8.93,1.42,4.18
2007,CHOCO,CEBOLLA DE RAMA,21.0,420.0,20.0,0.24,0.31
2007,CUNDINAMARCA,CEBOLLA DE RAMA,25.6,516.0,20.16,0.29,0.38
2007,HUILA,CEBOLLA DE RAMA,465.5,5948.8,12.78,3.34,6.85
2007,NARIÑO,CEBOLLA DE RAMA,740.0,7919.0,10.7,4.45,10.89
2007,NORTE DE SANTANDER,CEBOLLA DE RAMA,97.0,1237.0,12.75,0.69,1.43
2007,QUINDIO,CEBOLLA DE RAMA,1.3,19.5,15.0,0.01,0.02
2007,RISARALDA,CEBOLLA DE RAMA,815.5,27887.5,34.2,15.66,12.01
2007,SANTANDER,CEBOLLA DE RAMA,793.0,18329.6,23.11,10.29,11.68
2007,TOLIMA,CEBOLLA DE RAMA,141.0,947.0,6.72,0.53,2.08
2007,VALLE DEL CAUCA,CEBOLLA DE RAMA,383.0,6021.0,15.72,3.38,5.64
2008,AMAZONAS,CEBOLLA DE RAMA,92.0,94.0,1.02,0.06,1.4
2008,ANTIOQUIA,CEBOLLA DE RAMA,402.5,7939.7,19.73,4.75,6.11
2008,ATLANTICO,CEBOLLA DE RAMA,43.0,277.0,6.44,0.17,0.65
2008,BOYACA,CEBOLLA DE RAMA,2469.0,95128.0,38.53,56.89,37.5
2008,CALDAS,CEBOLLA DE RAMA,90.0,2377.0,26.41,1.42,1.37
2008,CAUCA,CEBOLLA DE RAMA,182.0,1871.6,10.28,1.12,2.76
2008,CESAR,CEBOLLA DE RAMA,10.0,80.0,8.0,0.05,0.15
2008,CHOCO,CEBOLLA DE RAMA,27.0,540.0,20.0,0.32,0.41
2008,CUNDINAMARCA,CEBOLLA DE RAMA,16.0,240.0,15.0,0.14,0.24
2008,HUILA,CEBOLLA DE RAMA,327.0,3751.5,11.47,2.24,4.97
2008,NARIÑO,CEBOLLA DE RAMA,761.16,8443.08,11.09,5.05,11.56
2008,NORTE DE SANTANDER,CEBOLLA DE RAMA,77.0,1154.0,14.99,0.69,1.17
2008,QUINDIO,CEBOLLA DE RAMA,2.3,31.5,13.7,0.02,0.03
2008,RISARALDA,CEBOLLA DE RAMA,469.5,12937.5,27.56,7.74,7.13
2008,SANTANDER,CEBOLLA DE RAMA,1028.4,25175.9,24.48,15.06,15.62
2008,TOLIMA,CEBOLLA DE RAMA,197.0,1100.0,5.58,0.66,2.99
2008,VALLE DEL CAUCA,CEBOLLA DE RAMA,388.22,6071.5,15.64,3.63,5.9
2008,VAUPES,CEBOLLA DE RAMA,2.0,1.0,0.5,0.0,0.03
2009,AMAZONAS,CEBOLLA DE RAMA,32.0,33.0,1.03,0.02,0.5
2009,ANTIOQUIA,CEBOLLA DE RAMA,424.6,8506.6,20.03,5.08,6.61
2009,ATLANTICO,CEBOLLA DE RAMA,39.5,274.6,6.95,0.16,0.62
2009,BOYACA,CEBOLLA DE RAMA,2489.0,97658.0,39.24,58.32,38.76
2009,CALDAS,CEBOLLA DE RAMA,80.0,2080.0,26.0,1.24,1.25
2009,CAUCA,CEBOLLA DE RAMA,185.0,1848.07,9.99,1.1,2.88
2009,CESAR,CEBOLLA DE RAMA,8.0,64.0,8.0,0.04,0.12
2009,CHOCO,CEBOLLA DE RAMA,34.0,560.0,16.47,0.33,0.53
2009,CUNDINAMARCA,CEBOLLA DE RAMA,24.81,345.78,13.94,0.21,0.39
2009,HUILA,CEBOLLA DE RAMA,299.0,2883.5,9.64,1.72,4.66
2009,NARIÑO,CEBOLLA DE RAMA,721.0,8486.0,11.77,5.07,11.23
2009,NORTE DE SANTANDER,CEBOLLA DE RAMA,104.0,1286.0,12.37,0.77,1.62
2009,QUINDIO,CEBOLLA DE RAMA,1.3,15.6,12.0,0.01,0.02
2009,RISARALDA,CEBOLLA DE RAMA,226.0,5875.0,26.0,3.51,3.52
2009,SANTANDER,CEBOLLA DE RAMA,1220.95,30679.31,25.13,18.32,19.01
2009,TOLIMA,CEBOLLA DE RAMA,141.0,927.0,6.57,0.55,2.2
2009,VALLE DEL CAUCA,CEBOLLA DE RAMA,388.5,5926.55,15.25,3.54,6.05
2009,VAUPES,CEBOLLA DE RAMA,3.0,1.0,0.33,0.0,0.05
2010,AMAZONAS,CEBOLLA DE RAMA,5.0,4.0,0.8,0.0,0.08
2010,ANTIOQUIA,CEBOLLA DE RAMA,421.5,7867.5,18.67,4.85,6.76
2010,ATLANTICO,CEBOLLA DE RAMA,32.15,218.88,6.8100000000000005,0.13,0.52
2010,BOYACA,CEBOLLA DE RAMA,2507.0,98020.0,39.1,60.39,40.2
2010,CALDAS,CEBOLLA DE RAMA,43.0,1064.0,24.74,0.66,0.69
2010,CAQUETA,CEBOLLA DE RAMA,14.0,35.0,2.5,0.02,0.22
2010,CAUCA,CEBOLLA DE RAMA,239.5,2551.95,10.66,1.5699999999999998,3.84
2010,CESAR,CEBOLLA DE RAMA,10.0,40.0,4.0,0.02,0.16
2010,CHOCO,CEBOLLA DE RAMA,70.0,1050.0,15.0,0.65,1.12
2010,CUNDINAMARCA,CEBOLLA DE RAMA,44.3,663.3,14.97,0.41,0.71
2010,HUILA,CEBOLLA DE RAMA,313.6,2361.31,7.53,1.45,5.03
2010,NARIÑO,CEBOLLA DE RAMA,741.0,8254.0,11.14,5.09,11.88
2010,NORTE DE SANTANDER,CEBOLLA DE RAMA,111.5,1361.0,12.21,0.84,1.79
2010,PUTUMAYO,CEBOLLA DE RAMA,1.0,3.0,3.0,0.0,0.02
2010,QUINDIO,CEBOLLA DE RAMA,1.4,15.3,10.93,0.01,0.02
2010,RISARALDA,CEBOLLA DE RAMA,118.5,3037.5,25.63,1.87,1.9
2010,SANTANDER,CEBOLLA DE RAMA,1152.7,29600.44,25.68,18.24,18.48
2010,TOLIMA,CEBOLLA DE RAMA,37.0,333.0,9.0,0.21,0.59
2010,VALLE DEL CAUCA,CEBOLLA DE RAMA,373.0,5837.2,15.65,3.6,5.98
2011,AMAZONAS,CEBOLLA DE RAMA,6.0,4.8,0.8,0.0,0.1
2011,ANTIOQUIA,CEBOLLA DE RAMA,367.77,5884.94,16.0,3.8,6.04
2011,ATLANTICO,CEBOLLA DE RAMA,21.5,211.9,9.86,0.14,0.35
2011,BOYACA,CEBOLLA DE RAMA,2347.14,92012.78,39.2,59.47,38.54
2011,CALDAS,CEBOLLA DE RAMA,32.0,894.0,27.94,0.58,0.53
2011,CAQUETA,CEBOLLA DE RAMA,11.0,27.5,2.5,0.02,0.18
2011,CAUCA,CEBOLLA DE RAMA,134.23,1084.44,8.08,0.7,2.2
2011,CESAR,CEBOLLA DE RAMA,16.0,88.0,5.5,0.06,0.26
2011,CHOCO,CEBOLLA DE RAMA,66.0,990.0,15.0,0.64,1.08
2011,CUNDINAMARCA,CEBOLLA DE RAMA,39.5,324.5,8.22,0.21,0.65
2011,HUILA,CEBOLLA DE RAMA,317.0,2402.0,7.58,1.55,5.21
2011,NARIÑO,CEBOLLA DE RAMA,765.0,8475.0,11.08,5.48,12.56
2011,NORTE DE SANTANDER,CEBOLLA DE RAMA,103.5,1277.35,12.34,0.83,1.7
2011,PUTUMAYO,CEBOLLA DE RAMA,1.0,3.0,3.0,0.0,0.02
2011,QUINDIO,CEBOLLA DE RAMA,1.3,14.3,11.0,0.01,0.02
2011,RISARALDA,CEBOLLA DE RAMA,209.38,5405.2,25.82,3.49,3.44
2011,SANTANDER,CEBOLLA DE RAMA,1123.9,29176.18,25.96,18.86,18.46
2011,TOLIMA,CEBOLLA DE RAMA,140.5,508.0,3.62,0.33,2.31
2011,VALLE DEL CAUCA,CEBOLLA DE RAMA,386.7,5927.0,15.33,3.83,6.35
2012,ANTIOQUIA,CEBOLLA DE RAMA,538.8,10639.2,19.75,6.26,7.86
2012,ATLANTICO,CEBOLLA DE RAMA,35.0,388.0,11.09,0.23,0.51
2012,BOYACA,CEBOLLA DE RAMA,2581.37,98131.48,38.02,57.71,37.65
2012,CALDAS,CEBOLLA DE RAMA,50.0,1536.6,30.73,0.9,0.73
2012,CAQUETA,CEBOLLA DE RAMA,5.0,6.0,1.2,0.0,0.07
2012,CAUCA,CEBOLLA DE RAMA,128.07,990.36,7.73,0.58,1.87
2012,CESAR,CEBOLLA DE RAMA,50.0,960.0,19.2,0.56,0.73
2012,CHOCO,CEBOLLA DE RAMA,101.0,1501.0,14.86,0.88,1.47
2012,CUNDINAMARCA,CEBOLLA DE RAMA,20.0,210.0,10.5,0.12,0.29
2012,HUILA,CEBOLLA DE RAMA,385.0,2749.0,7.14,1.62,5.62
2012,META,CEBOLLA DE RAMA,2.0,50.0,25.0,0.03,0.03
2012,NARIÑO,CEBOLLA DE RAMA,838.0,9216.0,11.0,5.42,12.22
2012,NORTE DE SANTANDER,CEBOLLA DE RAMA,124.1,1541.45,12.42,0.91,1.81
2012,QUINDIO,CEBOLLA DE RAMA,1.0,11.0,11.0,0.01,0.01
2012,RISARALDA,CEBOLLA DE RAMA,213.59,4889.52,22.89,2.88,3.12
2012,SANTANDER,CEBOLLA DE RAMA,1117.3,28882.5,25.85,16.99,16.3
2012,TOLIMA,CEBOLLA DE RAMA,199.0,1031.0,5.18,0.61,2.9
2012,VALLE DEL CAUCA,CEBOLLA DE RAMA,466.2,7295.13,15.65,4.29,6.8
2013,ANTIOQUIA,CEBOLLA DE RAMA,451.9,7900.0,17.48,4.07,6.32
2013,ATLANTICO,CEBOLLA DE RAMA,28.5,314.0,11.02,0.16,0.4
2013,BOYACA,CEBOLLA DE RAMA,2934.0,112464.0,38.33,57.91,41.06
2013,CALDAS,CEBOLLA DE RAMA,109.38,3338.46,30.52,1.72,1.53
2013,CAQUETA,CEBOLLA DE RAMA,4.0,10.0,2.5,0.01,0.06
2013,CAUCA,CEBOLLA DE RAMA,204.6,1861.95,9.1,0.96,2.86
2013,CESAR,CEBOLLA DE RAMA,61.0,1464.0,24.0,0.75,0.85
2013,CHOCO,CEBOLLA DE RAMA,29.0,842.0,29.03,0.43,0.41
2013,CUNDINAMARCA,CEBOLLA DE RAMA,72.3,856.5,11.85,0.44,1.01
2013,HUILA,CEBOLLA DE RAMA,363.0,2818.5,7.76,1.45,5.08
2013,META,CEBOLLA DE RAMA,1.0,15.0,15.0,0.01,0.01
2013,NARIÑO,CEBOLLA DE RAMA,532.0,6020.0,11.32,3.1,7.45
2013,NORTE DE SANTANDER,CEBOLLA DE RAMA,199.0,3073.5,15.44,1.58,2.7800000000000002
2013,PUTUMAYO,CEBOLLA DE RAMA,4.0,44.0,11.0,0.02,0.06
2013,RISARALDA,CEBOLLA DE RAMA,264.06,6750.05,25.56,3.48,3.7
2013,SANTANDER,CEBOLLA DE RAMA,1264.06,36579.23,28.94,18.83,17.69
2013,TOLIMA,CEBOLLA DE RAMA,74.0,637.9,8.62,0.33,1.04
2013,VALLE DEL CAUCA,CEBOLLA DE RAMA,549.7,9222.2,16.78,4.75,7.6899999999999995
2014,ANTIOQUIA,CEBOLLA DE RAMA,410.0,8577.5,20.92,4.26,5.97
2014,ATLANTICO,CEBOLLA DE RAMA,52.0,552.4,10.62,0.27,0.76
2014,BOYACA,CEBOLLA DE RAMA,2802.0,119900.0,42.79,59.6,40.83
2014,CALDAS,CEBOLLA DE RAMA,124.1,3791.72,30.55,1.88,1.81
2014,CAQUETA,CEBOLLA DE RAMA,7.0,13.0,1.8599999999999999,0.01,0.1
2014,CAUCA,CEBOLLA DE RAMA,175.2,1396.75,7.97,0.69,2.55
2014,CESAR,CEBOLLA DE RAMA,41.0,864.0,21.07,0.43,0.6
2014,CHOCO,CEBOLLA DE RAMA,84.0,2408.0,28.67,1.2,1.22
2014,CUNDINAMARCA,CEBOLLA DE RAMA,62.9,769.4,12.23,0.38,0.92
2014,HUILA,CEBOLLA DE RAMA,367.5,2840.5,7.73,1.41,5.35
2014,META,CEBOLLA DE RAMA,2.0,40.0,20.0,0.02,0.03
2014,NARIÑO,CEBOLLA DE RAMA,522.0,5875.0,11.25,2.92,7.61
2014,NORTE DE SANTANDER,CEBOLLA DE RAMA,111.0,1330.3,11.98,0.66,1.62
2014,PUTUMAYO,CEBOLLA DE RAMA,7.0,75.5,10.79,0.04,0.1
2014,QUINDIO,CEBOLLA DE RAMA,2.0,17.0,8.5,0.01,0.03
2014,RISARALDA,CEBOLLA DE RAMA,418.8,15444.87,36.88,7.68,6.1
2014,SANTANDER,CEBOLLA DE RAMA,1060.5,27457.83,25.89,13.65,15.45
2014,TOLIMA,CEBOLLA DE RAMA,82.5,975.25,11.82,0.48,1.2
2014,VALLE DEL CAUCA,CEBOLLA DE RAMA,531.4,8844.1,16.64,4.4,7.74
2015,ANTIOQUIA,CEBOLLA DE RAMA,423.7,9154.6,21.61,4.0,5.44
2015,ATLANTICO,CEBOLLA DE RAMA,49.0,538.0,10.98,0.24,0.63
2015,BOYACA,CEBOLLA DE RAMA,2809.4,122476.0,43.6,53.55,36.07
2015,CALDAS,CEBOLLA DE RAMA,125.6,3215.0,25.6,1.41,1.6099999999999999
2015,CAQUETA,CEBOLLA DE RAMA,3.0,3.0,1.0,0.0,0.04
2015,CAUCA,CEBOLLA DE RAMA,161.05,1512.33,9.39,0.66,2.07
2015,CESAR,CEBOLLA DE RAMA,204.0,3180.0,15.59,1.3900000000000001,2.62
2015,CHOCO,CEBOLLA DE RAMA,66.0,1782.0,27.0,0.78,0.85
2015,CUNDINAMARCA,CEBOLLA DE RAMA,44.9,474.4,10.57,0.21,0.58
2015,HUILA,CEBOLLA DE RAMA,324.0,2333.5,7.2,1.02,4.16
2015,META,CEBOLLA DE RAMA,2.0,40.0,20.0,0.02,0.03
2015,NARIÑO,CEBOLLA DE RAMA,441.0,4978.0,11.29,2.18,5.66
2015,NORTE DE SANTANDER,CEBOLLA DE RAMA,98.0,1412.4,14.41,0.62,1.26
2015,QUINDIO,CEBOLLA DE RAMA,4.0,27.0,6.75,0.01,0.05
2015,RISARALDA,CEBOLLA DE RAMA,229.78,9739.7,42.39,4.26,2.95
2015,SANTANDER,CEBOLLA DE RAMA,2184.0,58248.58,26.67,25.47,28.04
2015,TOLIMA,CEBOLLA DE RAMA,112.0,992.0,8.86,0.43,1.44
2015,VALLE DEL CAUCA,CEBOLLA DE RAMA,506.8,8599.25,16.97,3.76,6.51
2016,ANTIOQUIA,CEBOLLA DE RAMA,407.9,12084.2,29.63,5.45,5.24
2016,ATLANTICO,CEBOLLA DE RAMA,48.0,686.0,14.29,0.31,0.62
2016,BOYACA,CEBOLLA DE RAMA,2251.0,112024.36,49.77,50.53,28.9
2016,CALDAS,CEBOLLA DE RAMA,142.3,3484.6,24.49,1.5699999999999998,1.83
2016,CASANARE,CEBOLLA DE RAMA,2.0,8.0,4.0,0.0,0.03
2016,CAUCA,CEBOLLA DE RAMA,196.4,1749.25,8.91,0.79,2.52
2016,CESAR,CEBOLLA DE RAMA,359.0,5381.0,14.99,2.43,4.61
2016,CHOCO,CEBOLLA DE RAMA,52.0,1404.0,27.0,0.63,0.67
2016,CUNDINAMARCA,CEBOLLA DE RAMA,65.9,563.5,8.55,0.25,0.85
2016,HUILA,CEBOLLA DE RAMA,542.5,4029.9,7.43,1.8199999999999998,6.96
2016,META,CEBOLLA DE RAMA,1.0,15.0,15.0,0.01,0.01
2016,NARIÑO,CEBOLLA DE RAMA,461.0,3812.0,8.27,1.72,5.92
2016,NORTE DE SANTANDER,CEBOLLA DE RAMA,277.0,4069.4,14.69,1.8399999999999999,3.56
2016,QUINDIO,CEBOLLA DE RAMA,13.0,506.4,38.95,0.23,0.17
2016,RISARALDA,CEBOLLA DE RAMA,143.05,5945.19,41.56,2.68,1.8399999999999999
2016,SANTANDER,CEBOLLA DE RAMA,2212.5,58467.4,26.43,26.37,28.4
2016,TOLIMA,CEBOLLA DE RAMA,100.0,691.6,6.92,0.31,1.28
2016,VALLE DEL CAUCA,CEBOLLA DE RAMA,515.38,6759.8,13.12,3.05,6.62
2016,VAUPES,CEBOLLA DE RAMA,0.03,0.3,10.0,0.0,0.0
2017,ANTIOQUIA,CEBOLLA DE RAMA,388.6,11715.3,30.15,4.99,4.82
2017,ATLANTICO,CEBOLLA DE RAMA,40.0,531.0,13.28,0.23,0.5
2017,BOYACA,CEBOLLA DE RAMA,2284.1,118543.2,51.9,50.45,28.32
2017,CALDAS,CEBOLLA DE RAMA,139.7,4151.4,29.72,1.77,1.73
2017,CAQUETA,CEBOLLA DE RAMA,0.0,0.0,0.0,0.0,0.0
2017,CASANARE,CEBOLLA DE RAMA,4.0,16.0,4.0,0.01,0.05
2017,CAUCA,CEBOLLA DE RAMA,144.5,860.31,5.95,0.37,1.79
2017,CESAR,CEBOLLA DE RAMA,458.0,6510.0,14.21,2.77,5.68
2017,CHOCO,CEBOLLA DE RAMA,52.0,780.0,15.0,0.33,0.64
2017,CUNDINAMARCA,CEBOLLA DE RAMA,78.4,626.2,7.99,0.27,0.97
2017,HUILA,CEBOLLA DE RAMA,179.9,1302.5,7.24,0.55,2.23
2017,META,CEBOLLA DE RAMA,2.0,4.0,2.0,0.0,0.02
