Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,ANTIOQUIA,CHIRIMOYA,33.0,99.0,3.0,18.05,23.49
2007,BOYACA,CHIRIMOYA,76.5,396.5,5.18,72.29,54.45
2007,CUNDINAMARCA,CHIRIMOYA,8.0,19.0,2.38,3.46,5.6899999999999995
2007,SANTANDER,CHIRIMOYA,23.0,34.0,1.48,6.2,16.37
2008,ANTIOQUIA,CHIRIMOYA,33.0,99.0,3.0,12.3,19.08
2008,BOYACA,CHIRIMOYA,108.0,630.0,5.83,78.26,62.43
2008,NARIÑO,CHIRIMOYA,8.0,40.0,5.0,4.97,4.62
2008,SANTANDER,CHIRIMOYA,24.0,36.0,1.5,4.47,13.87
2009,ANTIOQUIA,CHIRIMOYA,20.0,60.0,3.0,6.4,11.11
2009,BOYACA,CHIRIMOYA,114.5,704.85,6.16,75.2,63.61
2009,NARIÑO,CHIRIMOYA,9.5,38.0,4.0,4.05,5.28
2009,SANTANDER,CHIRIMOYA,30.0,120.0,4.0,12.8,16.67
2009,TOLIMA,CHIRIMOYA,6.0,14.4,2.4,1.54,3.33
2010,ANTIOQUIA,CHIRIMOYA,20.0,60.0,3.0,5.3,8.83
2010,BOYACA,CHIRIMOYA,161.0,904.0,5.61,79.86,71.08
2010,NARIÑO,CHIRIMOYA,15.5,48.0,3.1,4.24,6.84
2010,SANTANDER,CHIRIMOYA,30.0,120.0,4.0,10.6,13.25
2011,ANTIOQUIA,CHIRIMOYA,18.0,50.0,2.7800000000000002,4.09,8.99
2011,BOYACA,CHIRIMOYA,139.7,1006.41,7.2,82.36,69.78
2011,NARIÑO,CHIRIMOYA,4.5,13.5,3.0,1.1,2.25
2011,SANTANDER,CHIRIMOYA,38.0,152.0,4.0,12.44,18.98
2012,BOYACA,CHIRIMOYA,82.0,479.5,5.85,66.55,57.34
2012,NARIÑO,CHIRIMOYA,31.0,151.0,4.87,20.96,21.68
2012,SANTANDER,CHIRIMOYA,30.0,90.0,3.0,12.49,20.98
2013,BOYACA,CHIRIMOYA,103.4,408.62,3.95,62.73,63.09
2013,NARIÑO,CHIRIMOYA,30.5,152.75,5.01,23.45,18.61
2013,SANTANDER,CHIRIMOYA,30.0,90.0,3.0,13.82,18.3
2014,BOYACA,CHIRIMOYA,132.5,597.5,4.51,71.86,69.55
2014,NARIÑO,CHIRIMOYA,32.0,156.0,4.88,18.76,16.8
2014,SANTANDER,CHIRIMOYA,26.0,78.0,3.0,9.38,13.65
2015,BOYACA,CHIRIMOYA,123.5,477.5,3.87,66.02,69.19
2015,CUNDINAMARCA,CHIRIMOYA,17.5,122.5,7.0,16.94,9.8
2015,NARIÑO,CHIRIMOYA,7.5,33.25,4.43,4.6,4.2
2015,SANTANDER,CHIRIMOYA,30.0,90.0,3.0,12.44,16.81
2016,BOYACA,CHIRIMOYA,116.5,254.0,2.18,34.09,60.84
2016,CAUCA,CHIRIMOYA,2.0,6.0,3.0,0.81,1.04
2016,CUNDINAMARCA,CHIRIMOYA,42.5,422.5,9.94,56.71,22.19
2016,NARIÑO,CHIRIMOYA,0.5,2.5,5.0,0.34,0.26
2016,SANTANDER,CHIRIMOYA,30.0,60.0,2.0,8.05,15.67
2017,BOYACA,CHIRIMOYA,104.0,414.0,3.98,47.09,56.64
2017,CAUCA,CHIRIMOYA,6.0,18.0,3.0,2.05,3.27
2017,CUNDINAMARCA,CHIRIMOYA,36.5,359.25,9.84,40.86,19.88
2017,NARIÑO,CHIRIMOYA,5.5,17.5,3.18,1.99,3.0
2017,RISARALDA,CHIRIMOYA,1.6,10.4,6.5,1.18,0.87
2017,SANTANDER,CHIRIMOYA,30.0,60.0,2.0,6.82,16.34
2018,BOYACA,CHIRIMOYA,110.0,400.0,3.64,29.68,52.73
2018,CAUCA,CHIRIMOYA,8.0,24.0,3.0,1.78,3.84
2018,CUNDINAMARCA,CHIRIMOYA,53.5,836.0,15.63,62.02,25.65
2018,NARIÑO,CHIRIMOYA,5.5,17.5,3.18,1.3,2.64
2018,RISARALDA,CHIRIMOYA,1.6,10.4,6.5,0.77,0.77
2018,SANTANDER,CHIRIMOYA,30.0,60.0,2.0,4.45,14.38
2019,BOYACA,CHIRIMOYA,119.0,1301.0,10.93,79.79,64.39
2019,CAUCA,CHIRIMOYA,7.0,21.0,3.0,1.29,3.79
2019,CUNDINAMARCA,CHIRIMOYA,22.5,225.0,10.0,13.8,12.18
2019,NARIÑO,CHIRIMOYA,4.7,13.5,2.87,0.83,2.54
2019,RISARALDA,CHIRIMOYA,1.6,10.0,6.25,0.61,0.87
2019,SANTANDER,CHIRIMOYA,30.0,60.0,2.0,3.68,16.23
2020,BOYACA,CHIRIMOYA,121.0,1740.5,14.38,82.69,58.54
2020,CAUCA,CHIRIMOYA,18.0,54.0,3.0,2.57,8.71
2020,CUNDINAMARCA,CHIRIMOYA,18.1,181.0,10.0,8.6,8.76
2020,NARIÑO,CHIRIMOYA,18.0,44.0,2.44,2.09,8.71
2020,RISARALDA,CHIRIMOYA,1.6,10.4,6.5,0.49,0.77
2020,SANTANDER,CHIRIMOYA,30.0,75.0,2.5,3.56,14.51
