Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,ANTIOQUIA,CHONTADURO,8.0,160.0,20.0,0.21,0.08
2007,CALDAS,CHONTADURO,49.0,813.0,16.59,1.09,0.52
2007,CAQUETA,CHONTADURO,100.46,418.51,4.17,0.56,1.06
2007,CAUCA,CHONTADURO,1758.0,7011.0,3.99,9.41,18.49
2007,CHOCO,CHONTADURO,1332.0,9363.1,7.03,12.57,14.01
2007,NARIÑO,CHONTADURO,498.0,728.4,1.46,0.98,5.24
2007,PUTUMAYO,CHONTADURO,1532.0,5034.9,3.29,6.76,16.11
2007,RISARALDA,CHONTADURO,388.0,1164.0,3.0,1.56,4.08
2007,VALLE DEL CAUCA,CHONTADURO,3494.5,48735.0,13.95,65.42,36.76
2007,VAUPES,CHONTADURO,347.0,1070.0,3.08,1.44,3.65
2008,AMAZONAS,CHONTADURO,18.0,337.0,18.72,0.43,0.18
2008,ANTIOQUIA,CHONTADURO,8.0,160.0,20.0,0.2,0.08
2008,CALDAS,CHONTADURO,51.0,806.0,15.8,1.03,0.52
2008,CAQUETA,CHONTADURO,75.7,295.05,3.9,0.38,0.77
2008,CAUCA,CHONTADURO,2035.0,8652.0,4.25,11.06,20.8
2008,CHOCO,CHONTADURO,1449.0,10985.3,7.58,14.05,14.81
2008,NARIÑO,CHONTADURO,587.0,884.6,1.51,1.13,6.0
2008,PUTUMAYO,CHONTADURO,1291.0,5055.0,3.92,6.46,13.2
2008,RISARALDA,CHONTADURO,428.0,1284.0,3.0,1.6400000000000001,4.37
2008,VALLE DEL CAUCA,CHONTADURO,3486.0,48689.0,13.97,62.25,35.63
2008,VAUPES,CHONTADURO,355.0,1062.0,2.99,1.3599999999999999,3.63
2009,AMAZONAS,CHONTADURO,11.0,60.5,5.5,0.08,0.12
2009,ANTIOQUIA,CHONTADURO,10.0,90.0,9.0,0.12,0.11
2009,CALDAS,CHONTADURO,51.0,806.0,15.8,1.06,0.54
2009,CAQUETA,CHONTADURO,80.8,345.7,4.28,0.45,0.85
2009,CAUCA,CHONTADURO,2024.0,8837.0,4.37,11.6,21.35
2009,CHOCO,CHONTADURO,1410.2,10222.74,7.25,13.42,14.87
2009,NARIÑO,CHONTADURO,568.0,842.4,1.48,1.11,5.99
2009,PUTUMAYO,CHONTADURO,1070.0,3934.8,3.68,5.17,11.28
2009,RISARALDA,CHONTADURO,428.0,1284.0,3.0,1.69,4.51
2009,VALLE DEL CAUCA,CHONTADURO,3486.0,48689.0,13.97,63.92,36.76
2009,VAUPES,CHONTADURO,343.0,1056.0,3.08,1.3900000000000001,3.62
2010,AMAZONAS,CHONTADURO,12.0,66.0,5.5,0.09,0.13
