Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2006,ANTIOQUIA,CILANTRO,0.0,0.0,0.0,0.0,0.0
2006,ATLANTICO,CILANTRO,0.0,0.0,0.0,0.0,0.0
2006,BOYACA,CILANTRO,0.0,0.0,0.0,0.0,0.0
2006,CAUCA,CILANTRO,0.0,0.0,0.0,0.0,0.0
2006,CUNDINAMARCA,CILANTRO,0.0,0.0,0.0,0.0,0.0
2006,MAGDALENA,CILANTRO,0.0,0.0,0.0,0.0,0.0
2006,NARIÑO,CILANTRO,0.0,0.0,0.0,0.0,0.0
2006,NORTE DE SANTANDER,CILANTRO,0.0,0.0,0.0,0.0,0.0
2006,SANTANDER,CILANTRO,0.0,0.0,0.0,0.0,0.0
2006,TOLIMA,CILANTRO,0.0,0.0,0.0,0.0,0.0
2006,VALLE DEL CAUCA,CILANTRO,0.0,0.0,0.0,0.0,0.0
2007,AMAZONAS,CILANTRO,0.0,0.0,0.0,0.0,0.0
2007,ANTIOQUIA,CILANTRO,56.0,336.0,6.0,3.13,3.7
2007,ATLANTICO,CILANTRO,32.5,248.5,7.65,2.32,2.15
2007,BOYACA,CILANTRO,18.0,99.0,5.5,0.92,1.19
2007,CAUCA,CILANTRO,18.0,65.0,3.61,0.61,1.19
2007,CESAR,CILANTRO,0.0,0.0,0.0,0.0,0.0
2007,CUNDINAMARCA,CILANTRO,428.0,3344.0,7.8100000000000005,31.17,28.28
2007,MAGDALENA,CILANTRO,193.0,772.0,4.0,7.2,12.75
2007,NARIÑO,CILANTRO,62.0,40.6,0.65,0.38,4.1
2007,NORTE DE SANTANDER,CILANTRO,147.5,1487.5,10.08,13.87,9.75
2007,SANTANDER,CILANTRO,14.0,56.0,4.0,0.52,0.93
2007,TOLIMA,CILANTRO,224.8,1545.0,6.87,14.4,14.85
2007,VALLE DEL CAUCA,CILANTRO,319.55,2733.47,8.55,25.48,21.12
2007,VICHADA,CILANTRO,0.0,0.0,0.0,0.0,0.0
2008,AMAZONAS,CILANTRO,70.0,72.0,1.03,0.53,3.44
2008,ANTIOQUIA,CILANTRO,87.3,552.7,6.33,4.1,4.29
