Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2006,NORTE DE SANTANDER,CIMARRON,0.0,0.0,0.0,0.0,0.0
2006,VALLE DEL CAUCA,CIMARRON,0.0,0.0,0.0,0.0,0.0
2007,NORTE DE SANTANDER,CIMARRON,20.0,200.0,10.0,14.83,11.56
2007,VALLE DEL CAUCA,CIMARRON,153.0,1148.6,7.51,85.17,88.44
2008,NORTE DE SANTANDER,CIMARRON,20.0,200.0,10.0,14.72,11.63
2008,VALLE DEL CAUCA,CIMARRON,151.9,1158.24,7.63,85.28,88.37
2009,NORTE DE SANTANDER,CIMARRON,20.0,200.0,10.0,15.19,11.42
2009,VALLE DEL CAUCA,CIMARRON,155.2,1116.54,7.19,84.81,88.58
2010,NORTE DE SANTANDER,CIMARRON,20.0,200.0,10.0,14.34,11.31
2010,VALLE DEL CAUCA,CIMARRON,156.9,1194.94,7.62,85.66,88.69
2011,CAUCA,CIMARRON,7.0,56.0,8.0,3.7,3.68
2011,NORTE DE SANTANDER,CIMARRON,20.0,200.0,10.0,13.21,10.53
2011,VALLE DEL CAUCA,CIMARRON,163.0,1257.5,7.71,83.09,85.79
2012,CAUCA,CIMARRON,17.5,148.0,8.46,14.04,13.41
2012,NORTE DE SANTANDER,CIMARRON,20.0,200.0,10.0,18.98,15.33
2012,VALLE DEL CAUCA,CIMARRON,93.0,706.0,7.59,66.98,71.26
2013,AMAZONAS,CIMARRON,9.0,5.4,0.6,0.28,4.36
2013,CAUCA,CIMARRON,14.5,124.0,8.55,6.48,7.02
2013,NORTE DE SANTANDER,CIMARRON,20.0,200.0,10.0,10.45,9.69
2013,VALLE DEL CAUCA,CIMARRON,163.0,1585.1,9.72,82.79,78.93
2014,AMAZONAS,CIMARRON,5.0,3.0,0.6,0.12,1.8
2014,CAUCA,CIMARRON,9.5,76.0,8.0,3.07,3.42
2014,NORTE DE SANTANDER,CIMARRON,20.0,200.0,10.0,8.09,7.19
2014,VALLE DEL CAUCA,CIMARRON,243.5,2194.5,9.01,88.72,87.59
2015,CAUCA,CIMARRON,12.2,105.6,8.66,9.59,13.45
2015,VALLE DEL CAUCA,CIMARRON,78.5,995.25,12.68,90.41,86.55
2016,CAUCA,CIMARRON,9.8,48.97,5.0,2.96,5.86
2016,VALLE DEL CAUCA,CIMARRON,157.5,1603.25,10.18,97.03,94.13
2016,VAUPES,CIMARRON,0.02,0.1,5.0,0.01,0.01
2017,CAUCA,CIMARRON,6.6,12.3,1.8599999999999999,2.06,7.99
2017,VALLE DEL CAUCA,CIMARRON,76.0,584.0,7.68,97.94,92.01
2019,CAUCA,CIMARRON,18.0,9.0,0.5,1.43,12.79
2019,NARIÑO,CIMARRON,54.2,103.1,1.9,16.37,38.52
2019,VALLE DEL CAUCA,CIMARRON,68.5,517.75,7.5600000000000005,82.2,48.69
2020,AMAZONAS,CIMARRON,12.5,7.5,0.6,2.9,10.92
2020,CAUCA,CIMARRON,18.0,9.0,0.5,3.4699999999999998,15.72
2020,HUILA,CIMARRON,1.0,1.0,1.0,0.39,0.87
2020,NARIÑO,CIMARRON,48.0,82.5,1.72,31.85,41.92
2020,VALLE DEL CAUCA,CIMARRON,35.0,159.0,4.54,61.39,30.57
2021,AMAZONAS,CIMARRON,36.0,21.6,0.6,2.07,11.92
2021,CAUCA,CIMARRON,52.0,32.0,0.62,3.07,17.22
2021,HUILA,CIMARRON,2.0,1.0,0.5,0.1,0.66
2021,NARIÑO,CIMARRON,118.0,386.1,3.27,37.03,39.07
2021,VALLE DEL CAUCA,CIMARRON,94.0,602.0,6.4,57.73,31.13
2022,AMAZONAS,CIMARRON,20.0,12.0,0.6,2.61,14.47
2022,CAUCA,CIMARRON,22.0,11.0,0.5,2.4,15.91
2022,NARIÑO,CIMARRON,46.25,142.88,3.09,31.12,33.45
2022,VALLE DEL CAUCA,CIMARRON,50.0,293.2,5.86,63.87,36.17
2023,AMAZONAS,CIMARRON,20.0,14.8,0.74,2.81,11.08
2023,CAUCA,CIMARRON,43.0,21.5,0.5,4.09,23.82
2023,NARIÑO,CIMARRON,64.5,191.0,2.96,36.33,35.73
2023,VALLE DEL CAUCA,CIMARRON,53.0,298.5,5.63,56.77,29.36
