Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,ATLANTICO,CIRUELA,557.0,3700.5,6.64,23.06,32.22
2007,BOLIVAR,CIRUELA,40.0,100.0,2.5,0.62,2.31
2007,BOYACA,CIRUELA,993.0,10175.6,10.25,63.42,57.45
2007,NORTE DE SANTANDER,CIRUELA,6.0,52.0,8.67,0.32,0.35
2007,TOLIMA,CIRUELA,123.5,1936.25,15.68,12.07,7.14
2007,VALLE DEL CAUCA,CIRUELA,9.0,81.0,9.0,0.5,0.52
2008,ATLANTICO,CIRUELA,518.15,3275.0,6.32,25.05,35.69
2008,BOLIVAR,CIRUELA,40.0,100.0,2.5,0.76,2.76
2008,BOYACA,CIRUELA,787.5,8960.8,11.38,68.53,54.25
2008,NORTE DE SANTANDER,CIRUELA,8.0,72.0,9.0,0.55,0.55
2008,TOLIMA,CIRUELA,89.0,586.0,6.58,4.48,6.13
2008,VALLE DEL CAUCA,CIRUELA,9.0,82.0,9.11,0.63,0.62
2009,ATLANTICO,CIRUELA,457.65,2938.35,6.42,26.21,33.08
2009,BOLIVAR,CIRUELA,39.0,97.5,2.5,0.87,2.82
2009,BOYACA,CIRUELA,600.0,6005.2,10.01,53.57,43.36
2009,NORTE DE SANTANDER,CIRUELA,8.0,72.0,9.0,0.64,0.58
2009,TOLIMA,CIRUELA,270.0,2016.0,7.47,17.98,19.51
2009,VALLE DEL CAUCA,CIRUELA,9.0,81.0,9.0,0.72,0.65
2010,ATLANTICO,CIRUELA,249.45,1475.26,5.91,11.2,17.15
2010,BOLIVAR,CIRUELA,39.0,97.5,2.5,0.74,2.68
2010,BOYACA,CIRUELA,902.0,9695.7,10.75,73.58,62.03
2010,CUNDINAMARCA,CIRUELA,8.25,82.5,10.0,0.63,0.57
2010,NORTE DE SANTANDER,CIRUELA,11.5,122.0,10.61,0.93,0.79
2010,TOLIMA,CIRUELA,235.0,1623.5,6.91,12.32,16.16
2010,VALLE DEL CAUCA,CIRUELA,9.0,81.0,9.0,0.61,0.62
2011,ATLANTICO,CIRUELA,379.15,2104.0,5.55,17.39,24.51
2011,BOLIVAR,CIRUELA,39.0,97.5,2.5,0.81,2.52
2011,BOYACA,CIRUELA,1046.51,9381.59,8.96,77.55,67.65
2011,CUNDINAMARCA,CIRUELA,6.75,67.5,10.0,0.56,0.44
2011,NORTE DE SANTANDER,CIRUELA,20.5,197.0,9.61,1.63,1.33
2011,TOLIMA,CIRUELA,46.0,169.0,3.67,1.4,2.9699999999999998
2011,VALLE DEL CAUCA,CIRUELA,9.0,81.0,9.0,0.67,0.58
2012,ATLANTICO,CIRUELA,243.15,1394.0,5.73,12.59,20.2
2012,BOLIVAR,CIRUELA,37.0,74.0,2.0,0.67,3.07
2012,BOYACA,CIRUELA,642.0,6683.96,10.41,60.35,53.34
2012,NARIÑO,CIRUELA,15.0,90.0,6.0,0.81,1.25
2012,NORTE DE SANTANDER,CIRUELA,27.5,251.5,9.15,2.27,2.2800000000000002
2012,TOLIMA,CIRUELA,230.0,2500.0,10.87,22.57,19.11
2012,VALLE DEL CAUCA,CIRUELA,9.0,81.0,9.0,0.73,0.75
2013,ATLANTICO,CIRUELA,161.0,1029.5,6.39,8.18,12.96
2013,BOLIVAR,CIRUELA,37.0,74.0,2.0,0.59,2.98
2013,BOYACA,CIRUELA,770.0,9422.0,12.24,74.89,61.98
2013,CUNDINAMARCA,CIRUELA,0.1,0.1,1.0,0.0,0.01
2013,NARIÑO,CIRUELA,22.0,96.0,4.36,0.76,1.77
2013,NORTE DE SANTANDER,CIRUELA,28.0,255.5,9.13,2.03,2.25
2013,TOLIMA,CIRUELA,224.15,1704.2,7.6,13.55,18.04
2014,ATLANTICO,CIRUELA,140.0,1112.0,7.9399999999999995,7.35,9.97
2014,BOLIVAR,CIRUELA,41.0,82.0,2.0,0.54,2.92
2014,BOYACA,CIRUELA,1034.0,12801.0,12.38,84.66,73.64
