Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,ANTIOQUIA,CITRICOS,92.0,1178.0,12.8,0.19,0.28
2007,ARAUCA,CITRICOS,135.0,2614.0,19.36,0.43,0.41
2007,BOYACA,CITRICOS,1800.5,29450.0,16.36,4.82,5.4
2007,CALDAS,CITRICOS,2489.5,56561.0,22.72,9.26,7.47
2007,CASANARE,CITRICOS,383.0,5272.0,13.77,0.86,1.15
2007,CAUCA,CITRICOS,34.0,497.0,14.62,0.08,0.1
2007,CUNDINAMARCA,CITRICOS,5159.0,55221.0,10.7,9.04,15.48
2007,HUILA,CITRICOS,991.5,8994.0,9.07,1.47,2.98
2007,MAGDALENA,CITRICOS,2291.0,47792.0,20.86,7.83,6.87
2007,META,CITRICOS,3790.0,70960.0,18.72,11.62,11.37
2007,NARIÑO,CITRICOS,3030.0,20100.0,6.63,3.29,9.09
2007,NORTE DE SANTANDER,CITRICOS,11.0,88.0,8.0,0.01,0.03
2007,QUINDIO,CITRICOS,2659.6,78552.5,29.54,12.86,7.98
2007,SANTANDER,CITRICOS,6344.5,115275.0,18.17,18.88,19.04
2007,VALLE DEL CAUCA,CITRICOS,4114.6,118165.2,28.72,19.35,12.35
2008,ANTIOQUIA,CITRICOS,106.0,1391.6,13.13,0.25,0.31
2008,ARAUCA,CITRICOS,185.0,3740.0,20.22,0.66,0.53
2008,BOYACA,CITRICOS,1158.0,15047.0,12.99,2.67,3.33
2008,CALDAS,CITRICOS,2874.0,61315.5,21.33,10.88,8.27
2008,CASANARE,CITRICOS,284.25,3516.0,12.37,0.62,0.82
2008,CAUCA,CITRICOS,36.0,549.0,15.25,0.1,0.1
2008,CUNDINAMARCA,CITRICOS,4117.5,39423.0,9.57,6.99,11.85
2008,HUILA,CITRICOS,1035.75,8611.38,8.31,1.53,2.98
2008,MAGDALENA,CITRICOS,2307.0,47610.0,20.64,8.44,6.64
2008,META,CITRICOS,4454.0,82342.0,18.49,14.6,12.82
2008,NARIÑO,CITRICOS,3482.0,21709.0,6.23,3.85,10.02
2008,NORTE DE SANTANDER,CITRICOS,61.0,578.0,9.48,0.1,0.18
2008,QUINDIO,CITRICOS,2675.7,69421.8,25.95,12.31,7.7
2008,SANTANDER,CITRICOS,7699.0,103193.0,13.4,18.3,22.17
2008,VALLE DEL CAUCA,CITRICOS,4259.2,105348.31,24.73,18.69,12.26
2009,ANTIOQUIA,CITRICOS,105.5,1096.7,10.4,0.23,0.38
2009,ARAUCA,CITRICOS,148.0,3594.0,24.28,0.76,0.54
2009,BOYACA,CITRICOS,690.0,11240.8,16.29,2.37,2.5
2009,CALDAS,CITRICOS,2886.4,62346.0,21.6,13.14,10.47
2009,CASANARE,CITRICOS,218.25,2947.5,13.51,0.62,0.79
2009,CAUCA,CITRICOS,40.0,583.0,14.57,0.12,0.15
2009,CUNDINAMARCA,CITRICOS,4269.5,44437.95,10.41,9.37,15.48
2009,HUILA,CITRICOS,971.25,7846.7,8.08,1.65,3.52
2009,MAGDALENA,CITRICOS,2402.0,48294.0,20.11,10.18,8.71
2009,META,CITRICOS,4319.0,80037.0,18.53,16.87,15.66
2009,NARIÑO,CITRICOS,3164.0,17979.7,5.68,3.79,11.47
2009,NORTE DE SANTANDER,CITRICOS,61.0,578.0,9.48,0.12,0.22
2009,QUINDIO,CITRICOS,3188.15,81754.6,25.64,17.23,11.56
2009,SANTANDER,CITRICOS,913.0,8042.0,8.81,1.69,3.31
2009,VALLE DEL CAUCA,CITRICOS,4203.23,103681.21,24.67,21.85,15.24
2010,ANTIOQUIA,CITRICOS,201.0,2380.4,11.84,0.52,0.67
2010,ARAUCA,CITRICOS,180.0,3860.0,21.44,0.84,0.6
2010,BOYACA,CITRICOS,566.0,8907.2,15.74,1.94,1.8900000000000001
2010,CALDAS,CITRICOS,1983.3,33942.93,17.11,7.39,6.62
2010,CASANARE,CITRICOS,142.25,1712.5,12.04,0.37,0.48
2010,CAUCA,CITRICOS,47.0,772.6,16.44,0.17,0.16
2010,CUNDINAMARCA,CITRICOS,5221.5,42042.12,8.05,9.16,17.44
2010,HUILA,CITRICOS,1017.75,8258.02,8.11,1.8,3.4
2010,MAGDALENA,CITRICOS,2077.0,41480.0,19.97,9.03,6.9399999999999995
2010,META,CITRICOS,5147.0,107947.0,20.97,23.51,17.19
2010,NARIÑO,CITRICOS,4199.0,19080.4,4.54,4.16,14.03
2010,NORTE DE SANTANDER,CITRICOS,60.0,558.0,9.3,0.12,0.2
2010,QUINDIO,CITRICOS,3213.55,77018.9,23.97,16.77,10.73
2010,SANTANDER,CITRICOS,903.5,7150.5,7.91,1.56,3.02
2010,VALLE DEL CAUCA,CITRICOS,4980.53,104040.07,20.89,22.66,16.64
2011,ANTIOQUIA,CITRICOS,212.0,2443.0,11.52,0.48,0.68
2011,ARAUCA,CITRICOS,185.0,4100.0,22.16,0.81,0.59
2011,BOYACA,CITRICOS,641.52,8971.21,13.98,1.78,2.06
2011,CALDAS,CITRICOS,1993.0,33956.9,17.04,6.74,6.41
2011,CASANARE,CITRICOS,93.63,1014.49,10.84,0.2,0.3
2011,CAUCA,CITRICOS,34.0,364.0,10.71,0.07,0.11
2011,CESAR,CITRICOS,8.0,96.0,12.0,0.02,0.03
2011,CUNDINAMARCA,CITRICOS,5970.3,41700.9,6.98,8.28,19.19
2011,HUILA,CITRICOS,993.65,8062.78,8.11,1.6,3.19
2011,MAGDALENA,CITRICOS,2627.0,51790.0,19.71,10.28,8.45
2011,META,CITRICOS,5084.5,115067.5,22.63,22.84,16.35
2011,NARIÑO,CITRICOS,3472.5,16693.2,4.8100000000000005,3.31,11.16
2011,NORTE DE SANTANDER,CITRICOS,60.0,558.0,9.3,0.11,0.19
2011,QUINDIO,CITRICOS,3960.0,91374.0,23.07,18.14,12.73
2011,SANTANDER,CITRICOS,931.7,7298.0,7.83,1.45,3.0
2011,VALLE DEL CAUCA,CITRICOS,4839.4,120253.2,24.85,23.87,15.56
2012,ANTIOQUIA,CITRICOS,925.0,11083.0,11.98,1.85,2.55
2012,ARAUCA,CITRICOS,327.0,7820.0,23.91,1.31,0.9
2012,BOYACA,CITRICOS,767.0,7300.4,9.52,1.22,2.12
2012,CALDAS,CITRICOS,3466.28,63529.6,18.33,10.62,9.57
2012,CASANARE,CITRICOS,82.0,1040.36,12.69,0.17,0.23
2012,CAUCA,CITRICOS,122.0,2118.1,17.36,0.35,0.34
2012,CESAR,CITRICOS,8.0,64.0,8.0,0.01,0.02
2012,CUNDINAMARCA,CITRICOS,6121.41,49611.65,8.1,8.3,16.9
2012,GUAVIARE,CITRICOS,0.0,0.0,0.0,0.0,0.0
2012,HUILA,CITRICOS,1068.05,8444.2,7.91,1.41,2.95
2012,MAGDALENA,CITRICOS,2725.0,54060.0,19.84,9.04,7.53
2012,META,CITRICOS,5678.0,127039.0,22.37,21.24,15.68
2012,NARIÑO,CITRICOS,4372.9,22755.28,5.2,3.8,12.08
2012,NORTE DE SANTANDER,CITRICOS,57.0,537.0,9.42,0.09,0.16
2012,QUINDIO,CITRICOS,4209.97,105735.65,25.12,17.68,11.63
2012,SANTANDER,CITRICOS,1336.33,12212.63,9.14,2.04,3.69
2012,VALLE DEL CAUCA,CITRICOS,4944.99,124718.28,25.22,20.85,13.66
2013,ANTIOQUIA,CITRICOS,912.0,11104.6,12.18,1.67,2.4
2013,ARAUCA,CITRICOS,343.0,8260.0,24.08,1.25,0.9
2013,BOLIVAR,CITRICOS,200.0,3000.0,15.0,0.45,0.53
2013,BOYACA,CITRICOS,707.5,7702.0,10.89,1.16,1.8599999999999999
2013,CALDAS,CITRICOS,4469.12,80217.85,17.95,12.1,11.76
2013,CASANARE,CITRICOS,92.0,1105.5,12.02,0.17,0.24
2013,CAUCA,CITRICOS,108.5,1657.0,15.27,0.25,0.29
2013,CORDOBA,CITRICOS,100.0,1500.0,15.0,0.23,0.26
2013,CUNDINAMARCA,CITRICOS,5755.93,47693.14,8.29,7.19,15.15
2013,HUILA,CITRICOS,1037.75,8208.8,7.91,1.24,2.73
2013,MAGDALENA,CITRICOS,2788.0,55292.0,19.83,8.34,7.34
2013,META,CITRICOS,5959.0,146067.5,24.51,22.03,15.68
