Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,ANTIOQUIA,COCO,446.0,1825.5,4.09,1.62,2.94
2007,BOLIVAR,COCO,450.0,2519.0,5.6,2.24,2.96
2007,CAUCA,COCO,2459.0,25949.0,10.55,23.05,16.19
2007,CHOCO,COCO,405.0,5075.0,12.53,4.51,2.67
2007,CORDOBA,COCO,1514.0,8100.0,5.35,7.19,9.97
2007,LA GUAJIRA,COCO,489.0,1891.0,3.87,1.6800000000000002,3.22
2007,MAGDALENA,COCO,829.0,4142.0,5.0,3.68,5.46
2007,NARIÑO,COCO,7727.0,55746.5,7.21,49.51,50.88
2007,SUCRE,COCO,543.0,3444.0,6.34,3.06,3.58
2007,VALLE DEL CAUCA,COCO,325.0,3900.0,12.0,3.46,2.14
2008,AMAZONAS,COCO,21.0,137.0,6.52,0.13,0.14
2008,ANTIOQUIA,COCO,443.5,1814.7,4.09,1.6600000000000001,3.02
2008,BOLIVAR,COCO,501.0,2782.0,5.55,2.55,3.41
2008,CAUCA,COCO,2297.0,24690.0,10.75,22.64,15.63
2008,CHOCO,COCO,468.0,6009.5,12.84,5.51,3.18
2008,CORDOBA,COCO,999.0,6461.0,6.47,5.92,6.8
2008,LA GUAJIRA,COCO,496.0,2152.0,4.34,1.97,3.37
2008,MAGDALENA,COCO,884.0,4444.0,5.03,4.07,6.01
2008,NARIÑO,COCO,7718.0,52968.0,6.86,48.57,52.51
2008,SUCRE,COCO,550.0,3767.0,6.85,3.45,3.74
2008,VALLE DEL CAUCA,COCO,320.0,3840.0,12.0,3.52,2.18
2009,ANTIOQUIA,COCO,502.5,2044.8,4.07,2.01,3.7199999999999998
2009,BOLIVAR,COCO,494.0,2781.0,5.63,2.73,3.65
2009,CAUCA,COCO,2171.0,21971.0,10.12,21.6,16.05
2009,CHOCO,COCO,439.0,5809.5,13.23,5.71,3.25
2009,CORDOBA,COCO,1037.2,7861.8,7.58,7.73,7.67
2009,LA GUAJIRA,COCO,497.0,3976.0,8.0,3.91,3.68
2009,MAGDALENA,COCO,879.0,4395.0,5.0,4.32,6.5
2009,NARIÑO,COCO,6724.0,46108.5,6.86,45.33,49.72
2009,SUCRE,COCO,455.0,2871.5,6.31,2.82,3.36
2009,VALLE DEL CAUCA,COCO,325.0,3900.0,12.0,3.83,2.4
2010,ANTIOQUIA,COCO,534.5,1972.0,3.69,1.79,3.32
2010,ATLANTICO,COCO,1.83,18.3,10.0,0.02,0.01
2010,BOLIVAR,COCO,494.0,3288.0,6.66,2.98,3.07
2010,CAUCA,COCO,1700.0,16042.0,9.44,14.53,10.56
2010,CHOCO,COCO,448.0,6050.0,13.5,5.48,2.7800000000000002
2010,CORDOBA,COCO,1896.0,13071.4,6.89,11.84,11.78
2010,LA GUAJIRA,COCO,497.0,3066.0,6.17,2.7800000000000002,3.09
2010,MAGDALENA,COCO,881.0,4405.0,5.0,3.99,5.47
2010,NARIÑO,COCO,8772.0,55738.8,6.35,50.5,54.51
2010,SUCRE,COCO,542.0,3020.5,5.57,2.74,3.37
2010,VALLE DEL CAUCA,COCO,325.0,3700.0,11.38,3.35,2.02
2011,ANTIOQUIA,COCO,527.5,1947.5,3.69,1.73,3.35
2011,ATLANTICO,COCO,3.0,20.0,6.67,0.02,0.02
2011,BOLIVAR,COCO,489.0,3346.0,6.84,2.98,3.11
2011,CAUCA,COCO,1761.67,16623.78,9.44,14.79,11.19
2011,CHOCO,COCO,449.0,6149.0,13.69,5.47,2.85
2011,CORDOBA,COCO,989.5,7777.1,7.86,6.92,6.29
2011,LA GUAJIRA,COCO,503.0,3114.0,6.19,2.77,3.2
2011,MAGDALENA,COCO,886.0,4415.0,4.98,3.93,5.63
2011,NARIÑO,COCO,9276.0,62222.2,6.71,55.36,58.95
2011,SUCRE,COCO,531.0,2932.5,5.52,2.61,3.37
2011,VALLE DEL CAUCA,COCO,321.0,3852.0,12.0,3.43,2.04
2012,ANTIOQUIA,COCO,735.5,3190.5,4.34,2.7800000000000002,4.4
2012,ATLANTICO,COCO,3.0,20.0,6.67,0.02,0.02
2012,BOLIVAR,COCO,469.0,3097.0,6.6,2.7,2.8
