Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2006,ATLANTICO,COL,0.0,0.0,0.0,0.0,0.0
2006,MAGDALENA,COL,0.0,0.0,0.0,0.0,0.0
2006,SUCRE,COL,0.0,0.0,0.0,0.0,0.0
2007,ANTIOQUIA,COL,16.0,80.0,5.0,5.19,9.44
2007,ATLANTICO,COL,13.0,111.6,8.58,7.24,7.67
2007,CESAR,COL,1.5,9.0,6.0,0.58,0.88
2007,CORDOBA,COL,4.0,40.0,10.0,2.59,2.36
2007,MAGDALENA,COL,125.0,1250.0,10.0,81.08,73.75
2007,SUCRE,COL,10.0,51.0,5.1,3.31,5.9
2008,ANTIOQUIA,COL,16.0,80.0,5.0,2.19,4.5
2008,CESAR,COL,6.0,36.0,6.0,0.99,1.69
2008,CORDOBA,COL,1.2,6.0,5.0,0.16,0.34
2008,MAGDALENA,COL,321.0,3470.0,10.81,95.12,90.37
2008,SUCRE,COL,11.0,56.0,5.09,1.54,3.1
2009,ANTIOQUIA,COL,16.0,80.0,5.0,2.37,4.68
2009,ATLANTICO,COL,4.5,26.0,5.78,0.77,1.32
2009,CESAR,COL,3.0,18.0,6.0,0.53,0.88
2009,CORDOBA,COL,1.4,7.0,5.0,0.21,0.41
2009,MAGDALENA,COL,306.0,3183.0,10.4,94.48,89.5
2009,SUCRE,COL,11.0,55.0,5.0,1.63,3.22
2010,ANTIOQUIA,COL,14.0,70.0,5.0,2.67,5.7
2010,ATLANTICO,COL,5.0,37.0,7.4,1.41,2.04
2010,CORDOBA,COL,1.4,0.7,0.5,0.03,0.57
2010,MAGDALENA,COL,215.0,2465.0,11.47,93.99,87.61
2010,SUCRE,COL,10.0,50.0,5.0,1.9100000000000001,4.07
2011,ANTIOQUIA,COL,16.0,80.0,5.0,9.16,8.17
2011,ATLANTICO,COL,2.0,10.0,5.0,1.15,1.02
2011,CORDOBA,COL,1.8,9.0,5.0,1.03,0.92
2011,MAGDALENA,COL,170.0,744.0,4.38,85.2,86.82
2011,SUCRE,COL,6.0,30.2,5.03,3.46,3.06
2012,ANTIOQUIA,COL,17.0,85.0,5.0,17.78,5.54
2012,ATLANTICO,COL,5.0,40.0,8.0,8.37,1.63
2012,BOLIVAR,COL,3.0,6.0,2.0,1.26,0.98
2012,CORDOBA,COL,1.8,9.0,5.0,1.88,0.59
2012,MAGDALENA,COL,275.0,313.0,1.1400000000000001,65.48,89.63
2012,NARIÑO,COL,0.0,0.0,0.0,0.0,0.0
2012,SUCRE,COL,5.0,25.0,5.0,5.23,1.63
2013,ANTIOQUIA,COL,19.0,95.0,5.0,13.52,6.58
2013,ATLANTICO,COL,6.0,42.0,7.0,5.98,2.08
2013,BOLIVAR,COL,9.0,43.8,4.87,6.23,3.12
2013,CORDOBA,COL,2.3,11.5,5.0,1.6400000000000001,0.8
2013,MAGDALENA,COL,232.0,286.9,1.24,40.83,80.39
2013,NARIÑO,COL,3.0,30.0,10.0,4.27,1.04
2013,PUTUMAYO,COL,12.3,168.53,13.7,23.98,4.26
2013,SUCRE,COL,5.0,25.0,5.0,3.56,1.73
2014,ANTIOQUIA,COL,19.0,95.0,5.0,16.61,8.86
2014,ATLANTICO,COL,7.0,57.0,8.14,9.97,3.26
2014,BOLIVAR,COL,9.0,20.5,2.2800000000000002,3.58,4.2
2014,CORDOBA,COL,2.1,10.5,5.0,1.8399999999999999,0.98
2014,MAGDALENA,COL,162.0,212.8,1.31,37.21,75.52
2014,PUTUMAYO,COL,11.4,156.14,13.7,27.3,5.31
2014,SUCRE,COL,4.0,20.0,5.0,3.5,1.8599999999999999
2015,ANTIOQUIA,COL,19.0,95.0,5.0,30.19,14.25
2015,ATLANTICO,COL,10.0,69.0,6.9,21.93,7.5
2015,BOLIVAR,COL,8.0,18.5,2.31,5.88,6.0
2015,CORDOBA,COL,4.3,14.6,3.4,4.64,3.23
2015,MAGDALENA,COL,88.0,105.6,1.2,33.56,66.02
2015,SUCRE,COL,4.0,12.0,3.0,3.81,3.0
2016,ANTIOQUIA,COL,19.0,95.0,5.0,47.38,40.43
2016,ATLANTICO,COL,8.0,57.0,7.13,28.43,17.02
2016,BOLIVAR,COL,5.0,12.5,2.5,6.23,10.64
2016,CORDOBA,COL,2.0,4.0,2.0,2.0,4.26
2016,MAGDALENA,COL,7.0,8.0,1.1400000000000001,3.99,14.89
2016,SUCRE,COL,6.0,24.0,4.0,11.97,12.77
2017,ANTIOQUIA,COL,19.0,95.0,5.0,42.81,43.18
2017,ATLANTICO,COL,13.0,96.0,7.38,43.26,29.55
2017,MAGDALENA,COL,6.0,6.9,1.15,3.11,13.64
2017,SUCRE,COL,6.0,24.0,4.0,10.82,13.64
2018,ANTIOQUIA,COL,19.0,114.0,6.0,62.67,48.72
2018,ATLANTICO,COL,5.0,34.0,6.8,18.69,12.82
2018,MAGDALENA,COL,9.0,9.9,1.1,5.44,23.08
2018,SUCRE,COL,6.0,24.0,4.0,13.19,15.38
2019,ANTIOQUIA,COL,19.0,95.0,5.0,38.76,30.7
2019,ATLANTICO,COL,10.0,47.0,4.7,19.18,16.16
2019,MAGDALENA,COL,26.88,79.1,2.94,32.27,43.44
2019,SUCRE,COL,6.0,24.0,4.0,9.79,9.7
2020,ANTIOQUIA,COL,17.0,85.0,5.0,28.34,27.91
2020,ATLANTICO,COL,11.5,108.3,9.42,36.11,18.88
2020,MAGDALENA,COL,26.41,82.6,3.13,27.54,43.36
2020,SUCRE,COL,6.0,24.0,4.0,8.0,9.85
2021,ANTIOQUIA,COL,24.0,120.0,5.0,18.51,18.62
2021,ATLANTICO,COL,24.0,254.4,10.6,39.25,18.62
2021,MAGDALENA,COL,68.92,225.8,3.2800000000000002,34.83,53.46
2021,SUCRE,COL,12.0,48.0,4.0,7.41,9.31
2022,ANTIOQUIA,COL,15.39,89.02,5.78,25.53,29.83
2022,ATLANTICO,COL,9.0,108.0,12.0,30.97,17.44
2022,CAUCA,COL,5.0,15.0,3.0,4.3,9.69
2022,MAGDALENA,COL,14.88,91.41,6.14,26.21,28.84
2022,PUTUMAYO,COL,1.33,21.28,16.0,6.1,2.58
2022,SUCRE,COL,6.0,24.0,4.0,6.88,11.63
2023,ANTIOQUIA,COL,2.0,8.0,4.0,2.49,4.27
2023,ATLANTICO,COL,18.0,156.0,8.67,48.58,38.46
2023,CAUCA,COL,5.0,15.0,3.0,4.67,10.68
2023,MAGDALENA,COL,12.3,77.1,6.27,24.01,26.28
2023,NARIÑO,COL,1.0,1.0,1.0,0.31,2.14
2023,PUTUMAYO,COL,2.5,40.0,16.0,12.46,5.34
2023,SUCRE,COL,6.0,24.0,4.0,7.47,12.82
