Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2006,ANTIOQUIA,COLIFLOR,0.0,0.0,0.0,0.0,0.0
2006,BOYACA,COLIFLOR,0.0,0.0,0.0,0.0,0.0
2006,CAUCA,COLIFLOR,0.0,0.0,0.0,0.0,0.0
2006,CUNDINAMARCA,COLIFLOR,0.0,0.0,0.0,0.0,0.0
2006,NARIÑO,COLIFLOR,0.0,0.0,0.0,0.0,0.0
2006,NORTE DE SANTANDER,COLIFLOR,0.0,0.0,0.0,0.0,0.0
2007,ANTIOQUIA,COLIFLOR,30.0,710.0,23.67,7.7,6.38
2007,BOYACA,COLIFLOR,3.0,65.0,21.67,0.71,0.64
2007,CAUCA,COLIFLOR,11.4,192.0,16.84,2.08,2.42
2007,CUNDINAMARCA,COLIFLOR,58.0,1420.0,24.48,15.41,12.33
2007,NARIÑO,COLIFLOR,317.0,5912.5,18.65,64.14,67.39
2007,NORTE DE SANTANDER,COLIFLOR,51.0,918.0,18.0,9.96,10.84
2008,ANTIOQUIA,COLIFLOR,22.0,510.0,23.18,5.83,4.68
2008,BOYACA,COLIFLOR,13.0,270.0,20.77,3.09,2.76
2008,CAUCA,COLIFLOR,8.8,170.0,19.32,1.94,1.87
2008,CUNDINAMARCA,COLIFLOR,56.0,1478.0,26.39,16.89,11.9
2008,NARIÑO,COLIFLOR,321.63,5440.0,16.91,62.17,68.37
2008,NORTE DE SANTANDER,COLIFLOR,49.0,882.0,18.0,10.08,10.42
2008,QUINDIO,COLIFLOR,0.0,0.0,0.0,0.0,0.0
2009,ANTIOQUIA,COLIFLOR,23.0,535.0,23.26,4.88,4.33
2009,BOYACA,COLIFLOR,12.0,262.0,21.83,2.39,2.26
2009,CAUCA,COLIFLOR,15.2,299.0,19.67,2.73,2.86
2009,CUNDINAMARCA,COLIFLOR,134.34,4175.2,31.08,38.07,25.28
2009,NARIÑO,COLIFLOR,287.5,4629.8,16.1,42.22,54.1
2009,NORTE DE SANTANDER,COLIFLOR,59.0,1062.0,18.0,9.68,11.1
2009,QUINDIO,COLIFLOR,0.4,3.8,9.5,0.03,0.08
2010,ANTIOQUIA,COLIFLOR,27.0,622.0,23.04,6.8,5.51
2010,BOYACA,COLIFLOR,9.0,188.0,20.89,2.05,1.8399999999999999
2010,CALDAS,COLIFLOR,0.15,2.25,15.0,0.02,0.03
2010,CAUCA,COLIFLOR,25.0,490.0,19.6,5.35,5.1
2010,CUNDINAMARCA,COLIFLOR,101.0,2525.0,25.0,27.58,20.61
2010,NARIÑO,COLIFLOR,254.0,3996.0,15.73,43.65,51.82
2010,NORTE DE SANTANDER,COLIFLOR,73.8,1328.4,18.0,14.51,15.06
2010,QUINDIO,COLIFLOR,0.2,2.0,10.0,0.02,0.04
2011,ANTIOQUIA,COLIFLOR,25.8,591.8,22.94,5.61,4.67
2011,BOYACA,COLIFLOR,7.0,136.0,19.43,1.29,1.27
2011,CALDAS,COLIFLOR,0.28,4.2,15.0,0.04,0.05
2011,CAUCA,COLIFLOR,10.0,300.0,30.0,2.84,1.81
2011,CUNDINAMARCA,COLIFLOR,128.0,3223.0,25.18,30.55,23.16
2011,NARIÑO,COLIFLOR,325.5,5218.0,16.03,49.46,58.91
2011,NORTE DE SANTANDER,COLIFLOR,56.0,1078.0,19.25,10.22,10.13
2012,ANTIOQUIA,COLIFLOR,30.5,724.0,23.74,5.31,4.25
2012,BOYACA,COLIFLOR,4.4,79.2,18.0,0.58,0.61
2012,CALDAS,COLIFLOR,0.21,3.15,15.0,0.02,0.03
2012,CAUCA,COLIFLOR,10.0,300.0,30.0,2.2,1.3900000000000001
2012,CUNDINAMARCA,COLIFLOR,136.12,3212.5,23.6,23.55,18.95
2012,NARIÑO,COLIFLOR,466.0,7902.0,16.96,57.94,64.88
2012,NORTE DE SANTANDER,COLIFLOR,71.0,1418.0,19.97,10.4,9.89
2013,ANTIOQUIA,COLIFLOR,62.5,1504.0,24.06,13.72,12.12
2013,BOYACA,COLIFLOR,6.5,107.0,16.46,0.98,1.26
2013,CAUCA,COLIFLOR,10.5,302.5,28.81,2.76,2.04
2013,CUNDINAMARCA,COLIFLOR,135.04,3007.28,22.27,27.44,26.19
2013,NARIÑO,COLIFLOR,252.0,5060.0,20.08,46.17,48.88
2013,NORTE DE SANTANDER,COLIFLOR,49.0,978.0,19.96,8.92,9.5
2014,ANTIOQUIA,COLIFLOR,72.8,1648.0,22.64,15.72,14.96
2014,BOYACA,COLIFLOR,5.0,90.0,18.0,0.86,1.03
2014,CAUCA,COLIFLOR,10.5,302.5,28.81,2.89,2.16
2014,CUNDINAMARCA,COLIFLOR,126.2,2825.3,22.39,26.95,25.93
2014,NARIÑO,COLIFLOR,234.1,4855.4,20.74,46.32,48.1
2014,NORTE DE SANTANDER,COLIFLOR,38.0,760.0,20.0,7.25,7.8100000000000005
2014,QUINDIO,COLIFLOR,0.05,1.0,20.0,0.01,0.01
2015,ANTIOQUIA,COLIFLOR,85.8,1887.0,21.99,20.32,19.68
2015,BOYACA,COLIFLOR,1.5,23.0,15.33,0.25,0.34
2015,CAUCA,COLIFLOR,12.0,301.8,25.15,3.25,2.75
2015,CUNDINAMARCA,COLIFLOR,120.17,2581.96,21.49,27.8,27.56
2015,NARIÑO,COLIFLOR,178.5,3731.5,20.9,40.18,40.94
2015,NORTE DE SANTANDER,COLIFLOR,38.0,760.0,20.0,8.18,8.72
2015,QUINDIO,COLIFLOR,0.05,1.0,20.0,0.01,0.01
2016,ANTIOQUIA,COLIFLOR,81.8,1834.0,22.42,19.92,17.47
2016,BOYACA,COLIFLOR,2.5,22.0,8.8,0.24,0.53
2016,CAUCA,COLIFLOR,10.5,315.0,30.0,3.42,2.24
2016,CUNDINAMARCA,COLIFLOR,100.91,1922.16,19.05,20.88,21.55
2016,NARIÑO,COLIFLOR,202.5,4240.5,20.94,46.06,43.25
2016,NORTE DE SANTANDER,COLIFLOR,70.0,872.0,12.46,9.47,14.95
2017,ANTIOQUIA,COLIFLOR,90.0,2002.0,22.24,21.11,18.76
2017,BOYACA,COLIFLOR,3.0,32.0,10.67,0.34,0.63
2017,CAUCA,COLIFLOR,11.5,345.0,30.0,3.64,2.4
2017,CUNDINAMARCA,COLIFLOR,104.8,2106.0,20.1,22.21,21.84
2017,NARIÑO,COLIFLOR,220.5,4548.5,20.63,47.96,45.96
2017,NORTE DE SANTANDER,COLIFLOR,50.0,450.0,9.0,4.75,10.42
2018,ANTIOQUIA,COLIFLOR,45.0,1011.87,22.49,18.98,18.44
2018,BOYACA,COLIFLOR,4.0,48.0,12.0,0.9,1.6400000000000001
2018,CAUCA,COLIFLOR,10.0,300.0,30.0,5.63,4.1
2018,CUNDINAMARCA,COLIFLOR,55.0,1184.0,21.53,22.21,22.54
2018,NARIÑO,COLIFLOR,130.0,2786.0,21.43,52.27,53.28
2019,ANTIOQUIA,COLIFLOR,97.0,2083.0,21.47,20.58,20.51
2019,CAUCA,COLIFLOR,40.0,1115.3,27.88,11.02,8.46
2019,CUNDINAMARCA,COLIFLOR,130.04,2695.86,20.73,26.63,27.49
2019,NARIÑO,COLIFLOR,117.0,2978.0,25.45,29.42,24.73
2019,NORTE DE SANTANDER,COLIFLOR,85.0,1190.0,14.0,11.76,17.97
2019,SANTANDER,COLIFLOR,4.0,60.0,15.0,0.59,0.85
2020,ANTIOQUIA,COLIFLOR,61.0,1322.0,21.67,18.5,17.77
2020,CAUCA,COLIFLOR,41.0,1140.0,27.8,15.95,11.94
2020,CUNDINAMARCA,COLIFLOR,37.8,652.2,17.25,9.13,11.01
2020,NARIÑO,COLIFLOR,108.5,2703.0,24.91,37.82,31.61
2020,NORTE DE SANTANDER,COLIFLOR,90.0,1260.0,14.0,17.63,26.22
2020,SANTANDER,COLIFLOR,4.0,60.0,15.0,0.84,1.17
2020,VALLE DEL CAUCA,COLIFLOR,1.0,10.0,10.0,0.14,0.29
2021,ANTIOQUIA,COLIFLOR,110.0,2370.0,21.55,14.82,14.48
2021,BOYACA,COLIFLOR,10.0,140.0,14.0,0.88,1.32
2021,CAUCA,COLIFLOR,92.0,2508.0,27.26,15.68,12.11
2021,CUNDINAMARCA,COLIFLOR,73.6,1352.4,18.38,8.46,9.69
2021,NARIÑO,COLIFLOR,276.0,6762.0,24.5,42.28,36.33
2021,NORTE DE SANTANDER,COLIFLOR,180.0,2520.0,14.0,15.76,23.7
2021,SANTANDER,COLIFLOR,16.0,320.0,20.0,2.0,2.11
2021,VALLE DEL CAUCA,COLIFLOR,2.0,20.0,10.0,0.13,0.26
2022,ANTIOQUIA,COLIFLOR,53.5,1152.0,21.53,14.85,13.4
2022,BOYACA,COLIFLOR,5.1,67.5,13.24,0.87,1.28
2022,CAUCA,COLIFLOR,50.0,1332.0,26.64,17.17,12.53
2022,CUNDINAMARCA,COLIFLOR,80.0,1183.0,14.79,15.25,20.04
2022,NARIÑO,COLIFLOR,103.6,2475.9,23.9,31.92,25.95
2022,NORTE DE SANTANDER,COLIFLOR,90.0,1260.0,14.0,16.24,22.55
2022,SANTANDER,COLIFLOR,16.0,276.0,17.25,3.56,4.01
2022,VALLE DEL CAUCA,COLIFLOR,1.0,10.0,10.0,0.13,0.25
2023,ANTIOQUIA,COLIFLOR,53.5,1150.0,21.5,16.02,14.93
2023,BOYACA,COLIFLOR,5.2,70.14,13.49,0.98,1.45
2023,CAUCA,COLIFLOR,56.0,1470.0,26.25,20.47,15.62
2023,CUNDINAMARCA,COLIFLOR,28.41,474.41,16.7,6.61,7.93
2023,NARIÑO,COLIFLOR,100.3,2369.2,23.62,33.0,27.98
2023,NORTE DE SANTANDER,COLIFLOR,95.0,1310.0,13.79,18.25,26.51
2023,SANTANDER,COLIFLOR,18.0,316.0,17.56,4.4,5.02
2023,VALLE DEL CAUCA,COLIFLOR,2.0,20.0,10.0,0.28,0.56
