Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2008,AMAZONAS,COPOAZU,147.0,914.0,6.22,99.56,95.45
2008,PUTUMAYO,COPOAZU,7.0,4.0,0.57,0.44,4.55
2009,AMAZONAS,COPOAZU,87.0,360.0,4.14,92.31,63.5
2009,PUTUMAYO,COPOAZU,50.0,30.0,0.6,7.6899999999999995,36.5
2010,AMAZONAS,COPOAZU,92.0,368.4,4.0,92.47,64.79
2010,PUTUMAYO,COPOAZU,50.0,30.0,0.6,7.53,35.21
2011,AMAZONAS,COPOAZU,93.0,369.6,3.9699999999999998,92.49,65.03
2011,PUTUMAYO,COPOAZU,50.0,30.0,0.6,7.51,34.97
2012,AMAZONAS,COPOAZU,44.0,179.3,4.08,51.18,34.92
2012,CAQUETA,COPOAZU,18.0,72.0,4.0,20.55,14.29
2012,PUTUMAYO,COPOAZU,50.0,65.0,1.3,18.56,39.68
2012,VAUPES,COPOAZU,14.0,34.0,2.43,9.71,11.11
2013,AMAZONAS,COPOAZU,45.0,247.5,5.5,56.52,22.93
2013,CAQUETA,COPOAZU,13.0,52.0,4.0,11.88,6.62
2013,PUTUMAYO,COPOAZU,138.0,138.0,1.0,31.52,70.32
2013,VAUPES,COPOAZU,0.25,0.38,1.5,0.09,0.13
2014,AMAZONAS,COPOAZU,52.0,286.0,5.5,66.11,30.23
2014,CAQUETA,COPOAZU,12.0,48.0,4.0,11.1,6.98
2014,PUTUMAYO,COPOAZU,106.0,96.6,0.91,22.33,61.63
2014,VAUPES,COPOAZU,2.0,2.0,1.0,0.46,1.16
2015,AMAZONAS,COPOAZU,55.0,302.5,5.5,60.98,30.9
2015,CAQUETA,COPOAZU,16.0,96.0,6.0,19.35,8.99
2015,PUTUMAYO,COPOAZU,106.0,96.6,0.91,19.47,59.55
2015,VAUPES,COPOAZU,1.0,1.0,1.0,0.2,0.56
2016,AMAZONAS,COPOAZU,45.0,260.0,5.78,69.43,61.22
2016,CAQUETA,COPOAZU,18.0,90.0,5.0,24.03,24.49
2016,PUTUMAYO,COPOAZU,9.5,9.5,1.0,2.54,12.93
2016,VAUPES,COPOAZU,1.0,15.0,15.0,4.01,1.3599999999999999
2017,AMAZONAS,COPOAZU,60.4,250.65,4.15,55.5,56.24
2017,CAQUETA,COPOAZU,35.0,175.0,5.0,38.75,32.59
2017,PUTUMAYO,COPOAZU,11.0,11.0,1.0,2.44,10.24
2017,VAUPES,COPOAZU,1.0,15.0,15.0,3.32,0.93
2018,AMAZONAS,COPOAZU,68.49,295.14,4.31,57.18,58.29
2018,CAQUETA,COPOAZU,36.0,180.0,5.0,34.87,30.64
2018,PUTUMAYO,COPOAZU,11.0,11.0,1.0,2.13,9.36
2018,VAUPES,COPOAZU,2.0,30.0,15.0,5.8100000000000005,1.7
2019,AMAZONAS,COPOAZU,56.0,207.0,3.7,55.95,58.33
2019,CAQUETA,COPOAZU,24.0,84.0,3.5,22.7,25.0
2019,GUAINIA,COPOAZU,1.0,4.0,4.0,1.08,1.04
2019,PUTUMAYO,COPOAZU,15.0,75.0,5.0,20.27,15.63
2020,AMAZONAS,COPOAZU,126.0,675.0,5.36,87.46,81.82
2020,CAQUETA,COPOAZU,18.0,72.0,4.0,9.33,11.69
2020,GUAINIA,COPOAZU,2.0,12.76,6.38,1.65,1.3
2020,PUTUMAYO,COPOAZU,8.0,12.0,1.5,1.55,5.19
2021,AMAZONAS,COPOAZU,298.0,1766.0,5.93,89.99,82.02
2021,CAQUETA,COPOAZU,36.0,144.0,4.0,7.34,9.91
2021,GUAINIA,COPOAZU,4.0,14.0,3.5,0.71,1.1
2021,PUTUMAYO,COPOAZU,16.0,24.0,1.5,1.22,4.4
2021,VAUPES,COPOAZU,9.34,14.38,1.54,0.73,2.57
2022,AMAZONAS,COPOAZU,159.0,933.0,5.87,83.19,77.56
2022,CAQUETA,COPOAZU,36.0,144.0,4.0,12.84,17.56
2022,GUAINIA,COPOAZU,2.0,4.5,2.25,0.4,0.98
2022,PUTUMAYO,COPOAZU,8.0,40.0,5.0,3.57,3.9
2022,VAUPES,COPOAZU,0.0,0.0,0.0,0.0,0.0
2023,AMAZONAS,COPOAZU,159.0,933.0,5.87,82.68,75.0
2023,CAQUETA,COPOAZU,36.0,144.0,4.0,12.76,16.98
2023,GUAINIA,COPOAZU,2.0,4.5,2.25,0.4,0.94
2023,PUTUMAYO,COPOAZU,15.0,47.0,3.13,4.16,7.08
2023,VAUPES,COPOAZU,0.0,0.0,0.0,0.0,0.0
