Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,AMAZONAS,CURCUMA,0.0,0.0,0.0,0.0,0.0
2007,QUINDIO,CURCUMA,0.8,7.5,9.38,100.0,100.0
2008,AMAZONAS,CURCUMA,9.0,11.0,1.22,37.54,81.82
2008,QUINDIO,CURCUMA,2.0,18.3,9.15,62.46,18.18
2009,AMAZONAS,CURCUMA,5.0,6.0,1.2,9.17,45.45
2009,QUINDIO,CURCUMA,6.0,59.4,9.9,90.83,54.55
2010,QUINDIO,CURCUMA,8.1,72.9,9.0,100.0,100.0
2011,ANTIOQUIA,CURCUMA,2.5,4.25,1.7,4.88,21.37
2011,QUINDIO,CURCUMA,9.2,82.8,9.0,95.12,78.63
2012,ANTIOQUIA,CURCUMA,2.5,10.0,4.0,11.33,22.32
2012,QUINDIO,CURCUMA,8.7,78.3,9.0,88.67,77.68
2013,ANTIOQUIA,CURCUMA,3.0,10.2,3.4,53.13,75.0
2013,QUINDIO,CURCUMA,1.0,9.0,9.0,46.88,25.0
2014,ANTIOQUIA,CURCUMA,3.0,10.2,3.4,17.23,37.5
2014,QUINDIO,CURCUMA,1.0,9.0,9.0,15.2,12.5
2014,VALLE DEL CAUCA,CURCUMA,4.0,40.0,10.0,67.57,50.0
2015,ANTIOQUIA,CURCUMA,3.0,10.2,3.4,1.5699999999999998,3.33
2015,CHOCO,CURCUMA,75.0,337.5,4.5,52.11,83.33
2015,PUTUMAYO,CURCUMA,9.0,180.0,20.0,27.79,10.0
2015,QUINDIO,CURCUMA,3.0,120.0,40.0,18.53,3.33
2016,ANTIOQUIA,CURCUMA,3.0,9.0,3.0,1.73,10.17
2016,PUTUMAYO,CURCUMA,25.0,500.0,20.0,95.97,84.75
2016,VALLE DEL CAUCA,CURCUMA,1.5,12.0,8.0,2.3,5.08
2017,ANTIOQUIA,CURCUMA,3.5,10.5,3.0,1.6400000000000001,9.86
2017,PUTUMAYO,CURCUMA,30.0,600.0,20.0,93.68,84.51
2017,QUINDIO,CURCUMA,0.0,0.0,0.0,0.0,0.0
2017,VALLE DEL CAUCA,CURCUMA,2.0,30.0,15.0,4.68,5.63
2018,ANTIOQUIA,CURCUMA,4.0,12.26,3.07,1.76,10.19
2018,PUTUMAYO,CURCUMA,30.94,625.81,20.23,90.03,78.84
2018,QUINDIO,CURCUMA,2.3,27.0,11.74,3.88,5.86
2018,VALLE DEL CAUCA,CURCUMA,2.0,30.0,15.0,4.32,5.1
2019,CHOCO,CURCUMA,15.0,75.0,5.0,9.2,28.85
2019,PUTUMAYO,CURCUMA,37.0,740.0,20.0,90.8,71.15
2020,CHOCO,CURCUMA,15.0,75.0,5.0,9.68,29.88
2020,META,CURCUMA,0.2,0.12,0.6,0.02,0.4
2020,PUTUMAYO,CURCUMA,35.0,700.0,20.0,90.31,69.72
2021,CHOCO,CURCUMA,30.0,300.0,10.0,17.64,29.88
2021,META,CURCUMA,0.4,0.24,0.6,0.01,0.4
2021,PUTUMAYO,CURCUMA,70.0,1400.0,20.0,82.34,69.72
2022,CHOCO,CURCUMA,9.0,72.0,8.0,9.08,19.91
2022,META,CURCUMA,0.2,1.2,6.0,0.15,0.44
2022,PUTUMAYO,CURCUMA,35.0,700.0,20.0,88.25,77.43
2022,VALLE DEL CAUCA,CURCUMA,1.0,20.0,20.0,2.52,2.21
2023,ANTIOQUIA,CURCUMA,4.0,12.0,3.0,4.05,15.38
2023,CHOCO,CURCUMA,9.0,72.0,8.0,24.32,34.62
2023,META,CURCUMA,1.0,6.0,6.0,2.03,3.85
2023,PUTUMAYO,CURCUMA,10.0,200.0,20.0,67.57,38.46
2023,SANTANDER,CURCUMA,0.0,0.0,0.0,0.0,0.0
2023,VICHADA,CURCUMA,2.0,6.0,3.0,2.03,7.6899999999999995
