Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,BOYACA,CURUBA,1122.0,13435.0,11.97,57.49,49.3
2007,CUNDINAMARCA,CURUBA,116.0,1426.0,12.29,6.1,5.1
2007,HUILA,CURUBA,35.0,282.5,8.07,1.21,1.54
2007,NORTE DE SANTANDER,CURUBA,266.0,3154.0,11.86,13.5,11.69
2007,SANTANDER,CURUBA,40.0,268.0,6.7,1.15,1.76
2007,TOLIMA,CURUBA,623.0,4250.0,6.82,18.19,27.37
2007,VALLE DEL CAUCA,CURUBA,74.0,554.0,7.49,2.37,3.25
2008,ANTIOQUIA,CURUBA,17.0,85.0,5.0,0.52,1.11
2008,BOYACA,CURUBA,733.3,7361.5,10.04,44.85,47.81
2008,CUNDINAMARCA,CURUBA,91.0,1190.0,13.08,7.25,5.93
2008,HUILA,CURUBA,40.5,295.75,7.3,1.8,2.64
2008,NARIÑO,CURUBA,3.0,33.0,11.0,0.2,0.2
2008,NORTE DE SANTANDER,CURUBA,277.0,3280.0,11.84,19.98,18.06
2008,SANTANDER,CURUBA,35.0,238.0,6.8,1.45,2.2800000000000002
2008,TOLIMA,CURUBA,273.0,3350.0,12.27,20.41,17.8
2008,VALLE DEL CAUCA,CURUBA,64.0,581.1,9.08,3.54,4.17
2009,ANTIOQUIA,CURUBA,22.0,105.6,4.8,0.7,1.6600000000000001
2009,BOYACA,CURUBA,643.0,7932.0,12.34,52.66,48.53
2009,CUNDINAMARCA,CURUBA,76.0,726.0,9.55,4.82,5.74
2009,HUILA,CURUBA,34.5,216.0,6.26,1.43,2.6
2009,NARIÑO,CURUBA,10.0,100.0,10.0,0.66,0.75
2009,NORTE DE SANTANDER,CURUBA,309.5,3619.0,11.69,24.02,23.36
2009,SANTANDER,CURUBA,42.0,308.0,7.33,2.04,3.17
2009,TOLIMA,CURUBA,132.0,1639.0,12.42,10.88,9.96
2009,VALLE DEL CAUCA,CURUBA,56.0,418.1,7.47,2.7800000000000002,4.23
2010,ANTIOQUIA,CURUBA,26.0,241.5,9.29,1.52,1.62
2010,BOYACA,CURUBA,900.0,8033.5,8.93,50.56,55.98
2010,CUNDINAMARCA,CURUBA,83.84,854.02,10.19,5.38,5.21
2010,HUILA,CURUBA,32.0,197.8,6.18,1.24,1.99
2010,NARIÑO,CURUBA,13.0,126.0,9.69,0.79,0.81
2010,NORTE DE SANTANDER,CURUBA,234.0,2689.0,11.49,16.92,14.55
2010,SANTANDER,CURUBA,48.0,249.0,5.19,1.5699999999999998,2.99
2010,TOLIMA,CURUBA,211.0,3066.0,14.53,19.3,13.12
2010,VALLE DEL CAUCA,CURUBA,60.0,431.0,7.18,2.71,3.73
2011,ANTIOQUIA,CURUBA,12.5,226.5,18.12,1.5899999999999999,0.93
2011,BOYACA,CURUBA,663.38,6867.82,10.35,48.14,49.46
2011,CUNDINAMARCA,CURUBA,45.84,464.08,10.12,3.25,3.42
2011,HUILA,CURUBA,39.5,239.8,6.07,1.6800000000000002,2.95
2011,NARIÑO,CURUBA,12.5,125.0,10.0,0.88,0.93
2011,NORTE DE SANTANDER,CURUBA,215.5,2467.7,11.45,17.3,16.07
2011,SANTANDER,CURUBA,45.0,240.0,5.33,1.6800000000000002,3.36
2011,TOLIMA,CURUBA,259.0,3287.0,12.69,23.04,19.31
2011,VALLE DEL CAUCA,CURUBA,48.0,349.0,7.27,2.45,3.58
2012,ANTIOQUIA,CURUBA,85.4,1988.5,23.28,12.31,5.85
2012,BOYACA,CURUBA,729.0,7206.25,9.89,44.61,49.91
2012,CUNDINAMARCA,CURUBA,10.05,85.6,8.52,0.53,0.69
2012,HUILA,CURUBA,53.0,320.8,6.05,1.99,3.63
2012,NARIÑO,CURUBA,13.1,131.0,10.0,0.81,0.9
