Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,BOYACA,DATIL,5.0,20.0,4.0,100,100
2008,BOYACA,DATIL,2.0,8.0,4.0,100,100
2009,BOYACA,DATIL,4.0,16.0,4.0,100,100
2010,BOYACA,DATIL,3.0,30.0,10.0,100,100
2011,BOYACA,DATIL,3.0,9.0,3.0,100,100
2012,BOYACA,DATIL,4.0,12.0,3.0,100,100
2013,BOYACA,DATIL,4.0,12.0,3.0,100,100
2014,BOYACA,DATIL,7.0,21.0,3.0,100,100
2015,BOYACA,DATIL,19.0,57.0,3.0,100,100
2016,BOYACA,DATIL,5.0,42.5,8.5,100,100
2017,BOYACA,DATIL,6.5,55.25,8.5,100,100
2018,BOYACA,DATIL,6.5,55.25,8.5,100,100
2019,BOYACA,DATIL,5.0,35.0,7.0,100,100
2020,BOYACA,DATIL,7.0,42.0,6.0,100,100
2021,BOYACA,DATIL,20.0,110.0,5.5,100,100
2022,BOYACA,DATIL,8.0,56.0,7.0,100,100
2023,BOYACA,DATIL,6.5,42.25,6.5,100,100
