Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,BOYACA,DURAZNO,758.0,8967.9,11.83,57.52,64.18
2007,CUNDINAMARCA,DURAZNO,237.5,4389.0,18.48,28.15,20.11
2007,META,DURAZNO,0.0,0.0,0.0,0.0,0.0
2007,NORTE DE SANTANDER,DURAZNO,167.5,1915.0,11.43,12.28,14.18
2007,SANTANDER,DURAZNO,18.0,320.0,17.78,2.05,1.52
2008,BOYACA,DURAZNO,745.5,9798.0,13.14,56.71,59.12
2008,CUNDINAMARCA,DURAZNO,242.0,4259.5,17.6,24.65,19.19
2008,META,DURAZNO,25.0,300.0,12.0,1.74,1.98
2008,NORTE DE SANTANDER,DURAZNO,231.5,2630.5,11.36,15.22,18.36
2008,SANTANDER,DURAZNO,17.0,290.0,17.06,1.6800000000000002,1.35
2009,BOYACA,DURAZNO,914.85,12707.26,13.89,63.45,62.26
2009,CUNDINAMARCA,DURAZNO,180.0,2826.0,15.7,14.11,12.25
2009,META,DURAZNO,25.0,300.0,12.0,1.5,1.7
2009,NORTE DE SANTANDER,DURAZNO,320.5,3815.5,11.9,19.05,21.81
2009,SANTANDER,DURAZNO,21.0,315.0,15.0,1.5699999999999998,1.43
2009,VALLE DEL CAUCA,DURAZNO,8.0,64.0,8.0,0.32,0.54
2010,BOYACA,DURAZNO,852.75,11547.72,13.54,62.5,58.71
2010,CUNDINAMARCA,DURAZNO,183.42,2008.18,10.95,10.87,12.63
2010,HUILA,DURAZNO,0.0,0.0,0.0,0.0,0.0
2010,META,DURAZNO,5.0,60.0,12.0,0.32,0.34
2010,NORTE DE SANTANDER,DURAZNO,370.4,4359.6,11.77,23.6,25.5
2010,SANTANDER,DURAZNO,26.0,380.0,14.62,2.06,1.79
2010,VALLE DEL CAUCA,DURAZNO,15.0,120.0,8.0,0.65,1.03
2011,BOYACA,DURAZNO,832.5,12009.05,14.43,60.5,55.89
2011,CAUCA,DURAZNO,3.0,3.0,1.0,0.02,0.2
2011,CUNDINAMARCA,DURAZNO,166.62,2027.88,12.17,10.22,11.19
2011,HUILA,DURAZNO,0.0,0.0,0.0,0.0,0.0
2011,META,DURAZNO,4.0,40.0,10.0,0.2,0.27
2011,NORTE DE SANTANDER,DURAZNO,463.4,5394.6,11.64,27.18,31.11
2011,SANTANDER,DURAZNO,20.0,374.0,18.7,1.88,1.34
2012,BOYACA,DURAZNO,925.2,15082.08,16.3,60.13,54.82
2012,CUNDINAMARCA,DURAZNO,97.5,907.5,9.31,3.62,5.78
2012,HUILA,DURAZNO,25.0,150.0,6.0,0.6,1.48
2012,NORTE DE SANTANDER,DURAZNO,569.4,7644.0,13.42,30.48,33.74
2012,SANTANDER,DURAZNO,28.5,522.0,18.32,2.08,1.69
2012,VALLE DEL CAUCA,DURAZNO,42.0,777.0,18.5,3.1,2.49
2013,BOYACA,DURAZNO,769.7,12860.7,16.71,50.27,42.66
2013,CUNDINAMARCA,DURAZNO,123.7,1238.4,10.01,4.84,6.86
2013,HUILA,DURAZNO,123.0,737.2,5.99,2.88,6.82
2013,NORTE DE SANTANDER,DURAZNO,700.5,9476.7,13.53,37.04,38.82
2013,RISARALDA,DURAZNO,20.0,26.0,1.3,0.1,1.11
2013,SANTANDER,DURAZNO,14.5,260.0,17.93,1.02,0.8
2013,VALLE DEL CAUCA,DURAZNO,53.0,985.0,18.58,3.85,2.94
2014,BOYACA,DURAZNO,828.35,14213.1,17.16,48.81,41.52
2014,CUNDINAMARCA,DURAZNO,140.5,1541.6,10.97,5.29,7.04
2014,HUILA,DURAZNO,185.8,1114.0,6.0,3.83,9.31
2014,NORTE DE SANTANDER,DURAZNO,722.5,9581.6,13.26,32.91,36.21
2014,RISARALDA,DURAZNO,40.0,1400.0,35.0,4.8100000000000005,2.0
2014,SANTANDER,DURAZNO,25.0,292.5,11.7,1.0,1.25
2014,VALLE DEL CAUCA,DURAZNO,53.0,975.0,18.4,3.35,2.66
2015,BOYACA,DURAZNO,887.95,14971.5,16.86,51.04,41.04
2015,CUNDINAMARCA,DURAZNO,140.5,1504.6,10.71,5.13,6.49
2015,HUILA,DURAZNO,319.5,1897.5,5.9399999999999995,6.47,14.77
2015,NORTE DE SANTANDER,DURAZNO,702.9,9287.2,13.21,31.66,32.48
2015,SANTANDER,DURAZNO,65.0,858.0,13.2,2.92,3.0
2015,VALLE DEL CAUCA,DURAZNO,48.0,815.0,16.98,2.7800000000000002,2.22
2016,BOYACA,DURAZNO,777.6,11630.1,14.96,42.62,37.8
2016,CUNDINAMARCA,DURAZNO,135.7,1685.1,12.42,6.17,6.6
2016,HUILA,DURAZNO,316.5,2157.8,6.82,7.91,15.38
2016,NARIÑO,DURAZNO,3.0,0.96,0.32,0.0,0.15
2016,NORTE DE SANTANDER,DURAZNO,701.4,9304.0,13.26,34.09,34.09
2016,SANTANDER,DURAZNO,102.0,2148.0,21.06,7.87,4.96
2016,VALLE DEL CAUCA,DURAZNO,21.0,365.0,17.38,1.34,1.02
2017,BOYACA,DURAZNO,837.8,13766.51,16.43,44.13,35.5
2017,CUNDINAMARCA,DURAZNO,166.62,1949.0,11.7,6.25,7.06
2017,HUILA,DURAZNO,498.5,2625.8,5.27,8.42,21.12
2017,NARIÑO,DURAZNO,4.0,1.28,0.32,0.0,0.17
2017,NORTE DE SANTANDER,DURAZNO,720.4,9895.0,13.74,31.72,30.52
2017,SANTANDER,DURAZNO,125.0,2834.0,22.67,9.08,5.3
2017,VALLE DEL CAUCA,DURAZNO,8.0,126.0,15.75,0.4,0.34
2018,BOYACA,DURAZNO,925.6,14255.86,15.4,41.04,37.0
2018,CUNDINAMARCA,DURAZNO,169.12,2016.65,11.92,5.8100000000000005,6.76
2018,HUILA,DURAZNO,525.0,4027.8,7.67,11.59,20.99
2018,NARIÑO,DURAZNO,4.0,1.28,0.32,0.0,0.16
2018,NORTE DE SANTANDER,DURAZNO,724.9,9946.5,13.72,28.63,28.98
2018,SANTANDER,DURAZNO,145.0,4364.0,30.1,12.56,5.8
2018,VALLE DEL CAUCA,DURAZNO,8.0,126.0,15.75,0.36,0.32
2019,BOYACA,DURAZNO,747.9,13809.29,18.46,46.15,36.95
2019,CUNDINAMARCA,DURAZNO,80.0,1331.2,16.64,4.45,3.95
2019,HUILA,DURAZNO,209.5,1269.0,6.06,4.24,10.35
2019,NARIÑO,DURAZNO,6.0,80.0,13.33,0.27,0.3
2019,NORTE DE SANTANDER,DURAZNO,812.8,11246.6,13.84,37.59,40.15
2019,SANTANDER,DURAZNO,164.0,2139.0,13.04,7.15,8.1
2019,VALLE DEL CAUCA,DURAZNO,4.0,46.0,11.5,0.15,0.2
2020,BOYACA,DURAZNO,694.3,10353.21,14.91,32.99,32.7
2020,CUNDINAMARCA,DURAZNO,76.2,1230.2,16.14,3.92,3.59
2020,HUILA,DURAZNO,144.1,889.1,6.17,2.83,6.79
2020,NARIÑO,DURAZNO,6.0,120.0,20.0,0.38,0.28
2020,NORTE DE SANTANDER,DURAZNO,828.7,13609.9,16.42,43.37,39.03
2020,SANTANDER,DURAZNO,372.0,5145.0,13.83,16.39,17.52
2020,VALLE DEL CAUCA,DURAZNO,2.0,36.0,18.0,0.11,0.09
2021,BOYACA,DURAZNO,1475.44,20351.11,13.79,36.85,34.41
2021,CUNDINAMARCA,DURAZNO,138.4,2376.85,17.17,4.3,3.23
2021,HUILA,DURAZNO,262.0,1903.0,7.26,3.45,6.11
2021,NARIÑO,DURAZNO,12.0,90.0,7.5,0.16,0.28
2021,NORTE DE SANTANDER,DURAZNO,1649.6,20269.48,12.29,36.7,38.48
2021,SANTANDER,DURAZNO,744.0,10147.2,13.64,18.37,17.35
2021,VALLE DEL CAUCA,DURAZNO,6.0,96.0,16.0,0.17,0.14
2022,BOYACA,DURAZNO,813.69,11830.05,14.54,37.79,35.92
2022,CUNDINAMARCA,DURAZNO,73.5,752.63,10.24,2.4,3.25
2022,HUILA,DURAZNO,138.5,977.5,7.06,3.12,6.11
2022,NARIÑO,DURAZNO,6.0,45.0,7.5,0.14,0.26
2022,NORTE DE SANTANDER,DURAZNO,852.8,12544.4,14.71,40.07,37.65
2022,SANTANDER,DURAZNO,377.5,5109.6,13.54,16.32,16.67
2022,VALLE DEL CAUCA,DURAZNO,3.0,48.0,16.0,0.15,0.13
2023,BOYACA,DURAZNO,669.26,9400.73,14.05,35.95,33.2
2023,CASANARE,DURAZNO,0.0,0.0,0.0,0.0,0.0
2023,CUNDINAMARCA,DURAZNO,70.5,586.98,8.33,2.24,3.5
2023,HUILA,DURAZNO,137.5,777.25,5.65,2.9699999999999998,6.82
2023,NARIÑO,DURAZNO,6.0,42.0,7.0,0.16,0.3
2023,NORTE DE SANTANDER,DURAZNO,763.8,10458.7,13.69,40.0,37.9
2023,SANTANDER,DURAZNO,366.0,4842.55,13.23,18.52,18.16
2023,VALLE DEL CAUCA,DURAZNO,2.5,39.0,15.6,0.15,0.12
