Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2006,CALDAS,ESPARRAGO,0.0,0.0,0.0,0.0,0.0
2007,CALDAS,ESPARRAGO,200.0,1569.0,7.84,70.79,48.9
2007,CAUCA,ESPARRAGO,134.0,409.0,3.05,18.45,32.76
2007,RISARALDA,ESPARRAGO,75.0,238.5,3.18,10.76,18.34
2008,CALDAS,ESPARRAGO,200.0,1569.0,7.84,74.71,56.18
2008,CAUCA,ESPARRAGO,126.0,414.0,3.29,19.71,35.39
2008,RISARALDA,ESPARRAGO,30.0,117.0,3.9,5.57,8.43
2009,ANTIOQUIA,ESPARRAGO,1.0,1.0,1.0,0.05,0.31
2009,CALDAS,ESPARRAGO,200.0,1569.0,7.84,80.51,61.54
2009,CAUCA,ESPARRAGO,103.0,297.0,2.88,15.24,31.69
2009,RISARALDA,ESPARRAGO,21.0,81.9,3.9,4.2,6.46
2010,ANTIOQUIA,ESPARRAGO,1.0,1.0,1.0,0.08,0.38
2010,CALDAS,ESPARRAGO,181.6,1118.22,6.16,86.07,69.15
2010,CAUCA,ESPARRAGO,80.0,180.0,2.25,13.85,30.46
2011,CAUCA,ESPARRAGO,50.0,115.0,2.3,100.0,100.0
2013,CALDAS,ESPARRAGO,23.0,69.0,3.0,100.0,100.0
2014,CALDAS,ESPARRAGO,23.0,69.0,3.0,100.0,100.0
2015,CALDAS,ESPARRAGO,23.0,62.1,2.7,100.0,100.0
2016,CALDAS,ESPARRAGO,35.0,140.0,4.0,100.0,100.0
2017,CALDAS,ESPARRAGO,61.0,244.0,4.0,100.0,100.0
2018,CALDAS,ESPARRAGO,27.0,108.0,4.0,100.0,100.0
2019,CALDAS,ESPARRAGO,75.0,280.0,3.73,96.89,96.15
2019,RISARALDA,ESPARRAGO,3.0,9.0,3.0,3.11,3.85
2020,CALDAS,ESPARRAGO,87.0,320.0,3.68,100.0,100.0
2021,CALDAS,ESPARRAGO,170.0,628.0,3.69,100.0,100.0
2022,CALDAS,ESPARRAGO,82.0,328.0,4.0,100.0,100.0
2023,CALDAS,ESPARRAGO,120.0,480.0,4.0,100.0,100.0
