Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2006,ANTIOQUIA,ESPINACA,0.0,0.0,0.0,0.0,0.0
2006,CUNDINAMARCA,ESPINACA,0.0,0.0,0.0,0.0,0.0
2006,NORTE DE SANTANDER,ESPINACA,0.0,0.0,0.0,0.0,0.0
2007,ANTIOQUIA,ESPINACA,28.0,504.0,18.0,12.38,12.58
2007,CUNDINAMARCA,ESPINACA,172.0,3264.0,18.98,80.15,77.3
2007,NORTE DE SANTANDER,ESPINACA,22.5,304.2,13.52,7.47,10.11
2008,ANTIOQUIA,ESPINACA,43.0,690.0,16.05,13.72,13.89
2008,CUNDINAMARCA,ESPINACA,243.5,4078.6,16.75,81.09,78.68
2008,NORTE DE SANTANDER,ESPINACA,23.0,261.0,11.35,5.19,7.43
2009,ANTIOQUIA,ESPINACA,44.0,708.0,16.09,8.67,11.24
2009,CUNDINAMARCA,ESPINACA,324.4,7172.83,22.11,87.86,82.88
2009,NORTE DE SANTANDER,ESPINACA,23.0,283.0,12.3,3.4699999999999998,5.88
2010,ANTIOQUIA,ESPINACA,40.0,624.0,15.6,5.97,8.79
2010,CUNDINAMARCA,ESPINACA,391.9,9532.83,24.32,91.14,86.15
2010,NORTE DE SANTANDER,ESPINACA,23.0,303.0,13.17,2.9,5.06
2011,ANTIOQUIA,ESPINACA,37.7,594.6,15.77,7.51,9.7
2011,CUNDINAMARCA,ESPINACA,329.85,7073.75,21.45,89.37,84.89
2011,NORTE DE SANTANDER,ESPINACA,21.0,246.75,11.75,3.12,5.4
2012,ANTIOQUIA,ESPINACA,39.0,624.0,16.0,7.65,10.48
2012,CUNDINAMARCA,ESPINACA,315.3,7279.5,23.09,89.25,84.76
2012,NORTE DE SANTANDER,ESPINACA,17.7,252.9,14.29,3.1,4.76
2013,ANTIOQUIA,ESPINACA,40.0,636.0,15.9,8.19,11.91
2013,CUNDINAMARCA,ESPINACA,285.48,7015.86,24.58,90.38,84.97
2013,NORTE DE SANTANDER,ESPINACA,10.5,110.8,10.55,1.43,3.13
2014,ANTIOQUIA,ESPINACA,42.0,660.0,15.71,8.04,13.82
2014,CAUCA,ESPINACA,1.0,1.0,1.0,0.01,0.33
2014,CUNDINAMARCA,ESPINACA,251.0,7439.0,29.64,90.62,82.57
2014,NORTE DE SANTANDER,ESPINACA,10.0,108.6,10.86,1.32,3.29
2015,ANTIOQUIA,ESPINACA,37.0,549.0,14.84,7.06,11.69
2015,CAUCA,ESPINACA,4.0,3.2,0.8,0.04,1.26
2015,CUNDINAMARCA,ESPINACA,273.07,7223.95,26.45,92.86,86.26
2015,NORTE DE SANTANDER,ESPINACA,2.5,3.0,1.2,0.04,0.79
2016,ANTIOQUIA,ESPINACA,45.8,644.4,14.07,9.81,14.88
2016,BOYACA,ESPINACA,0.3,1.65,5.5,0.03,0.1
2016,CAUCA,ESPINACA,11.0,165.0,15.0,2.51,3.57
2016,CUNDINAMARCA,ESPINACA,248.79,5755.88,23.14,87.62,80.8
2016,NORTE DE SANTANDER,ESPINACA,2.0,2.4,1.2,0.04,0.65
2017,ANTIOQUIA,ESPINACA,51.0,762.0,14.94,11.98,14.78
2017,BOYACA,ESPINACA,4.0,23.85,5.96,0.38,1.16
2017,CAUCA,ESPINACA,22.6,323.8,14.33,5.09,6.55
2017,CUNDINAMARCA,ESPINACA,265.0,5245.5,19.79,82.5,76.79
2017,NORTE DE SANTANDER,ESPINACA,2.0,2.4,1.2,0.04,0.58
2017,SANTANDER,ESPINACA,0.5,0.5,1.0,0.01,0.14
2018,ANTIOQUIA,ESPINACA,30.0,444.42,14.81,13.67,16.71
2018,BOYACA,ESPINACA,3.0,18.0,6.0,0.55,1.67
2018,CAUCA,ESPINACA,12.0,162.0,13.5,4.98,6.6899999999999995
2018,CUNDINAMARCA,ESPINACA,132.0,2620.0,19.85,80.57,73.54
2018,NORTE DE SANTANDER,ESPINACA,2.0,2.4,1.2,0.07,1.11
2018,SANTANDER,ESPINACA,0.5,5.0,10.0,0.15,0.28
2019,ANTIOQUIA,ESPINACA,24.0,432.0,18.0,6.9,7.26
2019,BOYACA,ESPINACA,19.4,350.0,18.04,5.59,5.86
2019,CAUCA,ESPINACA,21.0,252.0,12.0,4.02,6.35
2019,CUNDINAMARCA,ESPINACA,258.9,5199.3,20.08,82.99,78.26
2019,NORTE DE SANTANDER,ESPINACA,5.5,22.0,4.0,0.35,1.6600000000000001
2019,SANTANDER,ESPINACA,2.0,10.0,5.0,0.16,0.6
2020,ANTIOQUIA,ESPINACA,20.0,360.0,18.0,6.28,6.66
2020,BOYACA,ESPINACA,19.2,350.0,18.23,6.1,6.39
2020,CAUCA,ESPINACA,14.0,224.0,16.0,3.91,4.66
2020,CUNDINAMARCA,ESPINACA,240.49,4739.8,19.71,82.63,80.03
2020,NARIÑO,ESPINACA,1.0,25.0,25.0,0.44,0.33
2020,NORTE DE SANTANDER,ESPINACA,3.0,12.0,4.0,0.21,1.0
2020,SANTANDER,ESPINACA,2.0,10.0,5.0,0.17,0.67
2020,VALLE DEL CAUCA,ESPINACA,0.8,15.2,19.0,0.26,0.27
2021,ANTIOQUIA,ESPINACA,40.0,720.0,18.0,7.48,7.0
2021,BOYACA,ESPINACA,57.4,745.2,12.98,7.74,10.04
2021,CAUCA,ESPINACA,34.0,298.0,8.76,3.1,5.95
2021,CUNDINAMARCA,ESPINACA,426.0,7708.0,18.09,80.07,74.54
2021,NARIÑO,ESPINACA,4.0,94.0,23.5,0.98,0.7
2021,NORTE DE SANTANDER,ESPINACA,5.0,17.5,3.5,0.18,0.87
2021,SANTANDER,ESPINACA,4.0,22.0,5.5,0.23,0.7
2021,VALLE DEL CAUCA,ESPINACA,1.1,22.0,20.0,0.23,0.19
2022,BOYACA,ESPINACA,24.25,289.25,11.93,5.51,8.33
2022,CAUCA,ESPINACA,13.5,70.0,5.19,1.33,4.64
2022,CUNDINAMARCA,ESPINACA,245.0,4793.0,19.56,91.26,84.15
2022,NARIÑO,ESPINACA,1.5,34.5,23.0,0.66,0.52
2022,NORTE DE SANTANDER,ESPINACA,2.5,20.0,8.0,0.38,0.86
2022,SANTANDER,ESPINACA,2.4,13.2,5.5,0.25,0.82
2022,VALLE DEL CAUCA,ESPINACA,2.0,32.0,16.0,0.61,0.69
2023,BOYACA,ESPINACA,24.4,279.0,11.43,5.65,8.89
2023,CAUCA,ESPINACA,12.4,62.39,5.03,1.26,4.52
2023,CUNDINAMARCA,ESPINACA,227.04,4499.48,19.82,91.19,82.73
2023,NARIÑO,ESPINACA,3.6,38.8,10.78,0.79,1.31
2023,NORTE DE SANTANDER,ESPINACA,2.5,20.0,8.0,0.41,0.91
2023,SANTANDER,ESPINACA,3.0,16.5,5.5,0.33,1.09
2023,VALLE DEL CAUCA,ESPINACA,1.5,18.0,12.0,0.36,0.55
