Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,RISARALDA,ESTROPAJO,10.0,14.0,1.4,100.0,100.0
2008,TOLIMA,ESTROPAJO,17.0,11.0,0.65,100.0,100.0
2010,CALDAS,ESTROPAJO,3.5,3.5,1.0,14.29,18.92
2010,RISARALDA,ESTROPAJO,15.0,21.0,1.4,85.71,81.08
2011,CALDAS,ESTROPAJO,2.0,2.0,1.0,1.96,4.34
2011,CAUCA,ESTROPAJO,24.0,44.5,1.85,43.63,52.06
2011,RISARALDA,ESTROPAJO,5.1,25.5,5.0,25.0,11.06
2011,TOLIMA,ESTROPAJO,15.0,30.0,2.0,29.41,32.54
2012,CAUCA,ESTROPAJO,22.0,40.0,1.8199999999999998,68.97,82.77
2012,RISARALDA,ESTROPAJO,3.58,17.9,5.0,30.86,13.47
2012,SANTANDER,ESTROPAJO,1.0,0.1,0.1,0.17,3.76
2013,CAUCA,ESTROPAJO,8.0,12.0,1.5,22.3,33.33
2013,SANTANDER,ESTROPAJO,1.0,1.6,1.6,2.9699999999999998,4.17
2013,TOLIMA,ESTROPAJO,12.0,19.2,1.6,35.69,50.0
2013,VALLE DEL CAUCA,ESTROPAJO,3.0,21.0,7.0,39.03,12.5
2014,RISARALDA,ESTROPAJO,4.0,20.0,5.0,55.56,28.57
2014,TOLIMA,ESTROPAJO,10.0,16.0,1.6,44.44,71.43
2015,RISARALDA,ESTROPAJO,4.0,20.0,5.0,64.1,36.36
2015,TOLIMA,ESTROPAJO,7.0,11.2,1.6,35.9,63.64
2016,RISARALDA,ESTROPAJO,15.0,75.0,5.0,70.09,41.67
2016,SANTANDER,ESTROPAJO,1.0,2.0,2.0,1.87,2.7800000000000002
2016,TOLIMA,ESTROPAJO,20.0,30.0,1.5,28.04,55.56
2017,RISARALDA,ESTROPAJO,5.9,29.5,5.0,31.22,23.23
2017,SANTANDER,ESTROPAJO,1.0,2.0,2.0,2.12,3.94
2017,TOLIMA,ESTROPAJO,10.0,14.0,1.4,14.81,39.37
2017,VALLE DEL CAUCA,ESTROPAJO,8.5,49.0,5.76,51.85,33.46
2018,ANTIOQUIA,ESTROPAJO,4.0,40.0,10.0,27.65,12.54
2018,RISARALDA,ESTROPAJO,5.9,29.5,5.0,20.39,18.5
2018,SANTANDER,ESTROPAJO,1.0,5.15,5.15,3.56,3.13
2018,TOLIMA,ESTROPAJO,10.0,14.0,1.4,9.68,31.35
2018,VALLE DEL CAUCA,ESTROPAJO,11.0,56.0,5.09,38.71,34.48
