Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,QUINDIO,EUCALIPTO BABY BLUE,12.5,125.0,10.0,100.0,100.0
2008,QUINDIO,EUCALIPTO BABY BLUE,12.6,126.0,10.0,100.0,100.0
2009,QUINDIO,EUCALIPTO BABY BLUE,10.0,100.0,10.0,100.0,100.0
2010,QUINDIO,EUCALIPTO BABY BLUE,11.8,122.0,10.34,100.0,100.0
2011,CESAR,EUCALIPTO BABY BLUE,20.0,40.0,2.0,27.87,66.01
2011,QUINDIO,EUCALIPTO BABY BLUE,10.3,103.51,10.05,72.13,33.99
2012,ATLANTICO,EUCALIPTO BABY BLUE,0.0,0.0,0.0,0.0,0.0
2012,CESAR,EUCALIPTO BABY BLUE,20.0,40.0,2.0,27.44,65.57
2012,QUINDIO,EUCALIPTO BABY BLUE,10.5,105.75,10.07,72.56,34.43
2013,CESAR,EUCALIPTO BABY BLUE,20.0,60.0,3.0,36.2,65.57
2013,QUINDIO,EUCALIPTO BABY BLUE,10.5,105.75,10.07,63.8,34.43
2014,CESAR,EUCALIPTO BABY BLUE,20.0,60.0,3.0,75.0,90.91
2014,QUINDIO,EUCALIPTO BABY BLUE,2.0,20.0,10.0,25.0,9.09
2015,ATLANTICO,EUCALIPTO BABY BLUE,0.0,0.0,0.0,0.0,0.0
2015,CESAR,EUCALIPTO BABY BLUE,20.0,60.0,3.0,100.0,100.0
2016,ATLANTICO,EUCALIPTO BABY BLUE,0.0,0.0,0.0,0.0,0.0
2016,CESAR,EUCALIPTO BABY BLUE,20.0,60.0,3.0,76.92,76.92
2016,CUNDINAMARCA,EUCALIPTO BABY BLUE,6.0,18.0,3.0,23.08,23.08
2017,BOLIVAR,EUCALIPTO BABY BLUE,0.0,0.0,0.0,0.0,0.0
2017,CESAR,EUCALIPTO BABY BLUE,0.0,0.0,0.0,0.0,0.0
2017,CUNDINAMARCA,EUCALIPTO BABY BLUE,10.8,32.4,3.0,100.0,100.0
2018,BOLIVAR,EUCALIPTO BABY BLUE,0.0,0.0,0.0,0.0,0.0
2018,CESAR,EUCALIPTO BABY BLUE,53.0,371.0,7.0,91.29,81.79
2018,CUNDINAMARCA,EUCALIPTO BABY BLUE,11.8,35.4,3.0,8.71,18.21
