Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,BOYACA,FEIJOA,178.0,1596.5,8.97,74.68,72.37
2007,CALDAS,FEIJOA,57.67,485.0,8.41,22.69,23.45
2007,CUNDINAMARCA,FEIJOA,6.0,24.0,4.0,1.12,2.44
2007,NORTE DE SANTANDER,FEIJOA,1.5,4.2,2.8,0.2,0.61
2007,SANTANDER,FEIJOA,2.8,28.0,10.0,1.31,1.1400000000000001
2008,BOYACA,FEIJOA,150.63,1398.5,9.28,73.87,72.2
2008,CALDAS,FEIJOA,54.0,475.0,8.8,25.09,25.88
2008,CUNDINAMARCA,FEIJOA,2.5,15.5,6.2,0.82,1.2
2008,NORTE DE SANTANDER,FEIJOA,1.5,4.2,2.8,0.22,0.72
2009,BOYACA,FEIJOA,147.43,1344.0,9.12,79.17,78.43
2009,CALDAS,FEIJOA,31.67,335.0,10.58,19.73,16.85
2009,CUNDINAMARCA,FEIJOA,3.38,6.31,1.87,0.37,1.8
2009,NORTE DE SANTANDER,FEIJOA,1.5,4.2,2.8,0.25,0.8
2009,SANTANDER,FEIJOA,4.0,8.0,2.0,0.47,2.13
2010,BOYACA,FEIJOA,112.13,1015.41,9.06,72.55,76.27
2010,CALDAS,FEIJOA,27.0,351.0,13.0,25.08,18.37
2010,CUNDINAMARCA,FEIJOA,2.38,19.04,8.0,1.3599999999999999,1.62
2010,NORTE DE SANTANDER,FEIJOA,1.5,4.2,2.8,0.3,1.02
2010,SANTANDER,FEIJOA,4.0,10.0,2.5,0.71,2.7199999999999998
2011,BOYACA,FEIJOA,123.69,1063.76,8.6,94.7,90.57
2011,CALDAS,FEIJOA,3.0,12.0,4.0,1.07,2.2
2011,CUNDINAMARCA,FEIJOA,1.38,3.2800000000000002,2.38,0.29,1.01
2011,NORTE DE SANTANDER,FEIJOA,1.5,4.2,2.8,0.37,1.1
2011,SANTANDER,FEIJOA,7.0,40.0,5.71,3.56,5.13
2012,BOYACA,FEIJOA,163.9,1323.8,8.08,96.0,93.14
2012,CUNDINAMARCA,FEIJOA,5.08,37.57,7.4,2.7199999999999998,2.89
2012,NORTE DE SANTANDER,FEIJOA,2.0,5.6,2.8,0.41,1.1400000000000001
2012,SANTANDER,FEIJOA,5.0,12.0,2.4,0.87,2.84
2013,BOYACA,FEIJOA,194.7,1519.0,7.8,92.79,91.21
2013,CALDAS,FEIJOA,3.0,24.0,8.0,1.47,1.41
2013,CUNDINAMARCA,FEIJOA,8.47,64.97,7.67,3.9699999999999998,3.9699999999999998
2013,NORTE DE SANTANDER,FEIJOA,2.0,5.6,2.8,0.34,0.94
2013,SANTANDER,FEIJOA,5.3,23.5,4.43,1.44,2.48
2014,BOYACA,FEIJOA,223.43,2002.91,8.96,93.47,90.89
2014,CALDAS,FEIJOA,3.0,24.0,8.0,1.12,1.22
2014,CUNDINAMARCA,FEIJOA,8.4,64.26,7.65,3.0,3.42
2014,NORTE DE SANTANDER,FEIJOA,2.0,5.6,2.8,0.26,0.81
2014,SANTANDER,FEIJOA,9.0,46.0,5.11,2.15,3.66
2015,BOYACA,FEIJOA,236.43,2645.22,11.19,94.8,90.61
2015,CALDAS,FEIJOA,3.0,24.0,8.0,0.86,1.15
2015,CUNDINAMARCA,FEIJOA,4.5,32.92,7.32,1.18,1.72
2015,NORTE DE SANTANDER,FEIJOA,2.0,5.6,2.8,0.2,0.77
2015,SANTANDER,FEIJOA,15.0,82.5,5.5,2.96,5.75
2016,BOYACA,FEIJOA,237.6,2645.73,11.14,92.0,84.53
2016,CALDAS,FEIJOA,2.0,16.0,8.0,0.56,0.71
2016,CUNDINAMARCA,FEIJOA,41.5,213.92,5.15,7.44,14.76
2016,SANTANDER,FEIJOA,0.0,0.0,0.0,0.0,0.0
2017,BOYACA,FEIJOA,234.6,2250.45,9.59,86.64,81.37
2017,CALDAS,FEIJOA,1.0,8.0,8.0,0.31,0.35
2017,CUNDINAMARCA,FEIJOA,45.7,296.92,6.5,11.43,15.85
2017,SANTANDER,FEIJOA,7.0,42.0,6.0,1.62,2.43
2018,BOYACA,FEIJOA,242.1,2372.45,9.8,85.79,78.91
2018,CALDAS,FEIJOA,1.0,8.0,8.0,0.29,0.33
2018,CUNDINAMARCA,FEIJOA,54.7,357.82,6.54,12.94,17.83
2018,SANTANDER,FEIJOA,9.0,27.0,3.0,0.98,2.93
2019,BOYACA,FEIJOA,210.1,1792.58,8.53,74.43,74.8
2019,CALDAS,FEIJOA,1.0,6.0,6.0,0.25,0.36
2019,CUNDINAMARCA,FEIJOA,60.8,564.7,9.29,23.45,21.64
2019,NARIÑO,FEIJOA,3.0,9.0,3.0,0.37,1.07
2019,SANTANDER,FEIJOA,6.0,36.0,6.0,1.49,2.14
2020,ANTIOQUIA,FEIJOA,4.0,32.0,8.0,1.2,1.3599999999999999
2020,BOYACA,FEIJOA,224.7,2043.74,9.1,76.66,76.27
2020,CALDAS,FEIJOA,1.0,5.5,5.5,0.21,0.34
2020,CUNDINAMARCA,FEIJOA,54.9,535.8,9.76,20.1,18.64
2020,NARIÑO,FEIJOA,4.0,13.0,3.25,0.49,1.3599999999999999
2020,SANTANDER,FEIJOA,6.0,36.0,6.0,1.35,2.04
2021,ANTIOQUIA,FEIJOA,8.0,64.0,8.0,1.04,1.22
2021,BOYACA,FEIJOA,468.0,4754.15,10.16,77.0,71.25
2021,CALDAS,FEIJOA,2.0,11.0,5.5,0.18,0.3
2021,CUNDINAMARCA,FEIJOA,148.8,1210.74,8.14,19.61,22.66
2021,NARIÑO,FEIJOA,12.0,38.0,3.17,0.62,1.83
2021,NORTE DE SANTANDER,FEIJOA,4.0,12.0,3.0,0.19,0.61
2021,SANTANDER,FEIJOA,14.0,84.0,6.0,1.3599999999999999,2.13
2022,ANTIOQUIA,FEIJOA,6.0,52.0,8.67,1.6600000000000001,1.77
2022,BOYACA,FEIJOA,228.0,2255.32,9.89,71.98,67.2
2022,CALDAS,FEIJOA,1.0,5.5,5.5,0.18,0.29
2022,CUNDINAMARCA,FEIJOA,83.3,732.48,8.79,23.38,24.55
2022,NARIÑO,FEIJOA,11.0,34.0,3.09,1.09,3.24
