Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,ANTIOQUIA,FIQUE,499.0,743.0,1.49,3.48,2.67
2007,BOYACA,FIQUE,382.0,385.3,1.01,1.81,2.04
2007,CALDAS,FIQUE,104.0,184.0,1.77,0.86,0.56
2007,CAUCA,FIQUE,7294.0,8199.0,1.12,38.44,38.99
2007,NARIÑO,FIQUE,6334.0,7337.91,1.16,34.4,33.86
2007,NORTE DE SANTANDER,FIQUE,53.0,75.0,1.42,0.35,0.28
2007,RISARALDA,FIQUE,179.0,214.8,1.2,1.01,0.96
2007,SANTANDER,FIQUE,3861.0,4191.6,1.09,19.65,20.64
2008,ANTIOQUIA,FIQUE,405.0,486.1,1.2,2.33,2.25
2008,BOYACA,FIQUE,58.0,62.0,1.07,0.3,0.32
2008,CALDAS,FIQUE,113.0,194.0,1.72,0.93,0.63
2008,CAUCA,FIQUE,8063.0,9287.0,1.15,44.52,44.88
2008,NARIÑO,FIQUE,6270.0,7740.07,1.23,37.1,34.9
2008,NORTE DE SANTANDER,FIQUE,49.0,20.0,0.41,0.1,0.27
2008,RISARALDA,FIQUE,189.0,226.8,1.2,1.09,1.05
2008,SANTANDER,FIQUE,2817.0,2844.2,1.01,13.63,15.68
2009,ANTIOQUIA,FIQUE,938.8,1213.0,1.29,5.61,5.02
2009,BOYACA,FIQUE,80.0,87.3,1.09,0.4,0.43
2009,CALDAS,FIQUE,186.0,297.0,1.6,1.37,0.99
2009,CAUCA,FIQUE,7809.0,9268.8,1.19,42.88,41.74
2009,NARIÑO,FIQUE,6673.0,7822.3,1.17,36.18,35.66
2009,NORTE DE SANTANDER,FIQUE,57.0,40.0,0.7,0.19,0.3
2009,RISARALDA,FIQUE,195.0,156.0,0.8,0.72,1.04
2009,SANTANDER,FIQUE,2771.5,2733.69,0.99,12.65,14.81
2010,ANTIOQUIA,FIQUE,1494.7,2356.0,1.58,9.83,7.61
2010,BOYACA,FIQUE,97.0,92.2,0.95,0.38,0.49
2010,CALDAS,FIQUE,198.0,204.14,1.03,0.85,1.01
2010,CAUCA,FIQUE,8639.0,10349.4,1.2,43.19,43.97
2010,NARIÑO,FIQUE,6348.3,7987.0,1.26,33.33,32.31
2010,NORTE DE SANTANDER,FIQUE,57.0,150.0,2.63,0.63,0.29
2010,RISARALDA,FIQUE,81.75,65.4,0.8,0.27,0.42
2010,SANTANDER,FIQUE,2729.7,2755.9,1.01,11.5,13.89
2011,ANTIOQUIA,FIQUE,1907.3,2709.05,1.42,12.3,10.07
2011,BOYACA,FIQUE,96.0,87.8,0.91,0.4,0.51
2011,CALDAS,FIQUE,344.0,389.6,1.13,1.77,1.8199999999999998
2011,CAUCA,FIQUE,6969.0,7774.0,1.12,35.3,36.8
2011,NARIÑO,FIQUE,6273.5,7676.39,1.22,34.85,33.12
2011,NORTE DE SANTANDER,FIQUE,55.0,137.5,2.5,0.62,0.29
2011,RISARALDA,FIQUE,126.25,101.0,0.8,0.46,0.67
2011,SANTANDER,FIQUE,3168.0,3150.0,0.99,14.3,16.73
2012,ANTIOQUIA,FIQUE,1594.6,2434.1,1.53,12.33,9.75
2012,BOYACA,FIQUE,99.0,93.2,0.94,0.47,0.61
2012,CALDAS,FIQUE,295.0,315.0,1.07,1.6,1.8
2012,CAUCA,FIQUE,6669.0,7458.0,1.12,37.77,40.77
2012,NARIÑO,FIQUE,6046.0,7672.55,1.27,38.86,36.96
2012,NORTE DE SANTANDER,FIQUE,33.0,6.6,0.2,0.03,0.2
2012,RISARALDA,FIQUE,106.0,84.8,0.8,0.43,0.65
2012,SANTANDER,FIQUE,1516.0,1681.5,1.11,8.52,9.27
2013,ANTIOQUIA,FIQUE,1487.6,2309.4,1.55,12.54,9.82
2013,BOYACA,FIQUE,99.0,87.4,0.88,0.47,0.65
2013,CALDAS,FIQUE,197.0,244.6,1.24,1.33,1.3
2013,CAUCA,FIQUE,6159.0,7338.0,1.19,39.86,40.67
2013,NARIÑO,FIQUE,5611.1,6705.53,1.2,36.42,37.05
2013,NORTE DE SANTANDER,FIQUE,30.0,9.0,0.3,0.05,0.2
2013,RISARALDA,FIQUE,50.0,40.0,0.8,0.22,0.33
2013,SANTANDER,FIQUE,1511.0,1677.5,1.11,9.11,9.98
2014,ANTIOQUIA,FIQUE,1241.6,1745.25,1.41,11.04,10.37
2014,BOYACA,FIQUE,86.0,72.8,0.85,0.46,0.72
2014,CALDAS,FIQUE,257.5,286.25,1.11,1.81,2.15
2014,CAUCA,FIQUE,4852.5,5819.1,1.2,36.82,40.55
2014,NARIÑO,FIQUE,4086.0,5993.57,1.47,37.92,34.14
