Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2008,TOLIMA,FLOR DE JAMAICA,28.0,8.0,0.29,100.0,100.0
2009,ATLANTICO,FLOR DE JAMAICA,1.8,3.1,1.72,18.54,10.4
2009,HUILA,FLOR DE JAMAICA,0.5,0.1,0.2,0.6,2.89
2009,TOLIMA,FLOR DE JAMAICA,15.0,13.5,0.9,80.84,86.71
2010,HUILA,FLOR DE JAMAICA,11.5,1.92,0.17,9.11,22.77
2010,META,FLOR DE JAMAICA,4.0,1.2,0.3,5.68,7.92
2010,TOLIMA,FLOR DE JAMAICA,35.0,18.0,0.51,85.19,69.31
2011,HUILA,FLOR DE JAMAICA,17.0,3.5300000000000002,0.21,16.53,38.64
2011,META,FLOR DE JAMAICA,1.0,0.6,0.6,2.81,2.27
2011,TOLIMA,FLOR DE JAMAICA,21.0,14.7,0.7,68.95,47.73
2011,VICHADA,FLOR DE JAMAICA,5.0,2.5,0.5,11.73,11.36
2012,ATLANTICO,FLOR DE JAMAICA,0.0,0.0,0.0,0.0,0.0
2012,CUNDINAMARCA,FLOR DE JAMAICA,28.0,19.6,0.7,43.13,33.65
2012,HUILA,FLOR DE JAMAICA,15.2,5.84,0.38,12.84,18.27
2012,TOLIMA,FLOR DE JAMAICA,40.0,20.0,0.5,44.01,48.08
2013,ATLANTICO,FLOR DE JAMAICA,3.5,5.95,1.7,17.65,6.8100000000000005
2013,CUNDINAMARCA,FLOR DE JAMAICA,10.0,7.0,0.7,20.76,19.46
2013,HUILA,FLOR DE JAMAICA,9.9,4.37,0.44,12.96,19.26
2013,TOLIMA,FLOR DE JAMAICA,28.0,16.4,0.59,48.64,54.47
2014,HUILA,FLOR DE JAMAICA,3.0,1.0,0.33,5.32,8.11
2014,TOLIMA,FLOR DE JAMAICA,34.0,17.8,0.52,94.68,91.89
2015,HUILA,FLOR DE JAMAICA,2.3,0.8,0.35,2.83,6.17
2015,TOLIMA,FLOR DE JAMAICA,35.0,27.5,0.79,97.17,93.83
2016,HUILA,FLOR DE JAMAICA,1.0,0.38,0.38,98.68,100.0
